,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports
16,81748,9429040578248,10 Jun 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 5 directors,httpsapp.companiesoffice.govt.nzco81748,81748,,"14 Codrington Cres, Mission Bay, Auckland 5
, New Zealand",,,,,,,,,,,,,
17,1962638,9429033266305,23 Jul 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1962638,1962638,,"891 Cove Road, Waipu Cove
, New Zealand","891 Cove Road, Waipu Cove
, New Zealand",,,,,,,,,,,,
18,1906930,9429033621289,08 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1906930,1906930,,"Unit 21 68-74 Kingsford Smith Street, Rongotai, Wellington, 6022
, New Zealand","Unit 21 68-74 Kingsford Smith Street, Rongotai, Wellington, 6022
, New Zealand",,,,,,,,,,,,
19,1876954,9429033800134,24 Oct 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1876954,1876954,,"35 Caulfield Place, Pukehangi, Rotorua
, New Zealand","35 Caulfield Place, Pukehangi, Rotorua
, New Zealand",,,,,,,,,,,,
20,608920,9429038777073,14 Oct 1993,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco608920,608920,,"18 Canmore Street, Pokeno, Waikato, 2402
, New Zealand","18 Canmore Street, Pokeno, Waikato, 2402
, New Zealand",,,,,,,,,,,,
21,1628822,9429034793978,02 May 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1628822,1628822,,"Beardsley Chartered Accountants, 1st Floor, Avalon Towers, 45 Percy Cameron Street, Lower Hutt
, New Zealand","Beardsley Chartered Accountants, 1st Floor, Avalon Towers, 45 Percy Cameron Street, Lower Hutt
, New Zealand",,,,,,,,,,,,
22,1183911,9429036651986,15 Jan 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1183911,1183911,,"26 Benchmark Drive, Massey
, New Zealand","94 Colwill Road, Massey, Auckland
, New Zealand",,,,,,,,,,,,
23,5486803,9429041458761,16 Oct 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5486803,5486803,,"53 Island View Road, Rd 1, Papakura, 2580
, New Zealand","53 Island View Road, Rd 1, Papakura, 2580
, New Zealand",,,,,,,,,,,,
24,1834148,9429034024744,30 Jun 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1834148,1834148,,"28b Birmingham Road, East Tamaki, Auckland
, New Zealand","28b Birmingham Road, East Tamaki, Auckland
, New Zealand",,,,,,,,,,,,
25,556338,9429038952999,21 Aug 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco556338,556338,,"1st Floor, 2a Kipling Avenue, Epsom, Auckland
, New Zealand","1st Floor, 2a Kipling Avenue, Epsom, Auckland
, New Zealand",,,,,,,,,,,,
26,2199258,9429032436792,12 Jan 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2199258,2199258,,"Level 2, 4 Boston Road, Mt Eden, Auckland
, New Zealand","Level 2, 4 Boston Road, Mt Eden, Auckland
, New Zealand",,,,,,,,,,,,
27,87023,9429040541266,19 Apr 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco87023,87023,,"62 Princes Street, Onehunga, Auckland
, New Zealand",,,,,,,,,,,,,
28,1696244,9429034539750,19 Sep 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1696244,1696244,,"107 Market Street South, Hastings
, New Zealand","107 Market Street South, Hastings
, New Zealand",,,,,,,,,,,,
29,1265743,9429036188444,19 Dec 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1265743,1265743,,"217-223 Hobson Street, Auckland
, New Zealand","217-223 Hobson Street, Auckland
, New Zealand",,,,,,,,,,,,
30,672551,9429038494185,28 Mar 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco672551,672551,,"61 Molesworth Street, Wellington
, New Zealand","61 Molesworth Street, Wellington
, New Zealand",,,,,,,,,,,,
31,1695103,9429034541449,19 Sep 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1695103,1695103,,"78 South Belt, Solway, Masterton, 5810
, New Zealand","78 South Belt, Solway, Masterton, 5810
, New Zealand",,,,,,,,,,,,
32,5115581,9429041181041,07 Apr 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5115581,5115581,,"Z&Y&Z Limited, 295 Remuera Road, Remuera, Auckland, 1050
, New Zealand","Z&Y&Z Limited, 295 Remuera Road, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
33,6256358,9429046024459,20 Mar 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6256358,6256358,,"15 Keswick Close, Northpark, Auckland, 2013
, New Zealand","15 Keswick Close, Northpark, Auckland, 2013
, New Zealand",,,,,,,,,,,,
34,6834622,9429046768094,08 May 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6834622,6834622,,"Zachary Mcbride, 72 Ainsworth Road, Rd 7, Tauranga, 3179
, New Zealand","Zachary Mcbride, 72 Ainsworth Road, Rd 7, Tauranga, 3179
, New Zealand",,,,,,,,,,,,
35,811680,9429038306686,30 May 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco811680,811680,,"39 Davies Drive, Nelson
, New Zealand","39 Davies Drive, Nelson
, New Zealand",,,,,,,,,,,,
36,52662,9429040715223,29 Jun 1955,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco52662,52662,,"Deloitte Touche Tohmatsu, 13 Floor Tower, Shortland Centre, Auckland
, New Zealand",,,,,,,,,,,,,
37,8162171,9429049024043,23 Feb 2021,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8162171,8162171,,"25 Main Street, Greytown, Greytown, 5712
, New Zealand","25 Main Street, Greytown, Greytown, 5712
, New Zealand",,,,,,,,,,,,
38,94431,9429040488356,15 May 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco94431,94431,,"C/o Ferrif & Milne, 7 Mason Ave, Otahuhu
, New Zealand",,,,,,,,,,,,,
39,638752,9429038646478,15 Dec 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco638752,638752,,"C/-rodewald Hart & Associates Ltd, Cnr Jocelyn & Queen Streets, Te Puke
, New Zealand","C/-rodewald Hart & Associates Ltd, Cnr Jocelyn & Queen Streets, Te Puke
, New Zealand",,,,,,,,,,,,
40,1879281,9429033789101,27 Oct 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1879281,1879281,,"6a Logan Rd, Rd2, Pukekohe
, New Zealand","6a Logan Road, Rd2, Pukekohe
, New Zealand",,,,,,,,,,,,
41,3321850,9429031177290,17 Mar 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3321850,3321850,,"2.00, E-centre, Gate 5,, Oaklands Rd, Massey University, Albany, Auckland, 0632
, New Zealand","2.00, E-centre, Gate 5,, Oaklands Rd, Massey University, Albany, Auckland, 0632
, New Zealand",,,,,,,,,,,,
42,182331,9429040133355,16 Jul 1959,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco182331,182331,,"Level One, 53 King Street, Frankton, Hamilton
, New Zealand","Level One, 53 King Street, Frankton, Hamilton
, New Zealand",,,,,,,,,,,,
43,5718933,9429041800362,18 Jun 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5718933,5718933,,"131 Taupaki Road, Taupaki, Auckland, 0782
, New Zealand","131 Taupaki Road, Taupaki, Auckland, 0782
, New Zealand",,,,,,,,,,,,
44,1686718,9429034571842,28 Sep 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1686718,1686718,,"126 Wharf Road, Port Albert, Wellesford
, New Zealand","126 Wharf Road, Port Albert, Wellesford
, New Zealand",,,,,,,,,,,,
45,1949575,9429033354620,12 Jun 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1949575,1949575,,"52 Seabreeze Road, Devonport, Auckland
, New Zealand","52 Seabreeze Road, Devonport, Auckland
, New Zealand",,,,,,,,,,,,
46,426296,9429039349026,01 May 1989,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco426296,426296,,"17 Crannog Fen, Wattle Downs, Auckland, 2103
, New Zealand","17 Crannog Fen, Wattle Downs, Auckland, 2103
, New Zealand",,,,,,,,,,,,
47,582951,9429038864995,21 Jul 1993,Removed,Overseas NonASIC Company,Yes,,Showing 2 of 5 directors,httpsapp.companiesoffice.govt.nzco582951,582951,,,,,Australia,"39 Russleigh Drive, (p O Box 4391), Hamilton, New Zealand
,","Care OF, C/- Stewart Coombes, 39 Russleigh Drive, Hamilton
, New Zealand",,,,,,,,
48,3064385,9429031419215,16 Aug 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3064385,3064385,,"4 Carter Place, Manurewa, Manukau, 2102
, New Zealand","4 Carter Place, Manurewa, Manukau, 2102
, New Zealand",,,,,,,,,,,,
49,85355,9429040551142,09 Oct 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco85355,85355,,"Peat Marwick House, 40 Atkinson Ave, Otahuhu
, New Zealand",,,,,,,,,,,,,
50,1623929,9429034818527,11 May 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1623929,1623929,,"5 Lawford Place, Mangere, Auckland South
, New Zealand","5 Lawford Place, Mangere, Auckland South
, New Zealand",,,,,,,,,,,,
51,1280594,9429036101672,11 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1280594,1280594,,"C/-deloitte, 80 Queen Street, Auckland, 1140
, New Zealand","C/-deloitte, 80 Queen Street, Auckland, 1140
, New Zealand",,,,,,,,,,,,
52,6039229,9429042437970,30 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6039229,6039229,,"11 Summit Road, Fairfield, Lower Hutt, 5011
, New Zealand","11 Summit Road, Fairfield, Lower Hutt, 5011
, New Zealand",,,,,,,,,,,,
53,139465,9429040354408,27 Feb 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco139465,139465,,"C/o Goldsmith Fox & Co, 131a Armagh Street, Christchurch
, New Zealand",,,,,,,,,,,,,
54,881439,9429037972899,23 Oct 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco881439,881439,,"90 Langana Avenue, Browns Bay, Auckland
, New Zealand","90 Langana Avenue, Browns Bay, Auckland
, New Zealand",,,,,,,,,,,,
55,1951936,9429033340449,03 Jul 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1951936,1951936,,"Level 1, 586 Victoria Street, Hamilton, 3204
, New Zealand","Level 1, 586 Victoria Street, Hamilton, 3204
, New Zealand",,,,,,,,,,,,
56,1210741,9429036495320,10 May 2002,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1210741,1210741,,"4 Vagus Place, Royal Oak, Auckland, 1023
, New Zealand","4 Vagus Place, Royal Oak, Auckland, 1023
, New Zealand",,,,,,,,,,,,
57,6996535,9429046986221,03 Sep 2018,Removed,NZ Limited Company,No,STARFOOD LIMITED,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6996535,6996535,,"Louis Glenn, 7 Ascot Avenue, Narrow Neck, Auckland, 0624
, New Zealand","Louis Glenn, 7 Ascot Avenue, Narrow Neck, Auckland, 0624
, New Zealand",,,,,,,,,,,,
58,562858,9429038926556,17 Dec 1992,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco562858,562858,,"4th Floor,, Autopoint House,, 20 Daly Street,, Lower Hutt.
, New Zealand",,,,,,,,,,,,,
59,175094,9429040150550,23 Dec 1946,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco175094,175094,,"Murray Crossman & Partners, Marac House, 132 First Avenue, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,
60,6754277,9429046642967,07 Mar 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6754277,6754277,,"Te Rangi Wroe, 90 Matai Street, Castlecliff, Whanganui, 4501
, New Zealand","Te Rangi Wroe, 90 Matai Street, Castlecliff, Whanganui, 4501
, New Zealand",,,,,,,,,,,,
61,10694,9429040941677,11 Jul 1957,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco10694,10694,,"Challenge House, 3 Wolfe St, Auckland 1
, New Zealand",,,,,,,,,,,,,
62,156013,9429040260563,14 Aug 1964,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco156013,156013,,"Messrs Cook Adam & Co, 181 Spey Street, Invercargill
, New Zealand","Messrs Cook Adam & Co, 181 Spey Street, Invercargill
, New Zealand",,,,,,,,,,,,
63,190348,9429040105017,16 Oct 1969,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco190348,190348,,"52 Arawata St, Te Awamutu
, New Zealand",,,,,,,,,,,,,
64,1495402,9429035466741,26 Mar 2004,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1495402,1495402,,"454 Kereone Road, Rd 1, Morrinsville, 3371
, New Zealand","454 Kereone Road, Rd 1, Morrinsville, 3371
, New Zealand",,,,,,,,,,,,
65,1918518,9429033546896,30 Mar 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1918518,1918518,,"153 Riddell Rd, Glendowie, Auckland
, New Zealand","153 Riddell Rd, Glendowie, Auckland
, New Zealand",,,,,,,,,,,,
66,5998829,9429042374343,09 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5998829,5998829,,"48 Vandeleur Avenue, Birkdale, Auckland, 0626
, New Zealand","48 Vandeleur Avenue, Birkdale, Auckland, 0626
, New Zealand",,,,,,,,,,,,
67,8153334,9429048927642,15 Feb 2021,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8153334,8153334,,"Flat 1, 115 Opawa Road, Opawa, Christchurch, 8023
, New Zealand","Flat 1, 115 Opawa Road, Opawa, Christchurch, 8023
, New Zealand",,,,,,,,,,,,
68,854540,9429038101540,30 Apr 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco854540,854540,,"Level 2, 116 Harris Road, East Tamaki
, New Zealand","Level 2, 116 Harris Road, East Tamaki
, New Zealand",June,,,,,,,,,,,
69,6068007,9429042485391,27 Jul 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6068007,6068007,,"96a Union Road, Howick, Auckland, 2014
, New Zealand","96a Union Road, Howick, Auckland, 2014
, New Zealand",,,,,,,,,,,,
70,1283518,9429036082834,13 Mar 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1283518,1283518,,"840 Dominion Rd., Mt. Roskill, Auckland
, New Zealand","840 Dominion Rd., Mt. Roskill, Auckland
, New Zealand",,,,,,,,,,,,
71,190783,9429040099552,04 May 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco190783,190783,,"Ernst & Whinney, Bnz Building, Wharf St, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,
72,2078838,9429032968491,11 Jan 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2078838,2078838,,"long and cowan, Suite 2 Floor 2 Hallenstein House, 276 Lambton Quay, Wellington Central, Wellington, 6011
, New Zealand","32 Norwich Street, Wadestown, Wellington, 6012
, New Zealand",,,,,,,,,,,,
73,2086185,9429032945621,21 Jan 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2086185,2086185,,"1325c Eruera Street, Rotorua
, New Zealand","25d Main Road, Tirau, South Waikato 3410
, New Zealand",,,,,,,,,,,,
74,160809,9429040234809,10 Feb 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco160809,160809,,"C/o Mr D I Walker, Marine Parade, Wairoa Box 113
, New Zealand",,,,,,,,,,,,,
75,1759183,9429034340936,23 Jan 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1759183,1759183,,"77 Whittaker Rd, Rotorua
, New Zealand","77 Whittaker Rd, Rotorua
, New Zealand",,,,,,,,,,,,
76,883356,9429037964597,17 Nov 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco883356,883356,,"C/- Hargrave Munn & Teague, Chartered Accountant, Level 3, 17 Albert Street, Auckland
, New Zealand","C/- Hargrave Munn & Teague, Chartered Accountant, Level 3, 17 Albert Street, Auckland
, New Zealand",,,,,,,,,,,,
77,3286628,9429031204699,25 Feb 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3286628,3286628,,"115 Norman Lesser Drive, Saint Johns, Auckland, 1072
, New Zealand","115 Norman Lesser Drive, Saint Johns, Auckland, 1072
, New Zealand",,,,,,,,,,,,
78,2173410,9429032557824,16 Sep 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2173410,2173410,,"187 Featherston Street, Level 3 Amp Chambers, Wellington
, New Zealand","187 Featherston Street, Level 3 Amp Chambers, Wellington
, New Zealand",,,,,,,,,,,,
79,927768,9429037751418,28 Sep 1998,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco927768,927768,,"511 Rosebank Road, Avondale, Auckland, 1026
, New Zealand","511 Rosebank Road, Avondale, Auckland, 1026
, New Zealand",,,,,,,,,,,,
80,1640610,9429034734490,03 Jun 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1640610,1640610,,"C/-kdb Chartered Accountants Ltd, Level, 2, Orica House, 123 Carlton Gore Rd, Newmarket, Auckland
, New Zealand","C/-kdb Chartered Accountants Ltd, Level, 2, Orica House, 123 Carlton Gore Rd, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
81,49058,9429040727769,31 Jul 1951,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco49058,49058,,"1st Floor, Nzi Building, 507 Lake Rd, Takapuna
, New Zealand",,,,,,,,,,,,,
82,23017,9429040883755,04 Dec 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco23017,23017,,"C/o Official Assignee, 1st Floor Databank Hse, 175 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
83,79323,9429040592053,05 Jun 1970,Removed,NZ Limited Company,No,No,Showing 2 of 5 directors,httpsapp.companiesoffice.govt.nzco79323,79323,,"105 Cyril French Drive, Flat Bush, Manukau, 2016
, New Zealand","105 Cyril French Drive, Flat Bush, Manukau, 2016
, New Zealand",,,,,,,,,,,,
84,1678055,9429034603796,10 Aug 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1678055,1678055,,"100 Burnett Street, Ashburton
, New Zealand","100 Burnett Street, Ashburton
, New Zealand",,,,,,,,,,,,
85,1895978,9429033688435,09 Jan 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1895978,1895978,,"586 A Maunganui Road, Mount Maunganui
, New Zealand","586 A Maunganui Road, Mount Maunganui
, New Zealand",,,,,,,,,,,,
86,817078,9429038281747,03 Jul 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco817078,817078,,"3 Ballintra Close, Albany, Auckland
, New Zealand","3 Ballintra Close, Albany, Auckland
, New Zealand",,,,,,,,,,,,
