,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,ACN Number:,FRA Reporting Month:,Reports
20,1292536,9429036031290,10 Apr 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1292536,1292536,,"7 Sophora Pl, Queenspark, Christchurch
, New Zealand","7 Sophora Pl, Queenspark, Christchurch
, New Zealand",,,,,,,,,,,,
21,196970,9429040055756,03 Jun 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco196970,196970,,"7 Bank St, Te Awamutu
, New Zealand",,,,,,,,,,,,,
22,381232,9429039488183,03 Feb 1988,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco381232,381232,,"4th Floor, Civic Centre, The Square, Palmerston North
, New Zealand","-
, New Zealand",,,,,,,,,,,,
23,6659,9429040956381,03 Apr 1950,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco6659,6659,,"Strand Buildings, 83 The Square, Palmerston North
, New Zealand",,,,,,,,,,,,,
24,23025,9429040884288,05 Dec 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco23025,23025,,"M/s Cowley & Stanich, Main St, Huntly
, New Zealand",,,,,,,,,,,,,
25,1318261,9429035951445,05 Jun 2003,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco1318261,1318261,,"47/17 Lyon Ave Mt Albert, Auckland
, New Zealand","47/17 Lyon Ave Mt Albert, Auckland
, New Zealand",,,,,,,,,,,,
26,127392,9429031945493,25 Jun 1963,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco127392,127392,,"19 Skyedale Drive, Harewood, Christchurch, 8051
, New Zealand","19 Skyedale Drive, Harewood, Christchurch, 8051
, New Zealand",,,,,,,,,,,,
27,8646227,9429051173869,14 Mar 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8646227,8646227,,"459 Ferguson Street, Palmerston North, Palmerston North, 4410
, New Zealand","459 Ferguson Street, Palmerston North, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,
28,5881051,9429042163978,16 Feb 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5881051,5881051,,"SIMPLE ACCOUNTING SERVICES LIMITED, 262 Thorndon Quay, Pipitea, Wellington, 6011
, New Zealand","SIMPLE ACCOUNTING SERVICES LIMITED, 262 Thorndon Quay, Pipitea, Wellington, 6011
, New Zealand",,,,,,,,,,,,
29,146697,9429040311340,06 Jul 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco146697,146697,,"C/o M J North, Savoy Building, Moray Place, Dunedin
, New Zealand",,,,,,,,,,,,,
30,198431,9429040044309,26 Jul 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco198431,198431,,"C/o Shoosmith & Lynch, Queen St, Paeroa
, New Zealand","-
, New Zealand",,,,,,,,,,,,
31,985366,9429037452469,19 Oct 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco985366,985366,,"1 Bennett Road, Pakuranga, Auckland
, New Zealand","1 Bennett Road, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
32,685788,9429038451379,24 Jul 1995,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco685788,685788,,"143 Qubec Road, Nelson
, New Zealand","143 Qubec Road, Nelson
, New Zealand",,,,,,,,,,,,
33,896128,9429037905941,09 Mar 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco896128,896128,,"32 Taupo Street, Green Bay, Auckland
, New Zealand","32 Taupo Street, Green Bay, Auckland
, New Zealand",,,,,,,,,,,,
34,2076692,9429032974997,11 Jan 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2076692,2076692,,"34 De Quincey Terrace, Highland Park, Auckland
, New Zealand","34 De Quincey Terrace, Highland Park, Auckland
, New Zealand",,,,,,,,,,,,
35,1911873,9429033589893,20 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1911873,1911873,,"1 Davey Street, Hobart, Tasmaina, Australia 7000
, New Zealand","1 Davey Street, Hobart, Tasmania, Australia 7000
, New Zealand",,,,,,,,,,,,
36,169077,9429040182209,31 May 1965,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco169077,169077,,"30 Fergusson Street, Nelson
, New Zealand",,,,,,,,,,,,,
37,145989,9429040314624,27 Jul 1960,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco145989,145989,,"150 Larnach Road, Waverley, Dunedin, 9013
, New Zealand","150 Larnach Road, Waverley, Dunedin, 9013
, New Zealand",,,,,,,,,,,,
38,1219831,9429036443857,20 Jun 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1219831,1219831,,"Level 2, 11 Picton Avenue, Christchurch
, New Zealand","Level 2, 11 Picton Avenue, Christchurch
, New Zealand",,,,,,,,,,,,
39,702731,9429038397516,16 Nov 1995,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco702731,702731,,"Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand","Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand",,,,,,,,,,,,
40,138057,9429040365251,01 Jun 1933,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco138057,138057,,"31-33 Great South Rd, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,,
41,349,9429040977829,29 Jul 1981,Removed,Overseas NonASIC Company,Yes,,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco349,349,,,,Australia,"Keith Thomas Hindle, Kpmg Peat Marwick, P O Box 996, Wellington
,",,,,,,,,,,
42,1817715,9429034111444,19 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1817715,1817715,,"22 Havana Rise, Grenada Village, Wellington, 6037
, New Zealand","22 Havana Rise, Grenada Village, Wellington, 6037
, New Zealand",,,,,,,,,,,,
43,715731,9429038364464,07 Mar 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco715731,715731,,"97-101 Hobson Street, Auckland 1
, New Zealand","Same As Registered Office Address
, New Zealand",,,,"THE INSOLVENCY PRACTITIONER, For Details See Reports In Documents Tab",FOR DETAILS SEE REPORTS IN DOCUMENTS TAB,64 0,,01 May 2001,"Debenture
7 Aug 1996
WHITETOP MUSHROOM FARM 1982 LIMITED Secured Party",,,
44,3262389,9429031226516,24 Feb 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3262389,3262389,,"27 Goodwin Avenue, Oneroa, Waiheke Island, 1081
, New Zealand","27 Goodwin Avenue, Oneroa, Waiheke Island, 1081
, New Zealand",,,,,,,,,,,,
45,8937649,9429051628628,19 Oct 2023,Removed,NZ Limited Company,No,No,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco8937649,8937649,,"44 Reding Street, Takanini, Takanini, 2112
, New Zealand","44 Reding Street, Takanini, Takanini, 2112
, New Zealand",,,,,,,,,,,,
46,2327405,9429031890960,02 Oct 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2327405,2327405,,"587 Kamo Road, Kamo, Kamo, 0112
, New Zealand","118 Old Onerahi Road, Onerahi, Whangarei, 0110
, New Zealand",,,,,,,,,,,,
47,847102,9429038136788,13 Mar 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco847102,847102,,"C/-peter Blacklaws Chartered Accountants, 283 Lincoln Road, Addington, Christchurch
, New Zealand","C/-peter Blacklaws Chartered Accountant, 283 Lincoln Road, Addington, Christchurch
, New Zealand",,,,,,,,,,,,
48,1810597,9429034143070,29 May 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1810597,1810597,,"16 Bell Street, Wanganui
, New Zealand","16 Bell Street, Wanganui
, New Zealand",,,,,,,,,,,,
49,1201332,9429036550159,03 Apr 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1201332,1201332,,"1 Bennett Road, Pakuranga, Auckland
, New Zealand","1 Bennett Road, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
50,2295990,9429032065350,12 Aug 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2295990,2295990,,"Hooker Associates Limited, 4 Bounty Street, Bryndwr, Christchurch, 8053
, New Zealand","Hooker Associates Limited, 4 Bounty Street, Bryndwr, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
51,347,9429040977805,29 Jul 1981,Removed,Overseas NonASIC Company,Yes,,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco347,347,,,,Australia,"135 Victoria Street, Wellington
,",,,,,,,,,,
52,4576443,9429030114456,13 Aug 2013,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4576443,4576443,,"Bennett Reddington Ltd, Unit 3b, 303 Blenheim Road, Christchurch, 8041
, New Zealand","Bennett Reddington Ltd, Unit 3b, 303 Blenheim Road, Christchurch, 8041
, New Zealand",,,,,,,,,,,,
53,2124861,9429032770018,12 May 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2124861,2124861,,"27 Brown Street, Ponsonby, C/-balance Associates
, New Zealand","27 Brown Street, Ponsonby, C/-balance Associates
, New Zealand",,,,,,,,,,,,
54,6103448,9429042561750,13 Sep 2016,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco6103448,6103448,,"Mercer Business Partners Limited, 86 Ruapehu Street, Taupo, Taupo, 3330
, New Zealand","Mercer Business Partners Limited, 86 Ruapehu Street, Taupo, Taupo, 3330
, New Zealand",,,,,,,,,,,,
55,938196,9429037701444,09 Dec 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco938196,938196,,"212 Whitford Road, Howick, Auckland
, New Zealand","212 Whitford Road, Howick, Auckland
, New Zealand",,,,,,,,,,,,
56,1260687,9429036217670,06 Dec 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1260687,1260687,,"Sinko & Associates Limited, Suite 2, 33 Apollo Drive, Rosedale, Auckland, 0632
, New Zealand","Sinko & Associates Limited, Suite 2, 33 Apollo Drive, Rosedale, Auckland, 0632
, New Zealand",,,,,,,,,,,,
57,2163842,9429032601497,22 Aug 2008,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2163842,2163842,,"Kevin Tremain Bower, 1257 Shands Road, Rd 4, Christchurch, 7674
, New Zealand","Kevin Tremain Bower, 1257 Shands Road, Rd 4, Christchurch, 7674
, New Zealand",,,,,,,,,,,,
58,974248,9429037510749,13 Aug 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco974248,974248,,"Graeme A Doull, Chartered Accountant, Cnr Cameron & Albert Streets, Whangarei
, New Zealand","Graeme A Doull, Chartered Accountant, Cnr Cameron & Albert Streets, Whangarei
, New Zealand",,,,,,,,,,,,
59,1978467,9429033173993,31 Aug 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1978467,1978467,,"651 Port Underwood Road, Rd 1, Picton, 7281
, New Zealand","651 Port Underwood Road, Rd 1, Picton, 7281
, New Zealand",,,,,,,,,,,,
60,1306639,9429035971337,29 May 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1306639,1306639,,"56 Friend St, Karori, Wellington
, New Zealand","56 Friend St, Karori, Wellington
, New Zealand",,,,,,,,,,,,
61,1713147,9429034484821,17 Oct 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1713147,1713147,,"Verne Burmester Limited, 116 Third Avenue, Tauranga, 3110
, New Zealand","Verne Burmester Limited, 116 Third Avenue, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
62,105829,9429040391991,14 Jun 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco105829,105829,,"7c Campbell Rd, Takapuna
, New Zealand",,,,,,,,,,,,,
63,8132784,9429048719025,14 Oct 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8132784,8132784,,"Jordan Foster, 744a State Highway 7, Dobson, Greymouth, 7805
, New Zealand","Jordan Foster, 744a State Highway 7, Dobson, Greymouth, 7805
, New Zealand",,,,,,,,,,,,
64,1236127,9429036350988,02 Sep 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1236127,1236127,,"123 Sunset Road, Glenfield, Auckland
, New Zealand","123 Sunset Road, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
65,630547,9429038685989,06 May 1994,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco630547,630547,,"9 B, The Peak, 117 Victoria Street West, Auckland Central 1001
, New Zealand","9 B The Peak, 117 Victoria Street West, Auckland Central 1001
, New Zealand",,,,,,,,,,,,
66,1224093,9429036419173,12 Jul 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1224093,1224093,,"8d Velle Berde Dr, Mairangi Bay Auckland
, New Zealand","8d Velle Berde Dr, Mairangi Bay Auckland
, New Zealand",,,,,,,,,,,,
67,1420599,9429035723059,10 Oct 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1420599,1420599,,"C/- 306a Hardy Street, Nelson
, New Zealand","C/- Smith Law, 306a Hardy Street, Nelson
, New Zealand",,,,,,,,,,,,
68,1844474,9429033979212,19 Jul 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1844474,1844474,,"13/179 The Terrace, Wellington
, New Zealand","13/179 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,
69,965658,9429037552923,24 Jun 1999,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco965658,965658,,"C/- Sothertons Limited, Level 1, 10 Heather Street, Parnell, Auckland
, New Zealand","C/- Sothertons Limited, Level 1, 10 Heather Street, Parnell, Auckland
, New Zealand",,,,,,,,,,,,
70,1210509,9429036495818,10 May 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1210509,1210509,,"69 Puriri Rd, Waikanae
, New Zealand","69 Puriri Rd, Waikanae
, New Zealand",,,,,,,,,,,,
71,67475,9429040657967,30 Oct 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco67475,67475,,"No 4 R D, Hikurangi
, New Zealand",,,,,,,,,,,,,
72,94879,9429040485317,30 Jun 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco94879,94879,,"64 Morrin Road, Panmure, Auckland
, New Zealand",,,,,,,,,,,,,
73,6359736,9429046276599,02 Aug 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6359736,6359736,,"Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand","Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
74,976774,9429037496678,01 Sep 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco976774,976774,,"342 Gt South Road, Papatoetoe, Auckland
, New Zealand","4 Millard St, Hillsborough, Auckland
, New Zealand",,,,,,,,,,,,
75,1848290,9429033960395,11 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1848290,1848290,,"C/- Noone Ford Simpson Ltd, 2nd Floor,18 Woollcombe Street, Timaru, 7910
, New Zealand","C/- Noone Ford Simpson Ltd, 2nd Floor,18 Woollcombe Street, Timaru, 7910
, New Zealand",,,,,,,,,,,,
76,8433262,9429050725113,25 Jul 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8433262,8433262,,"11 Glenmary Place, Papatoetoe, Auckland, 2025
, New Zealand","11 Glenmary Place, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
77,1500960,9429035460251,01 Apr 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1500960,1500960,,"Unit G, Hanyang Shopping, 491 Pakuranga Rd, Howick, Auckland
, New Zealand","Unit G, Hanyang Shopping, 491 Pakuranga Rd, Howick, Auckland
, New Zealand",,,,,,,,,,,,
78,500839,9429039130280,27 Feb 1991,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco500839,500839,,"Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand","Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
79,140962,9429040340166,31 Mar 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco140962,140962,,"558 Colombo St, Christchurch
, New Zealand","-
, New Zealand",,,,,,,,,,,,
80,1780571,9429034259351,06 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1780571,1780571,,"3 Cobana Place, Pakuranga Auckland
, New Zealand","3 Cobana Place, Pakuranga Auckland
, New Zealand",,,,,,,,,,,,
81,81007,9429040579467,26 Jul 1950,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco81007,81007,,"Charter House, 20 Northcroft St, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,,
82,31230,9429040834481,26 Jul 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco31230,31230,,"Wicksteed Terrace, Wanganui
, New Zealand",,,,,,,,,,,,,
83,949789,9429037639914,24 Mar 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco949789,949789,,"C/- Vga Chartered Accountants Ltd, 820 Mt Eden Road, Mt Eden, Auckland
, New Zealand","C/- Vga Chartered Accountants Ltd, 820 Mt Eden Road, Mt Eden, Auckland
, New Zealand",,,,,,,,,,,,
84,6135352,9429043388271,21 Oct 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6135352,6135352,,"Flat 1, 45b Puhinui Road, Manukau, Auckland, 2104
, New Zealand","Flat 1, 45b Puhinui Road, Manukau, Auckland, 2104
, New Zealand",,,,,,,,,,,,
85,1702975,9429034516089,28 Sep 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1702975,1702975,,"4 Mohill Place, East Tamaki Heights, Auckland, 2016
, New Zealand","4 Mohill Place, East Tamaki Heights, Auckland, 2016
, New Zealand",,,,,,,,,,,,
86,4676423,9429030041608,27 Sep 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4676423,4676423,,"4 Dicker Road, Rd 1, Upper Moutere, 7173
, New Zealand","4 Dicker Road, Rd 1, Upper Moutere, 7173
, New Zealand",,,,,,,,,,,,
87,8430531,9429050720095,21 Jul 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8430531,8430531,,"34 Allen Street, Christchurch Central, Christchurch, 8011
, New Zealand","34 Allen Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
88,3934880,9429030571440,27 Jul 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3934880,3934880,,"73 Hellyers Street, Birkdale, Auckland, 0626
, New Zealand","73 Hellyers Street, Birkdale, Auckland, 0626
, New Zealand",,,,,,,,,,,,
