,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
15,934584,9429037719777,04 Dec 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco934584,934584,,"Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand","Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand",December,,,,,,,,,,,
16,4680139,9429030039254,24 Oct 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4680139,4680139,,"O Te Wairua Whare Wananga, 21 Tasman Street, The Wood, Nelson, 7010
, New Zealand","O Te Wairua Whare Wananga, 21 Tasman Street, The Wood, Nelson, 7010
, New Zealand",,,,,,,,,,,,
17,1899527,9429033667928,15 Jan 2007,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1899527,1899527,,"65a Margate Road, Blockhouse Bay, Auckland, 0600
, New Zealand","65a Margate Road, Blockhouse Bay, Auckland, 0600
, New Zealand",,,,,,,,,,,,
18,169256,9429040179063,14 Apr 1981,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco169256,169256,,"19 Hunter Avenue, Richmond
, New Zealand",,,,,,,,,,,,,
19,873675,9429038008719,22 Sep 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco873675,873675,,"12 Regan Street, Stratford
, New Zealand","12 Regan Street, Stratford
, New Zealand",,,,,,,,,,,,
20,1238510,9429036335992,11 Sep 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1238510,1238510,,"C/-stratagem Limited, 28 Vivian Street, New Plymouth
, New Zealand","C/-stratagem Limited, 28 Vivian Street, New Plymouth
, New Zealand",,,,,,,,,,,,
21,966974,9429037547318,25 Jun 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco966974,966974,,"14 Isherwood Place, St Johns Park, Auckland 5
, New Zealand","14 Isherwood Place, St Johns Park, Auckland 5
, New Zealand",,,,,,,,,,,,
22,1602909,9429034937570,10 Mar 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1602909,1602909,,"Ground Floor, 22 Foster Street, Tower Junction, Christchurch, 8149
, New Zealand","Ground Floor, 22 Foster Street, Tower Junction, Christchurch, 8149
, New Zealand",,,,,,,,,,,,
23,51852,9429040718279,27 Oct 1954,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco51852,51852,,"Level 2, 116 Harris Road, East Tamaki
, New Zealand","Level 2, 116 Harris Road, East Tamaki
, New Zealand",,,,,,,,,,,,
24,72293,9429040633039,10 Mar 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco72293,72293,,"22 Amersham Way, Manukau City, Auckland
, New Zealand",,,,,,,,,,,,,
25,913432,9429037819972,23 Jun 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco913432,913432,,"30 Walden Lane, R D 1, Te Puna, Tauranga
, New Zealand","30 Walden Lane, R D 1, Te Puna, Tauranga
, New Zealand",,,,,,,,,,,,
26,131251,9429031902007,29 May 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco131251,131251,,"177 Lichfield St, Christchurch
, New Zealand",,,,,,,,,,,,,
27,1548971,9429035214793,27 Aug 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1548971,1548971,,"C/-meltzer Mason Heath, Level 16, 7 City Road, Auckland
, New Zealand","C/-meltzer Mason Heath, Level 16, 7 City Road, Auckland
, New Zealand",,,,,,,,,,,,
28,1392247,9429035786313,04 Sep 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1392247,1392247,,"C/- 21c Joy Street, Shirley, Christchurch
, New Zealand","C/- 21c Joy Street, Shirley, Christchurch
, New Zealand",,,,,,,,,,,,
29,3321989,9429031177658,18 Mar 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3321989,3321989,,"77b Asquith Avenue, Mount Albert, Auckland, 1025
, New Zealand","77b Asquith Avenue, Mount Albert, Auckland, 1025
, New Zealand",,,,,,,,,,,,
30,1302747,9429035989226,09 May 2003,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1302747,1302747,,"Grant Rae Chartered Accountant Limited, 4 Leslie Hills Drive, Riccarton, Christchurch
, New Zealand","Grant Rae Chartered Accountant Limited, 4 Leslie Hills Drive, Riccarton, Christchurch
, New Zealand",,,,,,,,,,,,
31,1423300,9429035715573,14 Oct 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1423300,1423300,,"2399 Coastal Highway, Rd 2 Mariri, Upper Moutere
, New Zealand","2399 Coastal Highway, Rd 2 Mariri, Upper Moutere
, New Zealand",,,,,,,,,,,,
32,1920810,9429033532271,16 Mar 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1920810,1920810,,"N Standish, Norfolk Street, Riversdale
, New Zealand","N Standish, Norfolk Street, Riversdale
, New Zealand",,,,,,,,,,,,
33,6227380,9429045942471,01 Mar 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6227380,6227380,,"26 Aratonga Avenue, Greenlane, Auckland, 1051
, New Zealand","26 Aratonga Avenue, Greenlane, Auckland, 1051
, New Zealand",,,,,,,,,,,,
34,1245886,9429036294589,17 Oct 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1245886,1245886,,"10 Ayr Street, Flaxmere, Hastings, Hawke Bay
, New Zealand","10 Ayr Street, Flaxmere, Hastings, Hawke Bay
, New Zealand",,,,,,,,,,,,
35,1237417,9429036342969,02 Sep 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1237417,1237417,,"26 Elgin Street, Grey Lynn, Auckland
, New Zealand","26 Elgin Street, Grey Lynn, Auckland
, New Zealand",,,,,,,,,,,,
36,40435,9429040758046,08 Jun 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco40435,40435,,"22 Kotori Road, Eastbourne
, New Zealand",,,,,,,,,,,,,
37,11083,9429040940069,12 Dec 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco11083,11083,,"Vogel St, Naenae
, New Zealand",,,,,,,,,,,,,
38,4272738,9429030356078,08 Feb 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4272738,4272738,,"17 Waiake Street, Torbay, Auckland, 0630
, New Zealand","17 Waiake Street, Torbay, Auckland, 0630
, New Zealand",,,,,,,,,,,,
39,7087703,9429047090569,23 Oct 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7087703,7087703,,"40a St Vincent Avenue, Remuera, Auckland, 1050
, New Zealand","40a St Vincent Avenue, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
40,140189,9429040350868,25 Feb 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco140189,140189,,"Level 4 32 Oxford Terrace, Christchurch
, New Zealand",,,,,,,,,,,,,
41,5945634,9429042279860,26 Apr 2016,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5945634,5945634,,"3 Johnnybro Place, Rototuna North, Hamilton, 3210
, New Zealand","3 Johnnybro Place, Rototuna North, Hamilton, 3210
, New Zealand",,,,,,,,,,,,
42,4072238,9429030466401,26 Oct 2012,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4072238,4072238,,"BDO Auckland, Level 2, 116 Harris Road, East Tamaki, Auckland, 2013
, New Zealand","BDO Auckland, Level 2, 116 Harris Road, East Tamaki, Auckland, 2013
, New Zealand",,,,,,,,,,,,
43,1623300,9429034821848,12 Apr 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1623300,1623300,,"300 Richmond Rd, Grey Lynn, Auckland
, New Zealand","300 Richmond Rd, Grey Lynn, Auckland
, New Zealand",,,,,,,,,,,,
44,1649697,9429034698211,17 Jun 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1649697,1649697,,"39a St Stephens Avenue, Parnell, Auckland, 1052
, New Zealand","39a St Stephens Avenue, Parnell, Auckland, 1052
, New Zealand",,,,,,,,,,,,
45,660750,9429038549106,03 Oct 1995,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco660750,660750,,"188 Smart Road, Rd 2, New Plymouth, 4372
, New Zealand","188 Smart Road, Rd 2, New Plymouth, 4372
, New Zealand",,,,,,,,,,,,
46,119291,9429032014266,20 Nov 1968,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco119291,119291,,"55a Colemans Rd, Blenheim
, New Zealand","55a Colemans Road, Blenheim
, New Zealand",,,,,,,,,,,,
47,100936,9429040435275,07 Jun 1977,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco100936,100936,,"9 Thuja Street, Green Bay, Waitakere, 0604
, New Zealand","9 Thuja Street, Green Bay, Waitakere, 0604
, New Zealand",,,,,,,,,,,,
48,81248,9429040581927,25 Mar 1971,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco81248,81248,,"Tawa Rd, R D 1, Kumeu, Auckland
, New Zealand","Tawa Road, R D 1, Kumeu, Auckland
, New Zealand",,,,,,,,,,,,
49,3672172,9429030867987,28 Nov 2011,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3672172,3672172,,"15 Moonlight Drive, Rototuna North, Hamilton, 3210
, New Zealand","15 Moonlight Drive, Rototuna North, Hamilton, 3210
, New Zealand",,,,,,,,,,,,
50,77566,9429040601472,25 Sep 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77566,77566,,"C/- Kpmg Peat Marwick, Level 6, Kpmg Peat Marwick Centre, 9 Princes Street, Auckland 1
, New Zealand",,,,,,,,,,,,,
51,961212,9429037577353,26 May 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco961212,961212,,"4 Bahama Place, Otara, Auckland
, New Zealand","4 Bahama Place, Otara, Auckland
, New Zealand",,,,,,,,,,,,
52,32747,9429040827629,13 Sep 1976,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco32747,32747,,"264 Oxford Street, Levin
, New Zealand","264 Oxford Street, Levin
, New Zealand",,,,,,,,,,,,
53,6255828,9429046022608,24 Mar 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6255828,6255828,,"Simple Accounting Services Limited, Level 1, The Woolstore Design Centre, 262 Thorndon Quay, Wellington, 6011
, New Zealand","Simple Accounting Services Limited, Level 1, The Woolstore Design Centre, 262 Thorndon Quay, Wellington, 6011
, New Zealand",,,,,,,,,,,,
54,1854658,9429033928487,14 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1854658,1854658,,"3 Hoyle Place, New Plymouth, 4310
, New Zealand","3 Hoyle Place, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
55,5816293,9429041997000,25 Sep 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5816293,5816293,,"Oliver Cave, 56 King Street, Kensington, Whangarei, 0112
, New Zealand","Oliver Cave, 56 King Street, Kensington, Whangarei, 0112
, New Zealand",,,,,,,,,,,,
56,1874484,9429033819600,10 Oct 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1874484,1874484,,"23 Settlers Cove, Manurewa
, New Zealand","23 Settlers Cove, Manurewa
, New Zealand",,,,,,,,,,,,
57,2247228,9429032234503,26 May 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2247228,2247228,,"352 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand","352 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,,,,,,,,
58,495208,9429039145888,26 Feb 1991,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco495208,495208,,"Price Waterhouse, Chartered Accountants, 11-17 Church Street, Wellington
, New Zealand","-
, New Zealand",,,,,,,,,,,,
59,1841587,9429033994505,17 Jul 2006,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1841587,1841587,,"Spire Chartered Accountants Limited, Level 1, 35 Robert Street, Whangarei
, New Zealand","Spire Chartered Accountants Limited, Level 1, 35 Robert Street, Whangarei
, New Zealand",,,,,,,,,,,,
60,1618211,9429034847268,07 Apr 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1618211,1618211,,"Maurice J Howley, 24 Coles Cres, Papakura, Auckland
, New Zealand","Maurice J Howley, 24 Coles Cres, Papakura, Auckland
, New Zealand",,,,,,,,,,,,
61,6227329,9429045941955,03 Feb 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6227329,6227329,,"ADVISORY ACCOUNTANTS LIMITED, 22 Prosser Steet, Porirua, Wellington, 5022
, New Zealand","ADVISORY ACCOUNTANTS LIMITED, 22 Prosser Steet, Porirua, Wellington, 5022
, New Zealand",,,,,,,,,,,,
62,82329,9429040573106,01 Sep 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco82329,82329,,"182 Great South Road, Auckland 5
, New Zealand",,,,,,,,,,,,,
63,1695089,9429034544105,13 Sep 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1695089,1695089,,"Coombe Smith (PN) Limited, 168 Broadway Avenue, Palmerston North, 4410
, New Zealand","Coombe Smith (PN) Limited, 168 Broadway Avenue, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,
64,1755843,9429034353998,18 Jan 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1755843,1755843,,"13 Beach Street, Petone, Wellington
, New Zealand","13 Beach Street, Petone, Wellington
, New Zealand",,,,,,,,,,,,
65,147844,9429040305684,08 Oct 1969,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco147844,147844,,"Harvie Green Wyatt Chartered Accountants, Level 5, 229 Moray Place, Dunedin, 9016
, New Zealand","Harvie Green Wyatt Chartered Accountants, Level 5 229 Moray Place, Dunedin, 9016
, New Zealand",,,,,,,,,,,,
66,5248,9429040962924,04 Jun 1947,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5248,5248,,"Unit 5b K Road Depot, 33 Kaiwharawhara Road, Wellington
, New Zealand","Dent & Heath, 2nd Floor, 21 -23 Andrews Avenue, Lower Hutt
, New Zealand",,,,,,,,,,,,
67,438121,9429039311467,15 Aug 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco438121,438121,,"127 Main Highway, Ellerslie
, New Zealand",,,,,,,,,,,,,
68,72834,9429040628646,13 Jun 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco72834,72834,,"F3 57 Hepburn St, Auckland
, New Zealand",,,,,,,,,,,,,
69,130915,9429031906999,23 Dec 1968,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco130915,130915,,"30 Church Street, Timaru
, New Zealand","30 Church Street, Timaru
, New Zealand",,,,,,,,,,,,
70,1115127,9429037011178,14 Feb 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1115127,1115127,,"488 Mt Albert Road, Mt Albert, Auckland
, New Zealand","488 Mt Albert Road, Mt Albert, Auckland
, New Zealand",,,,,,,,,,,,
71,1276021,9429036128419,21 Feb 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1276021,1276021,,"58b Matene Place, Papamoa, Tauranga
, New Zealand","58b Matene Place, Papamoa, Tauranga
, New Zealand",,,,,,,,,,,,
72,1655518,9429034677506,28 Jun 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1655518,1655518,,"Biz Solutions Limited, Level 1, 46 Stanley Street, Parnell, Auckland
, New Zealand","Biz Solutions Limited, Level 1, 46 Stanley Street, Parnell, Auckland
, New Zealand",,,,,,,,,,,,
73,624140,9429038713811,24 Mar 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco624140,624140,,"Bdo Spicers Hamilton Ltd, Hugh Monckton Trust Building, Cnr Rostrevor & Harwood Sts, Hamilton
, New Zealand","Bdo Spicers Hamilton Ltd, Hugh Monckton Trust Building, Cnr Rostrevor & Harwood Sts, Hamilton
, New Zealand",,,,,,,,,,,,
74,5992391,9429042341680,09 May 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5992391,5992391,,"RISE ACCOUNTANTS LTD, 44k Constellation Drive, Rosedale, Auckland, 0632
, New Zealand","RISE ACCOUNTANTS LTD, 44k Constellation Drive, Rosedale, Auckland, 0632
, New Zealand",,,,,,,,,,,,
75,1005934,9429037413644,14 Dec 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1005934,1005934,,"Level 2, 116 Harris Road, East Tamaki
, New Zealand","Level 2, 116 Harris Road, East Tamaki
, New Zealand",,,,,,,,,,,,
76,124208,9429031973281,16 Nov 1950,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco124208,124208,,"C/o 22 Ormiston Street, East Tamaki, Auckland
, New Zealand",,,,,,,,,,,,,
77,1087771,9429037110956,07 Nov 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1087771,1087771,,"Prince & Partners, 17c Corinthan Drive, Albany
, New Zealand","Prince & Partners, 17c Corinthian Drive, Albany
, New Zealand",,,,,,,,,,,,
78,484237,9429039178527,07 Sep 1990,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco484237,484237,,"85 Tindalls Bay Road, Stanmore Bay
, New Zealand",,,,,,,,,,,,,
79,8202035,9429049468427,13 Jul 2021,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8202035,8202035,,"WK Christchurch Limited, Level 1, 62 Riccarton Road, Christchurch, 8011
, New Zealand","WK Christchurch Limited, Level 1, 62 Riccarton Road, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
80,939657,9429037691233,15 Dec 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco939657,939657,,"4 Parkinson Close, Whitby
, New Zealand","4 Parkinson Close, Whitby
, New Zealand",,,,,,,,,,,,
81,2098665,9429032889734,22 Feb 2008,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2098665,2098665,,"Thomas Lawson, Chartered Accountants, 16a Canon Street, Timaru, 7910
, New Zealand","Thomas Lawson, Chartered Accountants, 16a Canon Street, Timaru, 7910
, New Zealand",,,,,,,,,,,,
82,8161700,9429049019735,22 Feb 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8161700,8161700,,"43 Ellicott Road, Parawera, 3879
, New Zealand","43 Ellicott Road, Parawera, 3879
, New Zealand",,,,,,,,,,,,
83,829187,9429038225642,23 Oct 1996,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco829187,829187,,"Bright Wild Thomas & Lee Ltd, 1168 Amohia Street, Rotorua, Rotorua, 3010
, New Zealand","1168 Amohia Street, Rotorua, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
84,96651,9429040468242,26 Nov 1975,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco96651,96651,,"Johnston O'Shea Limited, 1a Douglas Street, Kensington, Whangarei, 0112
, New Zealand","Johnston O'Shea Limited, 1a Douglas Street, Kensington, Whangarei, 0112
, New Zealand",,,,,,,,,,,,
85,3196593,9429031309004,25 Nov 2010,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3196593,3196593,,"O Kims ltd, 5/243 Rosedale Road Albany, North Shore City, 0751
, New Zealand","O Kims ltd, 5/243 Rosedale Road Albany, North Shore City, 0751
, New Zealand",,,,,,,,,,,,
86,1611799,9429034886038,17 Mar 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1611799,1611799,,"3/7 Miles Avenue, Papatoetoe, Auckland
, New Zealand","3/7 Miles Avenue, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,
87,440670,9429039303271,19 Oct 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco440670,440670,,"Gresham Plaza, 224-238 Lambton Quay, Wellington
, New Zealand",,,,,,,,,,,,,
