,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
17,3783636,9429030704046,16 Apr 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3783636,3783636,,"42e Jellicoe Road, Panmure, Auckland, 1072
, New Zealand","42e Jellicoe Road, Panmure, Auckland, 1072
, New Zealand",,,,,
18,1156648,9429036802906,14 Aug 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1156648,1156648,,"12 Poseidon Place, Half Moon Bay, Auckland
, New Zealand","12 Poseidon Place, Half Moon Bay, Auckland
, New Zealand",,,,,
19,7871281,9429047895652,21 Jan 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7871281,7871281,,"4 Pateke Drive, Takanini, Takanini, 2112
, New Zealand","4 Pateke Drive, Takanini, Takanini, 2112
, New Zealand",,,,,
20,1585821,9429035038399,14 Dec 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1585821,1585821,,"Level 18, Deloitte Centre, 80 Queen St, Auckland, 1140
, New Zealand","Level 18, Deloitte Centre, 80 Queen St, Auckland, 1140
, New Zealand",,,,,
21,1398766,9429035765240,15 Sep 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1398766,1398766,,"Level 1, St George Hotel, 1 Boulcott Street, Wellington
, New Zealand","Level 1, St George Hotel, 1 Boulcott Street, Wellington
, New Zealand",,,,,
22,1110392,9429037036942,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110392,1110392,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
23,1220003,9429036441938,20 Jun 2002,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1220003,1220003,,"9 Link Road, Rd 4, Taupo, 3384
, New Zealand","9 Link Road, Rd 4, Taupo, 3384
, New Zealand",,,,,
24,397323,9429039438744,27 Jun 1988,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco397323,397323,,"14 B Cullwick Road, Mission Bay
, New Zealand","14 B Cullwick Road, Mission Bay
, New Zealand",,,,,
25,1614381,9429034869611,22 Mar 2005,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1614381,1614381,,"141 Knights Road, Lower Hutt, Lower Hutt, 5010
, New Zealand","141 Knights Road, Lower Hutt, Lower Hutt, 5010
, New Zealand",,,,,
26,5718935,9429041787083,23 Jun 2015,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5718935,5718935,,"36 Blacks Road, Greenhithe, Auckland, 0632
, New Zealand","36 Blacks Road, Greenhithe, Auckland, 0632
, New Zealand",,,,,
27,1596840,9429034976425,26 Jan 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1596840,1596840,,"10 / 10 Crownlynn Place, New Lynn Auckland
, New Zealand","10 / 10 Crownlynn Place, New Lynn Auckland
, New Zealand",,,,,
28,1852601,9429033938301,21 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1852601,1852601,,"40 Attlee Cres, Burnside, Christchurch
, New Zealand","40 Attlee Cres, Christchurch
, New Zealand",,,,,
29,975973,9429037499914,31 Aug 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco975973,975973,,"11 Tawa Street, Woburn, Lower Hutt
, New Zealand","11 Tawa Street, Woburn, Lower Hutt
, New Zealand",,,,,
30,1223837,9429036420490,31 Jul 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1223837,1223837,,"Shop 1/ 77 St. George Street, Papatoetoe, Auckland
, New Zealand","Shop 1 / 77 St. George Street, Papatoetoe, Auckland
, New Zealand",,,,,
31,2018468,9429033079356,18 Oct 2007,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2018468,2018468,,"2 Ocean Parade, Pukerua Bay, Pukerua Bay, 5026
, New Zealand","2 Ocean Parade, Pukerua Bay, Pukerua Bay, 5026
, New Zealand",,,,,
32,1110393,9429037037000,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110393,1110393,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
33,1056962,9429037169992,17 Aug 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1056962,1056962,,"The Offices Of Vernon Kennerley, Chartered Accountant, 14 King Edward Avenue, Epsom, Auckland
, New Zealand","The Offices Of Vernon Kennerley, Chartered Accountant, 14 King Edward Avenue, Epsom, Auckland
, New Zealand",,,,,
34,458867,9429039251411,07 Feb 1990,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco458867,458867,,"1016c Great South Road, Penrose, Auckland
, New Zealand","1016c Great South Road, Penrose, Auckland
, New Zealand",,,,,
35,1521572,9429035352419,17 Jun 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1521572,1521572,,"6 Rishworth Avenue, Arkles Bay, Whangaparaoa, 0932
, New Zealand","6 Rishworth Avenue, Arkles Bay, Whangaparaoa, 0932
, New Zealand",,,,,
36,6068356,9429042486183,03 Aug 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6068356,6068356,,"Jennifer Yang, 12a Brighton Terrace, Murrays Bay, Auckland, 0630
, New Zealand","Jennifer Yang, 12a Brighton Terrace, Murrays Bay, Auckland, 0630
, New Zealand",March,,,,
37,1860421,9429033897042,04 Sep 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1860421,1860421,,"3j,6 Piwawaka St, Mt Eden, Auckland, 0632
, New Zealand","3j,6 Piwawaka St, Mt Eden, Auckland, 0632
, New Zealand",,,,,
38,1650742,9429034696828,23 Jun 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1650742,1650742,,"44 Yarmouth Road, Flaxmere, Hastings
, New Zealand","44 Yarmouth Road, Flaxmere, Hastings
, New Zealand",,,,,
39,201709,9429040013121,04 Aug 1983,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco201709,201709,,"C/- Lb Dawson & Associates Ltd, Chartered Accounants, First Floor, 126 Eleventh Ave , Tauranga
, New Zealand","C/- Lb Dawson & Associates Ltd, Chartered Accountants, First Floor, 126, Eleventh Ave , Tauranga
, New Zealand",,,,,
40,8126067,9429048652292,21 Sep 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8126067,8126067,,"Unit 19, 96 Rosedale Road, Rosedale, Auckland, 0632
, New Zealand","Unit 19, 96 Rosedale Road, Rosedale, Auckland, 0632
, New Zealand",,,,,
41,2165363,9429032596649,21 Aug 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2165363,2165363,,"Broadway Accounting Solutions Limited, 306a Broadway Avenue, Terrace End, Palmerston North, 4442
, New Zealand","Broadway Accounting Solutions Limited, 306a Broadway Avenue, Terrace End, Palmerston North, 4442
, New Zealand",,,,,
42,1234541,9429036360291,30 Sep 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1234541,1234541,,"177 Te Tahi Road, Pirongia
, New Zealand","177 Te Tahi Road, Pirongia
, New Zealand",,,,,
43,1110394,9429037037048,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110394,1110394,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
44,1855373,9429033923994,16 Aug 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1855373,1855373,,"Chester Grey Chartered Accountants Limited, Van Den Brink House, Level 2, 652 Great South Road, Manukau City, 2104
, New Zealand","Van Den Brink House, Level 2, 652 Great South Road, Manukau City, 2104
, New Zealand",,,,,
45,6271995,9429046093172,05 May 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6271995,6271995,,"John Kerr, 34 Redoubt Road, Goodwood Heights, Auckland, 2105
, New Zealand","John Kerr, 34 Redoubt Road, Goodwood Heights, Auckland, 2105
, New Zealand",,,,,
46,1119650,9429036988419,12 Mar 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1119650,1119650,,"Mccombe & Co, 23 Crawford Street, Dunedin
, New Zealand","Mccombe & Co, 23 Crawford Street, Dunedin
, New Zealand",,,,,
47,1027000,9429037299415,03 Apr 2000,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1027000,1027000,,"20 Northboro Road, Hauraki, Auckland, 0622
, New Zealand","20 Northboro Road, Hauraki, Auckland, 0622
, New Zealand",,,,,
48,1673290,9429034621738,05 Aug 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1673290,1673290,,"2 Yang Place, Papakura, 2110
, New Zealand","2 Yang Place, Papakura, 2110
, New Zealand",,,,,
49,1253296,9429036257874,28 Nov 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1253296,1253296,,"128 Rostrevor Street, Rostrevor Professional Group, Hamilton
, New Zealand","128 Rostrevor Street, Rostrevor Professional Group, Hamilton
, New Zealand",,,,,
50,94602,9429040484433,03 Jun 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco94602,94602,,"1 Cullen Avenue, Mt Roskill, Auckland
, New Zealand",,,,,,
51,8461482,9429050799480,13 Sep 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8461482,8461482,,"11 Blomfield Spa, Takapuna, Auckland, 0622
, New Zealand","11 Blomfield Spa, Takapuna, Auckland, 0622
, New Zealand",,,,,
52,1949196,9429033355726,07 Jun 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1949196,1949196,,"48 Milan Drive, Glen Eden, Auckland 0602
, New Zealand","48 Milan Drive, Glen Eden, Auckland 0602
, New Zealand",,,,,
53,2497730,9429031520706,01 Jun 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2497730,2497730,,"Unit 4, 32 Moselle Ave, Henderson, Auckland
, New Zealand","Unit 4, 32 Moselle Avenue, Henderson, Auckland
, New Zealand",,,,,
54,1110396,9429037037109,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110396,1110396,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
55,904502,9429037861360,16 Apr 1998,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco904502,904502,,"87a Stanley Road, Glenfield
, New Zealand","87a Stanley Road, Glenfield
, New Zealand",,,,,
56,1226533,9429036405671,02 Aug 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1226533,1226533,,"Level 1, 159 Parnell Road, Parnell, Auckland
, New Zealand","Level 1, 159 Parnell Road, Parnell, Auckland
, New Zealand",,,,,
57,6885436,9429046842657,20 Jun 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6885436,6885436,,"74 Huntington Drive, Huntington, Hamilton, 3210
, New Zealand","74 Huntington Drive, Huntington, Hamilton, 3210
, New Zealand",,,,,
58,529101,9429039038432,14 Nov 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco529101,529101,,"42 Elgin Street, Grey Lynn, Auckland
, New Zealand","42 Elgin Street, Grey Lynn, Auckland
, New Zealand",,,,,
59,6903633,9429046862112,02 Jul 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6903633,6903633,,"161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand","161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand",,,,,
60,6950417,9429046931023,01 Aug 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6950417,6950417,,"14 Sidey Avenue, Clover Park, Auckland, 2019
, New Zealand","14 Sidey Avenue, Clover Park, Auckland, 2019
, New Zealand",,,,,
61,1147558,9429036851218,29 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1147558,1147558,,"C/- Porirua Chartered Accountants Ltd, Level 1, 22 Prosser Street, Porirua
, New Zealand","C/- Porirua Chartered Accountants Ltd, Level 1, 22 Prosser Street, Porirua
, New Zealand",,,,,
62,967010,9429037545512,05 Jul 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco967010,967010,,"40 Greenhaven Drive, Burwood, Christchurch 9
, New Zealand","40 Greenhaven Drive, Burwood, Christchurch 9
, New Zealand",,,,,
63,5925971,9429042254638,22 Mar 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5925971,5925971,,"7 Millbank Lane, Merivale, Christchurch, 8014
, New Zealand","7 Millbank Lane, Merivale, Christchurch, 8014
, New Zealand",,,,,
64,6012810,9429042387329,01 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6012810,6012810,,"Keziah Richmond, 89b Douglas Street, Whakatane, Whakatane, 3120
, New Zealand","Keziah Richmond, 89b Douglas Street, Whakatane, Whakatane, 3120
, New Zealand",,,,,
65,1110777,9429037034696,23 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110777,1110777,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland 1010
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland 1010
, New Zealand",,,,,
66,1805515,9429034167168,19 Apr 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1805515,1805515,,"C/-burmister & Co Limited, 181 Devonport Road, Tauranga
, New Zealand","C/-burmister & Co Limited, 181 Devonport Road, Tauranga
, New Zealand",,,,,
67,6602173,9429046510594,14 Dec 2017,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6602173,6602173,,"248 Queens Road, Panmure, Auckland, 1072
, New Zealand","248 Queens Road, Panmure, Auckland, 1072
, New Zealand",,,,,
68,3331571,9429031164641,25 Mar 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3331571,3331571,,"83 Allens Road, Allenton, Ashburton, 7700
, New Zealand","83 Allens Road, Allenton, Ashburton, 7700
, New Zealand",,,,,
69,5209221,9429041230428,12 May 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5209221,5209221,,"325 Bealey Avenue, Christchurch Central, Christchurch, 8013
, New Zealand","325 Bealey Avenue, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,
70,6256348,9429046024589,21 Mar 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6256348,6256348,,"BENDELL ACCOUNTING, 2383 Queen Charlotte Drive, Rd 1, Picton, 7281
, New Zealand","BENDELL ACCOUNTING, 2383 Queen Charlotte Drive, Rd 1, Picton, 7281
, New Zealand",,,,,
71,1170091,9429036728411,30 Oct 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1170091,1170091,,"Grant Thornton New Zealand Limited, L15, 215 Lambton Quay, Wellington, 6011
, New Zealand","Grant Thornton New Zealand Limited, L15, 215 Lambton Quay, Wellington, 6011
, New Zealand",,,,,
72,8386406,9429050628056,09 Jun 2022,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco8386406,8386406,,"9a Piermark Drive, Rosedale, Auckland, 0632
, New Zealand","9a Piermark Drive, Rosedale, Auckland, 0632
, New Zealand",,,,,
73,8010556,9429048303842,08 Jun 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8010556,8010556,,"789 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","789 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,
74,1919732,9429033541785,11 Apr 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1919732,1919732,,"19 Ruakiwi Road, Hamilton Lake, Hamilton, 3204
, New Zealand","19 Ruakiwi Road, Hamilton Lake, Hamilton, 3204
, New Zealand",,,,,
75,1110375,9429037036430,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110375,1110375,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
76,3680782,9429030857452,06 Dec 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3680782,3680782,,"438 Stokes Valley Road, Stokes Valley, Lower Hutt, 5019
, New Zealand","438 Stokes Valley Road, Stokes Valley, Lower Hutt, 5019
, New Zealand",,,,,
77,1556565,9429035180999,24 Sep 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1556565,1556565,,"36 Pukatea St, Eastbourne, Lower Hutt, 5013
, New Zealand","36 Pukatea St, Eastbourne, Lower Hutt, 5013
, New Zealand",,,,,
78,1248761,9429036277025,17 Oct 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1248761,1248761,,"83 Archmillen Ave, Pakuranga Auckland
, New Zealand","83 Archmillen Ave, Pakuranga Auckland
, New Zealand",,,,,
79,1521310,9429035353287,01 Jun 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1521310,1521310,,"64e Heriot Row, North Dunedin, Dunedin, 9016
, New Zealand","64e Heriot Row, North Dunedin, Dunedin, 9016
, New Zealand",,,,,
80,1471359,9429035603320,22 Dec 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1471359,1471359,,"35 Rimu St, New Lynn, Auckland
, New Zealand","35 Rimu St, New Lynn, Auckland
, New Zealand",,,,,
81,3504011,9429030992269,08 Aug 2011,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3504011,3504011,,"105 Riselaw Road, Calton Hill, Dunedin, 9012
, New Zealand","105 Riselaw Road, Calton Hill, Dunedin, 9012
, New Zealand",,,,,
82,5322402,9429041289808,20 Jun 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5322402,5322402,,"17 Seacrest Drive, West Harbour, Auckland, 0618
, New Zealand","17 Seacrest Drive, West Harbour, Auckland, 0618
, New Zealand",,,,,
83,7049076,9429047047839,11 Oct 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7049076,7049076,,"256 Williams Street, Christchurch, 7630
, New Zealand","256 Williams Street, Christchurch, 7630
, New Zealand",,,,,
84,1949266,9429033356655,07 Jun 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1949266,1949266,,"2664 South Road, Rd 28, Manaia, 4678
, New Zealand","2664 South Road, Rd 28, Manaia, 4678
, New Zealand",,,,,
85,1110376,9429037036461,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110376,1110376,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
86,8110736,9429048598804,01 Sep 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8110736,8110736,,"TAKAPUNA TAX SERVICES, Level 3, 12 Huron Street, Takapuna, Auckland, 0622
, New Zealand","TAKAPUNA TAX SERVICES, Level 3, 12 Huron Street, Takapuna, Auckland, 0622
, New Zealand",,,,,
87,3731410,9429030782525,23 Feb 2012,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3731410,3731410,,"30b Elliot Street, Howick, Auckland, 2014
, New Zealand","30b Elliot Street, Howick, Auckland, 2014
, New Zealand",,,,,
