,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,ACN Number:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
25,3884140,9429030629325,28 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3884140,3884140,,"Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
26,6627193,9429046529954,08 Jan 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6627193,6627193,,"COS.CA Limited, 1a Douglas Street, Kensington, Whangarei, 0112
, New Zealand","COS.CA Limited, 1a Douglas Street, Kensington, Whangarei, 0112
, New Zealand",,,,,,,,,,,,
27,3732601,9429030779341,23 Feb 2012,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3732601,3732601,,"224b Forrest Hill Road, Forrest Hill, Auckland, 0620
, New Zealand","224b Forrest Hill Road, Forrest Hill, Auckland, 0620
, New Zealand",,,,,,,,,,,,
28,7217593,9429047224179,16 Jan 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7217593,7217593,,"32a Lewis Road, Pakuranga, Auckland, 2010
, New Zealand","8-12 Battersea Street Sydenham, Christchurch, 8023
, New Zealand",,,,,,,,,,,,
29,1601167,9429034948439,11 Feb 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1601167,1601167,,"C/-staples Rodway Taranaki Limited, Level 3, 109-113 Powderham Street, New Plymouth
, New Zealand","C/-staples Rodway Taranaki Limited, Level 3, 109-113 Powderham Street, New Plymouth
, New Zealand",,,,,,,,,,,,
30,671781,9429038499357,27 Feb 1995,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco671781,671781,,"Ibis House, 1st Floor, 183 Hereford Street, Christchurch
, New Zealand","Ibis House, 1st Floor, 183 Hereford Street, Christchurch
, New Zealand",,,,,,,,,,,,
31,193817,9429040079332,29 Oct 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco193817,193817,,"C/o Prideaux Alexander & Co, The Strand Box 16, Whakatane
, New Zealand",,,,,,,,,,,,,
32,1827211,9429034066119,08 Jun 2006,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1827211,1827211,,"Wallace Diack, Level 2, Youell House, 1 Hutcheson Street, Blenheim, 7240
, New Zealand","Wallace Diack, Level 2, Youell House, 1 Hutcheson Street, Blenheim, 7240
, New Zealand",,,,,,,,,,,,
33,475336,9429039206428,17 Jul 1990,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco475336,475336,,"Kevin Murphy & Associates Ltd, 7th Floor, 17 Albert Street, Auckland
, New Zealand","Kevin Murphy & Associates Ltd, 7th Floor, 17 Albert Street, Auckland
, New Zealand",,,,,,,,,,,,
34,1189545,9429036620364,08 Mar 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1189545,1189545,,"5 Richie Cres, Takanini, Auckland
, New Zealand","5 Ritchie Cres, Takanini, Auckland
, New Zealand",,,,,,,,,,,,
35,3141673,9429031369374,23 Sep 2010,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3141673,3141673,,"Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
36,3884141,9429030629349,15 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3884141,3884141,,"Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
37,5693933,9429041766859,21 May 2015,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5693933,5693933,,"32 Queen Road, Bellevue, Tauranga, 3110
, New Zealand","32 Queen Road, Bellevue, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
38,70077,9429040643830,03 Mar 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco70077,70077,,"184 Vale St Extension, Otumoetai, Tauranga
, New Zealand",,,,,,,,,,,,,
39,92964,9429040498454,07 Nov 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco92964,92964,,"16 Boscawen St, Point Chevalier, Auckland
, New Zealand",,,,,,,,,,,,,
40,3347371,9429031146708,06 Apr 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3347371,3347371,,"47 Wairere Road, Wainui, Gisborne, 4010
, New Zealand","47 Wairere Road, Wainui, Gisborne, 4010
, New Zealand",,,,,,,,,,,,
41,29332,9429040848174,22 Apr 1974,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco29332,29332,,"102 Clyde Street, Island Bay, Wellington
, New Zealand","102 Clyde Street, Island Bay, Wellington
, New Zealand",,,,,,,,,,,,
42,801064,9429038357503,15 Mar 1996,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco801064,801064,,"89 Gloria Avenue, Te Atatu Peninsula, Auckland, 0610
, New Zealand","89 Gloria Avenue, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,,,,,,,,
43,553965,9429038960840,09 Jul 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco553965,553965,,"22 Station Road, Otahuhu
, New Zealand",,,,,,,,,,,,,
44,8012196,9429048258043,26 May 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8012196,8012196,,"Monique Messina, 4 Forest Road, Raumati South, Paraparaumu, 5032
, New Zealand","Monique Messina, 4 Forest Road, Raumati South, Paraparaumu, 5032
, New Zealand",,,,,,,,,,,,
45,3884105,9429030628731,15 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco3884105,3884105,,"Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
46,805516,9429038335044,29 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco805516,805516,,"9 Second Street, Masterton
, New Zealand","9 Second Street, Masterton
, New Zealand",,,,,,,,,,,,
47,8182347,9429049272505,30 Apr 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8182347,8182347,,"STEVE GIBSON CHARTERED ACCOUNTANTS LTD, 8 Teasdale Street, Te Awamutu, Te Awamutu, 3800
, New Zealand","STEVE GIBSON CHARTERED ACCOUNTANTS LTD, 8 Teasdale Street, Te Awamutu, Te Awamutu, 3800
, New Zealand",,,,,,,,,,,,
48,1910640,9429033599045,16 Mar 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1910640,1910640,,"2 Vernon Street, Freemans Bay, Auckland
, New Zealand","2 Vernon Street, Freemans Bay, Auckland
, New Zealand",,,,,,,,,,,,
49,5691721,9429041731819,30 Apr 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5691721,5691721,,"Sanjeet Kumar, 99 Buckland Road, Mangere East, Auckland, 2024
, New Zealand","Sanjeet Kumar, 99 Buckland Road, Mangere East, Auckland, 2024
, New Zealand",,,,,,,,,,,,
50,166320,9429040198958,02 May 1983,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco166320,166320,,"11 Gresham Place, Knightsbridge, Napier
, New Zealand","11 Gresham Place, Knightsbridge, Napier
, New Zealand",,,,,,,,,,,,
51,8189423,9429049349573,25 May 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8189423,8189423,,"31 Meon Street, Aranui, Christchurch, 8061
, New Zealand","31 Meon Street, Aranui, Christchurch, 8061
, New Zealand",,,,,,,,,,,,
52,107382,9429032265798,19 Dec 1979,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco107382,107382,,"17 John Stokes Terrace, Remuera, Auckland, 1050
, New Zealand","17 John Stokes Terrace, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
53,1512871,9429035396406,10 May 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1512871,1512871,,"Bowden Williams & Associates Ltd, Level 2, 3 Margot Street, Newmarket, Auckland
, New Zealand","Bowden Williams & Associates Ltd, Level 2, 3 Margot Street, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
54,181280,9429040135595,26 Mar 1958,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco181280,181280,,"C/- Khov Jones, 59 Apollo Drive, Albany, Auckland, 0632
, New Zealand","C/- Khov Jones, 59 Apollo Drive, Albany, Auckland, 0632
, New Zealand",,,,,,,,,,,,
55,78755,9429040593364,24 Mar 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco78755,78755,,"17 Alfred St, Northcote, Auckland
, New Zealand",,,,,,,,,,,,,
56,3884107,9429030628854,15 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3884107,3884107,,"Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
57,4298318,9429030343061,20 Feb 2013,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4298318,4298318,,"Findex, 411 Greenhill Drive, Te Awamutu, 3800
, New Zealand","Findex, 411 Greenhill Drive, Te Awamutu, 3800
, New Zealand",,,,,,,,,,,,
58,853016,9429038107474,24 Apr 1997,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco853016,853016,,"22 Mcdonald Street, Morningside, Auckland 3
, New Zealand","22 Mcdonald Street, Morningside, Auckland 3
, New Zealand",,,,,,,,,,,,
59,8873469,9429051555917,23 Aug 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8873469,8873469,,"27 Arlington Street, Burnside, Christchurch, 8053
, New Zealand","27 Arlington Street, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
60,130924,9429031907521,23 Dec 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco130924,130924,,"Coopers & Lybrand, 14th Floor Robt. Jones House, 764 Colombo Street
, New Zealand",,,,,,,,,,,,,
61,37857,9429040779546,16 Jun 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37857,37857,,"69 Rutherford St, Lower Hutt
, New Zealand",,,,,,,,,,,,,
62,8400624,9429050666706,18 Jul 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8400624,8400624,,"Christina Mahakitau, 10 Carnelian Court, Westgate, Auckland, 0614
, New Zealand","Christina Mahakitau, 10 Carnelian Court, Westgate, Auckland, 0614
, New Zealand",,,,,,,,,,,,
63,815399,9429038290787,21 Jun 1996,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco815399,815399,,"32c Willerton Avenue, New Lynn, Auckland
, New Zealand","32c Willerton Avenue, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
64,2248934,9429032229295,26 May 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2248934,2248934,,"Shand Thomson Ltd, 102 Clyde Street, Balclutha, Balclutha, 9230
, New Zealand","Shand Thomson Ltd, 102 Clyde Street, Balclutha, Balclutha, 9230
, New Zealand",,,,,,,,,,,,
65,467250,9429039226471,03 Mar 1990,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco467250,467250,,"1320 Fergusson Drive, Upper Hutt
, New Zealand",,,,,,,,,,,,,
66,7293838,9429047296749,26 Feb 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7293838,7293838,,"33a Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand","33a Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand",,,,,,,,,,,,
67,3884010,9429030628984,15 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3884010,3884010,,"Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
68,1365673,9429035845904,06 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1365673,1365673,,"81 Remuera Road, Newmarket, Auckland
, New Zealand","81 Remuera Road, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
69,6859433,9429046801821,24 May 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6859433,6859433,,"Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,,,,,,,,
70,148652,9429040296883,29 Nov 1972,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco148652,148652,,"Level 1, 69 Tarbert Street, Alexandra
, New Zealand","Level 1, 69 Tarbert Street, Alexandra
, New Zealand",,,,,,,,,,,,
71,8908848,9429051600433,13 Sep 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8908848,8908848,,"45c Mt Wellington Highway, Mt Wellington, Auckland, 1060
, New Zealand","45c Mt Wellington Highway, Mt Wellington, Auckland, 1060
, New Zealand",,,,,,,,,,,,
72,590339,9429038841323,17 May 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco590339,590339,,"37 Birdwood Avenue, Papatoetoe
, New Zealand","37 Birdwood Ave, Papatoetoe
, New Zealand",,,,,,,,,,,,
73,4566919,9429030121676,29 Jul 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4566919,4566919,,"30, 203 Kirkbride Rd, Auckland, 2022
, New Zealand","30, 203 Kirkbride Rd, Auckland, 2022
, New Zealand",,,,,,,,,,,,
74,273791,9429039843104,05 Aug 1985,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco273791,273791,,"264 Oxford St, Levin
, New Zealand","264 Oxford Street, Levin
, New Zealand",,,,,,,,,,,,
75,8305642,9429050297801,21 Feb 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8305642,8305642,,"41 Darlington Road, Miramar, Wellington, 6022
, New Zealand","41 Darlington Road, Miramar, Wellington, 6022
, New Zealand",,,,,,,,,,,,
76,1017615,9429037352912,02 Mar 2000,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1017615,1017615,,"CooperAitken Limited, 309b Pollen Street, Thames, Thames, 3500
, New Zealand","CooperAitken Limited, 309b Pollen Street, Thames, Thames, 3500
, New Zealand",,,,,,,,,,,,
77,5414283,9429041350256,05 Aug 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5414283,5414283,,"Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
78,1819076,9429034105825,19 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1819076,1819076,,"11 Rohi Place, Flat Bush, Auckland, 2016
, New Zealand","11 Rohi Place, Flat Bush, Auckland, 2016
, New Zealand",,,,,,,,,,,,
79,1887339,9429033741710,29 Nov 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1887339,1887339,,"Level 2, 291 Madras St,, Christchurch
, New Zealand","Level 2, 291 Madras St,, Christchurch
, New Zealand",,,,,,,,,,,,
80,93422,9429040495880,17 Jan 1975,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco93422,93422,,"2 Redan Rd, Kaitaia
, New Zealand","2 Redan Road, Kaitaia
, New Zealand",,,,,,,,,,,,
81,686780,9429038447983,03 Aug 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco686780,686780,,"Duns & Partners, Price Waterhouse Centre, Level 16, 119 Armagh Str, Christchurch
, New Zealand","Duns & Partners, Price Waterhouse Centre, 119 Armagh Street, Christchurch
, New Zealand",,,,,,,,,,,,
82,36748,9429040793542,17 Jul 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco36748,36748,,"Wakefield Chambers, 53a Ridgway Street, Wanganui
, New Zealand",,,,,,,,,,,,,
83,2435218,9429031624909,11 Mar 2010,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2435218,2435218,,"30 Skipjack Pass, Silverdale, Silverdale, 0932
, New Zealand","30 Skipjack Pass, Silverdale, Silverdale, 0932
, New Zealand",,,,,,,,,,,,
84,1063340,9429037151799,31 Aug 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1063340,1063340,,"111 Nelson Street, Invercargill
, New Zealand","111 Nelson St, Invercargill
, New Zealand",,,,,,,,,,,,
85,2331916,9429031866545,27 Oct 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2331916,2331916,,"50 Rowse Street, Rangiora, 7400
, New Zealand","50 Rowse Street, Rangiora, 7400
, New Zealand",,,,,,,,,,,,
86,6524333,9429046457349,10 Nov 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6524333,6524333,,"Iosua, 2b Rosemary Lane, Manurewa, Auckland, 2102
, New Zealand","AJ SHAW & COMPANY, 217b, Great South Road, Manuwera, 2102
, New Zealand",,,,,,,,,,,,
87,1549233,9429035214199,24 Aug 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1549233,1549233,,"219 Fifield Terrace, Christchurch
, New Zealand","219 Fifield Terrace, Christchurch
, New Zealand",,,,,,,,,,,,
