,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:
10,1858650,9429033904665,18 Sep 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1858650,1858650,,"49 Seddon Road, Rd1, Puketaha
, New Zealand","49 Seddon Road, Rd 1, Puketaha
, New Zealand",Showing 1 of 1 directors,
11,969402,9429037532895,16 Jul 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco969402,969402,,"C/-jones Young, Solicitors, Ground Floor, 125 Albert Street, Auckland
, New Zealand","C/-jones Young, Solicitors, Ground Floor, 125 Albert Street, Auckland
, New Zealand",Showing 1 of 1 directors,
12,141173,9429040341835,29 Jun 1981,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco141173,141173,,"M/s Hunt Duthie & Co, 76 Hereford St, Christchurch
, New Zealand",,,
13,136952,9429031832939,17 Mar 1942,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco136952,136952,,"100-104 Sophia Street, Timaru
, New Zealand",,Showing 1 of 1 directors,
14,1634066,9429034768952,11 May 2005,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1634066,1634066,,"95 Centennial Avenue, Te Aroha, Te Aroha, 3320
, New Zealand","95 Centennial Avenue, Te Aroha, Te Aroha, 3320
, New Zealand",Showing 1 of 1 directors,
15,159332,9429040243252,04 Aug 1947,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco159332,159332,,"Oldershaw & Co, Chartered Accountants, Marewa House, Kennedy Road, Napier
, New Zealand","Same As Registered Office
, New Zealand",,
16,1716292,9429034470664,21 Oct 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1716292,1716292,,"C/-289 Palmerston Road, Gisborne
, New Zealand","289 Palmerston Road, Gisborne
, New Zealand",Showing 1 of 1 directors,
17,1642628,9429034724910,01 Jun 2005,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1642628,1642628,,"Staples Rodway, Level 2, 116 Riccarton Road, Christchurch
, New Zealand","Staples Rodway, Level 2, 116 Riccarton Road, Christchurch
, New Zealand",Showing 2 of 2 directors,
18,1283227,9429036084616,10 Apr 2003,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1283227,1283227,,"19 Vincent Street, Waterloo, Lower Hutt, 5011
, New Zealand","19 Vincent Street, Waterloo, Lower Hutt, 5011
, New Zealand",Showing 1 of 1 directors,
19,363401,9429039545572,23 Sep 1987,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco363401,363401,,"Messrs Coombe Hughes & Co, 6 Hair Street, Marton
, New Zealand","-
, New Zealand",Showing 2 of 2 directors,
20,3551071,9429030947009,14 Sep 2011,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco3551071,3551071,,"83 Albert Road, Rd 4, Palmerston North, 4474
, New Zealand","83 Albert Road, Rd 4, Palmerston North, 4474
, New Zealand",Showing 1 of 1 directors,
21,1614511,9429034868386,23 Mar 2005,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1614511,1614511,,"GW Scott & Associates Limited, Chartered Accountants, 23 Empire Street, Cambridge
, New Zealand","GW Scott & Associates Limited, Chartered Accountants, 23 Empire Street, Cambridge
, New Zealand",Showing 2 of 3 directors,
22,1133318,9429036929108,19 Apr 2001,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1133318,1133318,,"29a Bryant Street, Palmerston North
, New Zealand","29a Bryant Street, Palmerston North
, New Zealand",Showing 1 of 1 directors,
23,1149901,9429036839094,25 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1149901,1149901,,"Peter Jones, 63 Devon Street West, New Plymouth
, New Zealand","Peter Jones, 63 Devon Street West, New Plymouth
, New Zealand",Showing 1 of 1 directors,
24,1919408,9429033540641,04 Apr 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1919408,1919408,,"405 / 10 Fox Street, Parnell, Auckland 1052
, New Zealand","405 / 10 Fox Street, Parnell, Auckland 1052
, New Zealand",Showing 1 of 1 directors,
25,6081968,9429042510024,17 Aug 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6081968,6081968,,"94 Blockhouse Bay Road, Avondale, Auckland, 1026
, New Zealand","94 Blockhouse Bay Road, Avondale, Auckland, 1026
, New Zealand",Showing 1 of 1 directors,
26,1304587,9429035980209,15 May 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1304587,1304587,,"25 Sullivan Ave, Opawa, Christchurch
, New Zealand","25 Sullivan Ave, Opawa, Christchurch
, New Zealand",Showing 1 of 1 directors,
27,1307347,9429035967903,28 May 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1307347,1307347,,"18 Bearing West Court, Midlands, Paraparaumu
, New Zealand","18 Bearing West Court, Midlands, Paraparaumu
, New Zealand",Showing 1 of 1 directors,
28,145210,9429040315942,18 May 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco145210,145210,,"Shand Thomson Mactavish & Co, 102-104 Clyde St, Balclutha
, New Zealand",,,
29,1621105,9429034832301,28 Apr 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1621105,1621105,,"20a Te Pai Place, Henderson
, New Zealand","20a Te Pai Place, Henderson
, New Zealand",Showing 2 of 2 directors,
30,3278,9429040968704,04 Dec 1936,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3278,3278,,"10 Fergusson Street, Feilding
, New Zealand",,,
31,147777,9429040304236,14 Aug 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco147777,147777,,"6 Shakespeare Street, Milton
, New Zealand",,,
32,45238,9429040742052,07 Sep 1945,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco45238,45238,,"C/o S K Clement, 34 Burn St, Levin
, New Zealand",,,
33,829270,9429038224140,25 Oct 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco829270,829270,,"2 Pompallier Tce, Ponsonby, Auckland
, New Zealand","2 Pompallier Tce, Ponsonby, Auckland
, New Zealand",Showing 1 of 1 directors,
34,3218187,9429031280952,14 Dec 2010,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3218187,3218187,,"5 Oakley Avenue, Claudelands, Hamilton, 3214
, New Zealand","5 Oakley Avenue, Claudelands, Hamilton, 3214
, New Zealand",Showing 1 of 1 directors,
35,1621106,9429034832349,29 Apr 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1621106,1621106,,"20a Te Pai Place, Henderson
, New Zealand","20a Te Pai Place, Henderson
, New Zealand",Showing 2 of 2 directors,
36,86084,9429040548425,08 Apr 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco86084,86084,,"Level 3, 19 Beasley Avenue, Penrose, Auckland
, New Zealand","Oen Willaims & Co, 1st Floor David Forman House, 101 Station Road, Penrose, Auckland
, New Zealand",Showing 1 of 1 directors,
37,1326985,9429035941835,12 Jun 2003,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1326985,1326985,,"132c Morley Road, Rd 1, Waiuku, 2681
, New Zealand","132c Morley Road, Rd 1, Waiuku, 2681
, New Zealand",Showing 2 of 2 directors,
38,1354045,9429035865445,23 Jul 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1354045,1354045,,"Level Two, Ami House, 116 Riccarton Road, Christchurch
, New Zealand","Level 2, Ami House, 116 Riccarton Road, Christchurch
, New Zealand",Showing 2 of 2 directors,
39,863040,9429038059841,08 Jul 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco863040,863040,,"Lynch Phibbs Ltd, Level 5, 60 Parnell Road, Parnell, Auckland
, New Zealand","Lynch Phibbs Ltd, Level 5, 60 Parnell Road, Parnell, Auckland
, New Zealand",Showing 2 of 2 directors,
40,1968726,9429033231365,20 Jul 2007,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1968726,1968726,,"1st Floor, 96 Hurstmere Road, Takapuna, North Shore City
, New Zealand","1st Floor, 96 Hurstmere Road, Takapuna, North Shore City
, New Zealand",Showing 1 of 1 directors,
41,1777886,9429034269350,02 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1777886,1777886,,"Altitude Chartered Accountantsd Ltd, Suite 20, 19 Tamamutu Street, Taupo, 3351
, New Zealand","Altitude Chartered Accountantsd Ltd, Suite 20, 19 Tamamutu Street, Taupo, 3351
, New Zealand",Showing 1 of 1 directors,
42,1540435,9429035254188,26 Aug 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1540435,1540435,,"188 Quay Street, Auckland, 1010
, New Zealand","188 Quay Street, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,
43,53540,9429040713755,29 Mar 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco53540,53540,,"5th Floor Reserve Bank Building, 67 Customs St East, Auck 1
, New Zealand",,Showing 1 of 1 directors,
44,6250044,9429045994968,06 Mar 2017,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6250044,6250044,,"Howard Hawira Reneti, 8 Farnworth Crescent, Whakatane, Whakatane, 3120
, New Zealand","Howard Hawira Reneti, 8 Farnworth Crescent, Whakatane, Whakatane, 3120
, New Zealand",Showing 1 of 1 directors,
45,1014804,9429037366025,14 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1014804,1014804,,"21 Everglade Drive, Manukau City, Auckland
, New Zealand","21 Everglade Drive, Manukau City, Auckland
, New Zealand",Showing 1 of 1 directors,
46,1495962,9429031822961,23 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1495962,1495962,,"Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand",Showing 1 of 1 directors,
47,15425,9429040919737,27 Jul 1963,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco15425,15425,,"Co 51 Dudley St, Lower Hutt Box 30137
, New Zealand",,,
48,164200,9429040212661,13 Nov 1973,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco164200,164200,,"Cnr Eastbourne And Market Streets, Hastings
, New Zealand","Cnr Eastbourne And Market Streets, Hastings
, New Zealand",Showing 2 of 2 directors,
49,568765,9429038906602,08 Dec 1992,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco568765,568765,,"40 Penryn Drive,, Camborne,, Plimmerton ,, Wellington.
, New Zealand",,Showing 2 of 2 directors,
50,77592,9429040604039,29 Sep 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco77592,77592,,"15a Wheturangi Rd, Greenlane
, New Zealand",,Showing 2 of 2 directors,
51,123345,9429031983266,08 Aug 1950,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco123345,123345,,"505 Marine Parade, Christchurch 1
, New Zealand",,,
52,126940,9429031949200,15 Dec 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco126940,126940,,"C/o Anderson Hicks & Co, 76 Hereford St, Christchurch 1
, New Zealand",,,
53,41258,9429040751351,07 Nov 1916,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco41258,41258,,"4th Floor Barclays House, 70 Shortland St, Auckland 1
, New Zealand",,,
54,198291,9429040046457,23 May 1979,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco198291,198291,,"5 Leonard Pl, Greerton, Tauranga
, New Zealand",,,
55,77162,9429040604954,31 Jul 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco77162,77162,,"52 Rosebank Rd, Avondale, Auckland
, New Zealand","52 Rosebank Rd, Avondale, Auckland
, New Zealand",Showing 2 of 2 directors,
56,54197,9429040710716,11 Sep 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco54197,54197,,"52 Rosebank Rd, Avondale, Auckland
, New Zealand","52 Rosebank Rd, Avondale, Auckland
, New Zealand",Showing 2 of 2 directors,
57,9109,9429040947310,24 Feb 1955,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco9109,9109,,"2nd Floor, Farmers Mutual House, 68 The Square, Palmerston North
, New Zealand",,Showing 2 of 2 directors,
58,1523546,9429035343189,14 Jun 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1523546,1523546,,"J B Lloyd Chartered Accountants Ltd, 7 Totara Street, Mount Maunganui
, New Zealand","J B Lloyd Chartered Accountants Ltd, 7 Totara Street, Mount Maunganui
, New Zealand",Showing 1 of 1 directors,
59,119684,9429032009392,06 Aug 1974,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco119684,119684,,"Wallace Diack Chartered Accountants Limited, Level 2, Youell House, 1 Hutcheson Street, Blenheim, 7201
, New Zealand","Wallace Diack Chartered Accountants Limited, Level 2, Youell House, 1 Hutcheson Street, Blenheim, 7201
, New Zealand",Showing 1 of 1 directors,
60,5863427,9429042108184,15 Dec 2015,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco5863427,5863427,,"KENDONS SCOTT MACDONALD LIMITED, 119 Blenheim Road, Riccarton, Christchurch, 8041
, New Zealand","KENDONS SCOTT MACDONALD LIMITED, 119 Blenheim Road, Riccarton, Christchurch, 8041
, New Zealand",Showing 2 of 2 directors,
61,2861,9429040969312,16 Jan 1935,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2861,2861,,"6th Floor Regent Bldg, Manners St Box 11-296, Wellington
, New Zealand",,,
62,145694,9429040315287,30 Jul 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco145694,145694,,"173 Bay View Rd, Dunedin
, New Zealand",,,
63,154560,9429040267630,04 Jul 1938,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco154560,154560,,"78 Stansell Avenue, Nelson
, New Zealand",,,
64,1613767,9429034872659,23 Mar 2005,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1613767,1613767,,"GB Transport Limited, 14 William Brittan Avenue, Halswell, Christchurch, 8025
, New Zealand","GB Transport Limited, 14 William Brittan Avenue, Halswell, Christchurch, 8025
, New Zealand",Showing 1 of 1 directors,
65,13701,9429040926278,22 Jun 1961,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco13701,13701,,"Fitzgerald Chartered Accountants Ltd, 7d Gibbons Street, Upper Hutt
, New Zealand","Fitzgerald Chartered Accountants Ltd, 7d Gibbons Street, Upper Hutt
, New Zealand",Showing 2 of 2 directors,
66,1819414,9429034102732,18 May 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1819414,1819414,,"16 Bell Street, Wanganui
, New Zealand","16 Bell Street, Wanganui
, New Zealand",Showing 1 of 1 directors,
67,7261396,9429047265301,11 Feb 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7261396,7261396,,"42 Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand","42 Penguin Drive, Murrays Bay, Auckland, 0630
, New Zealand",Showing 1 of 1 directors,
68,1763575,9429034324660,31 Jan 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1763575,1763575,,"369/2 Papnui Road, Papanui, Christchurch
, New Zealand","369/2 Papanui Road, Papanui, Christchurch
, New Zealand",Showing 1 of 1 directors,
69,803486,9429038347887,01 Apr 1996,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco803486,803486,,"36 Toorak Avenue, Christchurch
, New Zealand","27 Macworth Street, Christchurch
, New Zealand",Showing 1 of 1 directors,
70,829497,9429038224850,09 Oct 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco829497,829497,,"1 Wyndham Road, Upper Hutt
, New Zealand","1 Wyndham Road, Upper Hutt
, New Zealand",Showing 1 of 1 directors,
71,3219166,9429031279468,16 Dec 2010,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3219166,3219166,,"398 Luck At Last Road, Rd 2, Cambridge, 3494
, New Zealand","398 Luck At Last Road, Rd 2, Cambridge, 3494
, New Zealand",Showing 1 of 1 directors,
72,5728748,9429041809075,26 Jun 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5728748,5728748,,"FALLOON & CO LIMITED, 208 Havelock Street, Ashburton, Ashburton, 7700
, New Zealand","FALLOON & CO LIMITED, 208 Havelock Street, Ashburton, Ashburton, 7700
, New Zealand",Showing 1 of 1 directors,
73,64158,9429040672052,21 Jan 1963,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco64158,64158,,"Moore Stephens Markhams Auckland, Level 10, 203 Queen Street, Auckland, 1010
, New Zealand","Moore Stephens Markhams Auckland, Level 10, 203 Queen Street, Auckland, 1010
, New Zealand",Showing 2 of 2 directors,
74,1516385,9429035377818,28 May 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1516385,1516385,,"Graham Brown & Co Ltd, 45-49 Tirau Street, Putaruru
, New Zealand","Graham Brown & Co Ltd, 45-49 Tirau Street, Putaruru
, New Zealand",Showing 1 of 1 directors,
75,118651,9429032017076,15 Nov 1949,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco118651,118651,,"13 Archmillen Avenue, Pakuranga
, New Zealand",,,
76,,,,,,,,,20230,,,,,
77,,,,,,,,,1152641,,,,,
78,,,,,,,,,162737,,,,,
79,,,,,,,,,7790299,,,,,
80,803991,9429038347276,24 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco803991,803991,,"C/- Cook North & Wong, 1st Floor Savoy Building, Moray Place, Dunedin
, New Zealand","C/- Cook North & Wong, 1st Floor Savoy Building, Moray Place, Dunedin
, New Zealand",Showing 2 of 2 directors,
81,1599742,9429034958759,07 Feb 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1599742,1599742,,"280 Great South Road, Greenlane, Auckland, 1051
, New Zealand","280 Great South Road, Greenlane, Auckland, 1051
, New Zealand",Showing 1 of 1 directors,
82,80686,9429040584355,04 Dec 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco80686,80686,,"28 Woodford Ave, Henderson, Auckland
, New Zealand","28 Woodford Ave, Henderson, Auckland
, New Zealand",Showing 1 of 1 directors,
83,,,,,,,,,6265618,,,,,
84,,,,,,,,,1197402,,,,,
85,,,,,,,,,111658,,,,,
86,,,,,,,,,4871,,,,,
87,38578,9429040775548,08 Dec 1981,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco38578,38578,,"Hamid & Mchutchon Ltd, Chartered Accountants, 655 Queen Street, Levin
, New Zealand","Hamid & Mchutchon Ltd, Chartered Accountants, 655 Queen Street, Levin
, New Zealand",Showing 2 of 2 directors,
88,3566131,9429030934948,28 Sep 2011,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3566131,3566131,,"Flat 3, 30 Fields Parade, Oteha, Auckland, 0632
, New Zealand","Flat 3, 30 Fields Parade, Oteha, Auckland, 0632
, New Zealand",Showing 1 of 1 directors,
89,7751637,9429047711464,04 Oct 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7751637,7751637,,"Geoff batt, 10 King Street, Rd 2, Ashburton, 7772
, New Zealand","Geoff batt, 10 King Street, Rd 2, Ashburton, 7772
, New Zealand",Showing 1 of 1 directors,
90,,,,,,,,,1005828,,,,,
91,,,,,,,,,1852616,,,,,
92,,,,,,,,,3368714,,,,,
93,,,,,,,,,167879,,,,,
94,308579,9429039724243,04 Jul 1986,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco308579,308579,,"Arrow Accountants, 6 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand","Arrow Accountants, 6 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand",Showing 2 of 2 directors,
95,60933,9429040685809,09 Feb 1961,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco60933,60933,,"National Mutual Building, Rathbone Street, Whangarei
, New Zealand",,,
96,188667,9429040110103,20 Jun 1967,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco188667,188667,,"Ernst & Whinney House, Fifth Floor, Corner Victoria & London Streets, Hamilton
, New Zealand",,,
97,,,,,,,,,2485751,,,,,
98,,,,,,,,,105808,,,,,
99,135605,9429031850773,04 Jun 1974,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco135605,135605,,"10 Durie St, Wanganui
, New Zealand",,,
100,,,,,,,,,3799405,,,,,
101,,,,,,,,,972518,,,,,
102,,,,,,,,,11396,,,,,
103,,,,,,,,,178134,,,,,
104,1257271,9429036238217,20 Nov 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1257271,1257271,,"C/o N S France Chartered Accountants, 38 Birmingham Drive, Christchurch, 8024
, New Zealand","C/o N S France Chartered Accountants, 38 Birmingham Drive, Christchurch, 8024
, New Zealand",Showing 2 of 2 directors,
105,,,,,,,,,1211188,,,,,
106,,,,,,,,,150263,,,,,
107,,,,,,,,,1154671,,,,,
108,,,,,,,,,1947627,,,,,
109,1321344,9429035948025,06 Jun 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1321344,1321344,,"Cnr Taonui & Maire Streets, Palmerston North
, New Zealand","Cnr Taonui & Maire Streets, Palmerston North
, New Zealand",Showing 1 of 1 directors,
110,,,,,,,,,958878,,,,,
111,,,,,,,,,8491686,,,,,
112,,,,,,,,,1787971,,,,,
113,,,,,,,,,93295,,,,,
114,1768958,9429034301449,14 Feb 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1768958,1768958,,"Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",Showing 2 of 2 directors,
115,,,,,,,,,8226135,,,,,
116,,,,,,,,,51781,,,,,
117,,,,,,,,,1051088,,,,,
118,,,,,,,,,6141653,,,,,
119,2213247,9429032375930,02 Mar 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2213247,2213247,,"1st Floor, 81 Horomatangi Street, Taupo
, New Zealand","1st Floor, 81 Horomatangi Street, Taupo
, New Zealand",Showing 1 of 1 directors,
120,,,,,,,,,64394,,,,,
121,,,,,,,,,843591,,,,,
122,,,,,,,,,17500,,,,,
123,,,,,,,,,1927258,,,,,
124,1940646,9429033406886,08 May 2007,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1940646,1940646,,"Mead Stark Limited, 29 The Mall, Cromwell, Cromwell, 9310
, New Zealand","Mead Stark Limited, 29 The Mall, Cromwell, Cromwell, 9310
, New Zealand",Showing 2 of 2 directors,
125,,,,,,,,,1320742,,,,,
126,,,,,,,,,1202526,,,,,
127,,,,,,,,,1589453,,,,,
128,,,,,,,,,3833016,,,,,
129,96148,9429040476452,06 Oct 1975,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco96148,96148,,"8 Kereru Street, Whangarei
, New Zealand",,Showing 1 of 1 directors,
130,,,,,,,,,163765,,,,,
131,,,,,,,,,1623298,,,,,
132,,,,,,,,,92567,,,,,
133,,,,,,,,,107796,,,,,
134,4972979,9429041099803,19 Feb 2014,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco4972979,4972979,,"22 Rosewell Crescent, Flat Bush, Auckland, 2019
, New Zealand","22 Rosewell Crescent, Flat Bush, Auckland, 2019
, New Zealand",Showing 1 of 1 directors,
135,,,,,,,,,2322938,,,,,
136,,,,,,,,,1620958,,,,,
137,,,,,,,,,1874826,,,,,
138,,,,,,,,,3219890,,,,,
139,1234835,9429036358410,21 Aug 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1234835,1234835,,"2 / 242 Princess Street East, Otahuhu, Auckland
, New Zealand","2 / 242 Princess Street East, Otahuhu, Auckland
, New Zealand",Showing 1 of 1 directors,
140,,,,,,,,,1391063,,,,,
141,,,,,,,,,139817,,,,,
142,,,,,,,,,156814,,,,,
