,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
17,2720,9429040970073,09 Mar 1934,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2720,2720,,"Mr R.b. Cathcart, Chartered Accountant, Level 1, Kelvin Chambers, 44-52 The, Tce, Wellington
, New Zealand","Mr R.b. Cathcart, Chartered Accountant, Level 1, Kelvin Chambers, 44-52 The, Tce, Wellington
, New Zealand",Showing 2 of 2 directors,,,,
18,902914,9429037869243,22 Apr 1998,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco902914,902914,,"Bishop Toomey & Pfeifer, Level 3, Clock Tower Building, 375 Main South Road, Hornby, 8042
, New Zealand","Level 3, Clock Tower Building, 375 Main South Road, Hornby, 8042
, New Zealand",Showing 2 of 2 directors,,,,
19,547360,9429038985263,10 Jun 1992,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco547360,547360,,"80 White Street, Rotorua
, New Zealand","80 White Street, Rotorua
, New Zealand",Showing 2 of 2 directors,,,,
20,1688352,9429034562376,12 Sep 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1688352,1688352,,"31 Miro Street, New Lynn, Auckland
, New Zealand","31 Miro Street, New Lynn, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
21,182187,9429040134000,26 May 1959,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco182187,182187,,"C/o Kirk Barclay, 6th Floor Westpac House, Victoria Street, Hamilton
, New Zealand",,,,,,
22,75603,9429040612966,21 Nov 1968,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco75603,75603,,"Gerard Huslt & Associates, Level 8, 17 Albert Street, Auckland
, New Zealand",,Showing 1 of 1 directors,,,,
23,2244,9429040972466,06 Oct 1930,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2244,2244,,"35 Perry St, Masterton
, New Zealand",,,,,,
24,1697599,9429034533291,20 Sep 2005,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1697599,1697599,,"148 Tamahere Drive, Rd3, Tamahere, Hamilton
, New Zealand","148 Tamahere Drive, Tamahere, Rd 3, Hamilton
, New Zealand",Showing 2 of 2 directors,,,,
25,2212918,9429032379693,20 Feb 2009,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2212918,2212918,,"195 Mahoe Street, Te Awamutu
, New Zealand","195 Mahoe Street, Te Awamutu
, New Zealand",Showing 1 of 1 directors,,,,
26,201026,9429040021072,27 Aug 1982,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco201026,201026,,"402 Rolleston St, Thames
, New Zealand",,,,,,
27,122304,9429031988629,09 Oct 1945,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco122304,122304,,"Grigsons Buildings, Queen St, Waimate
, New Zealand",,,,,,
28,877610,9429037988968,09 Oct 1997,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco877610,877610,,"Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand","Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand",Showing 2 of 2 directors,,,,
29,980368,9429037479039,23 Sep 1999,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco980368,980368,,"Level 1, 5/100 Bush Road, North Harbour, Auckland
, New Zealand","Level 1, 5/100 Bush Road, North Harbour, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
30,8141251,9429048801775,17 Nov 2020,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8141251,8141251,,"Oscar Boulger, 149 Wellington Street, Wellington Street, Freemans Bay, 1011
, New Zealand","Oscar Boulger, 149 Wellington Street, Wellington Street, Freemans Bay, 1011
, New Zealand",Showing 1 of 1 directors,,,,
31,3861916,9429030645325,29 May 2012,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3861916,3861916,,"No. 35 Victoria Street West, Auckland, 1010
, New Zealand","No. 35 Victoria Street West, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,
32,2077884,9429032971774,21 Dec 2007,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2077884,2077884,,"36 Leyland St, Napier
, New Zealand","36 Leyland St, Napier
, New Zealand",Showing 1 of 1 directors,,,,
33,190028,9429040102849,13 Jun 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco190028,190028,,"111 Collingwood Street, Hamilton
, New Zealand",,,,,,
34,100401,9429040436364,29 Mar 1977,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco100401,100401,,"Official Assignee, 6th Floor Justice Departmental Building, 3 Kingston Street, Auckland
, New Zealand",,,,,,
35,124459,9429031970419,07 Apr 1955,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco124459,124459,,"Deloitte, Level 4, 32 Oxford Terrace, Christchurch
, New Zealand","Deloitte, Level 4, 32 Oxford Terrace, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,
36,154705,9429040267203,28 Aug 1946,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco154705,154705,,"126 Teviot St, Invercargill
, New Zealand",,,,,,
37,2142917,9429032692594,09 Jul 2008,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2142917,2142917,,"11 Bancroft Crescent, Glendene, Waitakere City
, New Zealand","11 Bancroft Crescent, Glendene, Waitakere City
, New Zealand",Showing 2 of 2 directors,,,,
38,978086,9429037491024,13 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco978086,978086,,"3 Bronwyn Way, Paparangi, Porirua City, Wellington
, New Zealand","3 Bronwyn Way, Paparangi, Porirua City, Wellington
, New Zealand",Showing 2 of 2 directors,,,,
39,2141213,9429032700817,17 Jun 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2141213,2141213,,"Hammond Davidson Ltd, 69c Newcastle Street, Riversdale, 9744
, New Zealand","Hammond Davidson Ltd, 69c Newcastle Street, Riversdale, 9744
, New Zealand",Showing 1 of 1 directors,,,,
40,57372,9429040697987,05 Sep 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco57372,57372,,"2nd Floor, Feltex House, 145 Symonds St, Auckland
, New Zealand",,,,,,
41,167040,9429040195452,27 Jun 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco167040,167040,,"Main Rd, Stoke
, New Zealand","Same As Registered Office
, New Zealand",Showing 2 of 2 directors,,,,
42,1281057,9429036097258,17 Mar 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1281057,1281057,,"Browns Hill, East Coast Rd, Mahia
, New Zealand","Browns Hill, East Coast Rd, Mahia
, New Zealand",Showing 1 of 1 directors,,,,
43,157054,9429040255996,07 Aug 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco157054,157054,,"Messrs O'connor Richmond, 15a Hokonui Drive, Gore
, New Zealand","Same As Above
, New Zealand",Showing 2 of 3 directors,,,,
44,7276378,9429047278622,15 Feb 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7276378,7276378,,"Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand","Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand",Showing 1 of 1 directors,,,,
45,885923,9429037952952,05 Dec 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco885923,885923,,"Ingham Mora Limited, 9 Prince Avenue, Mount Maunganui
, New Zealand","Ingham Mora Limited, 9 Prince Avenue, Mount Maunganui
, New Zealand",Showing 2 of 2 directors,,,,
46,2142941,9429032691825,09 Jul 2008,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2142941,2142941,,"11 Bancroft Crescent, Glendene, Waitakere City
, New Zealand","11 Bancroft Crescent, Glendene, Waitakere City
, New Zealand",Showing 2 of 2 directors,,,,
47,74968,9429040617343,30 Jul 1968,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco74968,74968,,"Arthur Young, 22 Amersham Way, Manukau City
, New Zealand",,,,,,
48,1958157,9429033295350,25 Jun 2007,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1958157,1958157,,"Melessa Henderson CA Ltd, 101 Arawa Street, Matamata, Matamata, 3400
, New Zealand","Melessa Henderson CA Ltd, 101 Arawa Street, Matamata, Matamata, 3400
, New Zealand",Showing 2 of 2 directors,,,,
49,1123804,9429036967575,19 Mar 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1123804,1123804,,"C/ -prince & Partners, 17c Corinthian Drive, Albany, Auckland, 0752
, New Zealand","C/ -prince & Partners, 17c Corinthian Drive, Albany, Auckland, 0752
, New Zealand",Showing 1 of 1 directors,,,,
50,34603,9429040806426,27 Jun 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco34603,34603,,"Offices Of D M Lander, Chartered Accountant, 19-21 Broderick Road, Johnsonville
, New Zealand","Offices Of D M Lander, Chartered Accountant, 19-21 Broderick Road, Johnsonville
, New Zealand",Showing 2 of 2 directors,,,,
51,5860020,9429042096849,03 Dec 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5860020,5860020,,"7b Neptune Avenue, Beach Haven, Auckland, 0626
, New Zealand","7b Neptune Avenue, Beach Haven, Auckland, 0626
, New Zealand",Showing 1 of 1 directors,,,,
52,629385,9429038689598,05 Oct 1993,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco629385,629385,,"9 Appaloosa Avenue, Richmond
, New Zealand","9 Appaloosa Avenue, Richmond
, New Zealand",Showing 2 of 2 directors,,,,
53,7869818,9429047891029,20 Jan 2020,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7869818,7869818,,"Francis Rebutiaco, 5 Raumanga Heights Drive, Raumanga, Whangarei, 0110
, New Zealand","Francis Rebutiaco, 5 Raumanga Heights Drive, Raumanga, Whangarei, 0110
, New Zealand",Showing 1 of 1 directors,,,,
54,654416,9429038578243,27 Oct 1994,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco654416,654416,,"123b Dominion Road, Mount Eden, Auckland
, New Zealand","123b Dominion Road, Mount Eden, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
55,76346,9429040612416,01 Apr 1969,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco76346,76346,,"C/-kueglers Limited, 1/181 Great South Road, Takanini
, New Zealand","C/-kueglers Ltd, Unit A, 181 Gt South Road, Takanini
, New Zealand",Showing 2 of 2 directors,,,,
56,122231,9429031990547,01 Dec 1944,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco122231,122231,,"41 Cornwall Street, Lyttleton, Christchurch
, New Zealand",,,,,,
57,158576,9429040244679,15 Dec 1916,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco158576,158576,,"1st Floor, Owens House, Harrison Road Mt Wellington, Auckland
, New Zealand",,,,,,
58,8459902,9429050786893,24 Aug 2022,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8459902,8459902,,"Kolose Phillip Junior Lemalu & Mere Lolo, 28a Estuary Road, Weymouth, Auckland, 2103
, New Zealand","Kolose Phillip Junior Lemalu & Mere Lolo, 28a Estuary Road, Weymouth, Auckland, 2103
, New Zealand",Showing 2 of 2 directors,,,,
59,1685682,9429034576120,30 Aug 2005,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1685682,1685682,,"C/-michael Ibell Chartered Accountant, Level 3, 315 Manchester Street, Christchurch
, New Zealand","C/-michael Ibell Chartered Accountant, Level 3, 315 Manchester Street, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,
60,181904,9429040133331,15 Dec 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco181904,181904,,"164 Elizabeth Avenue,, Te Awamutu.
, New Zealand",,,,,,
61,48285,9429040731810,02 Aug 1950,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco48285,48285,,"Level 3, 19 Beasley Avenue, Penrose, Auckland
, New Zealand","Level 3, 19 Beasley Avenue, Penrose, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
62,18064,9429040906683,21 Oct 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco18064,18064,,"Pepe Rd, Tairua
, New Zealand",,,,,,
63,108277,9429032252675,02 May 1980,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco108277,108277,,"11 Horton Avenue, Avondale, Auckland, 1026
, New Zealand","11 Horton Avenue, Avondale, Auckland, 1026
, New Zealand",Showing 2 of 2 directors,,,,
64,5604049,9429041620021,23 Feb 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5604049,5604049,,"Jennifer Dittmer, 3a Laingrange Place, Laingholm, Auckland, 0604
, New Zealand","Jennifer Dittmer, 3a Laingrange Place, Laingholm, Auckland, 0604
, New Zealand",Showing 2 of 2 directors,,,,
65,1795748,9429034209752,30 Mar 2006,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1795748,1795748,,"Mci & Associates Accountants Ltd, 6 Gordon Street, Dannevirke, Dannevirke, 4930
, New Zealand","Mci & Associates Accountants Ltd, 6 Gordon Street, Dannevirke, Dannevirke, 4930
, New Zealand",Showing 2 of 3 directors,,,,
66,45926,9429040738949,12 Mar 1947,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco45926,45926,,"61 Sprott Rd, Kohimarama, Auckland
, New Zealand",,,,,,
67,183218,9429040131054,05 Jul 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco183218,183218,,"Lawrence Anderson Buddle, 4th Floor National Bank Building, 527-539 Victoria Street, Hamilton
, New Zealand","-
, New Zealand",,,,,
68,4181758,9429030400139,23 Jan 2013,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4181758,4181758,,"30 Auburn Street, Takapuna, Auckland, 0622
, New Zealand","30 Auburn Street, Takapuna, Auckland, 0622
, New Zealand",Showing 2 of 2 directors,,,,
69,124317,9429031973403,26 Oct 1954,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco124317,124317,,"Ager Riley & Cocks, Level 2 167 Victoria Street, Christchurch
, New Zealand","Ager Riley & Cocks, Level 2 167 Victoria Street, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,
70,2293246,9429032081756,12 Aug 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2293246,2293246,,"5 Kawaka Street, Mt Eden, Auckland
, New Zealand","5 Kawaka Street, Mt Eden, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
71,1846611,9429033968889,26 Jul 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1846611,1846611,,"13 Okoka Road, Omiha, Waiheke Island, 1081
, New Zealand","13 Okoka Road, Omiha, Waiheke Island, 1081
, New Zealand",Showing 1 of 1 directors,,,,
72,1502749,9429035451051,14 Apr 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1502749,1502749,,"23a Hollywood Avenue, Epsom, Auckland, 1023
, New Zealand","23a Hollywood Avenue, Epsom, Auckland, 1023
, New Zealand",Showing 1 of 1 directors,,,,
73,69449,9429040649719,07 Sep 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco69449,69449,,"148 Kitchener Rd, Milford, Auckland
, New Zealand",,,,,,
74,855723,9429038094040,21 May 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco855723,855723,,"15 Fickling Avenue, Hillsborough, Auckland
, New Zealand","15 Fickling Avenue, Hillsborough, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
75,1539544,9429035260400,30 Jul 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1539544,1539544,,"36 Oakford Park Cres, Greenhithe
, New Zealand","36 Oakford Park Crescent, Greenhithe
, New Zealand",Showing 1 of 1 directors,,,,
76,180489,9429040138084,12 Jul 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco180489,180489,,"C/o Dey Reilly Stewart, Vickery House, 113 Alexandra St, Hamilton
, New Zealand",,Showing 2 of 2 directors,,,,
77,70140,9429040645049,14 Mar 1966,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco70140,70140,,"Main Road, Kaiwaka
, New Zealand","Main Road, Kaiwaka
, New Zealand",Showing 2 of 5 directors,,,,
78,95230,9429040482866,01 Aug 1975,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco95230,95230,,"9 Peacocks Building, Catherine St, Henderson, Auckland 8
, New Zealand",,,,,,
79,194490,9429040076584,21 Jun 1974,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco194490,194490,,"5th Floor, Nzi Building, 35 Grey Street, Tauranga
, New Zealand","5th Floor, Nzi Building, 35 Grey Street, Tauranga
, New Zealand",Showing 2 of 2 directors,,,,
80,151670,9429040282381,11 Jul 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco151670,151670,,"9 Gladstone Rd, Gisborne
, New Zealand",,,,,,
81,105055,9429040396408,05 Mar 1979,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco105055,105055,,"8 Palomino Drive, Henderson, Auckland, 0612
, New Zealand","8 Palomino Drive, Henderson, Auckland, 0612
, New Zealand",Showing 1 of 1 directors,,,,
82,19016,9429040902418,05 Aug 1966,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco19016,19016,,"C/o E H Goodhall, 1st Floor Dominion Building, Mercer Street, Wellington
, New Zealand",,,,,,
83,88388,9429040533445,21 Aug 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco88388,88388,,"Suite 1, 33 Mokoia Road, Birkenhead, Auckland
, New Zealand",,,,,,
84,134448,9429031868419,10 May 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco134448,134448,,"100-104 Sophia Street, Timaru
, New Zealand",,Showing 2 of 2 directors,,,,
85,140209,9429040346328,05 Mar 1980,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco140209,140209,,"Pwc, 5 Sir Gil Simpson Drive,, Christchurch, 8053
, New Zealand","Pwc, 5 Sir Gil Simpson Drive,, Christchurch, 8053
, New Zealand",Showing 2 of 3 directors,,,,
86,176072,9429040147604,24 Jul 1950,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco176072,176072,,"C/o H.f.williams, Waitakere Road, Waitakere R D, Auckland
, New Zealand","C/o H.f.williams, Waitakere Road, Waitakere R D, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
87,82140,9429040575094,05 Aug 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco82140,82140,,"C/o Beveridge & Fort, Empire Bldgs, Victoria St, Dargaville P O Box 102
, New Zealand",,,,,,
88,1735321,9429034411735,24 Nov 2005,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1735321,1735321,,"C/-malcolm Webster Limited, 53 Fraser Street, Tauranga
, New Zealand","C/-malcolm Webster Limited, 53 Fraser Street, Tauranga
, New Zealand",Showing 1 of 1 directors,,,,
89,1003331,9429037426316,30 Nov 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1003331,1003331,,"1018b Papamoa Beach Rd, Papamoa
, New Zealand","1018b Papamoa Beach Rd, Papamoa
, New Zealand",Showing 2 of 2 directors,,,,
90,14765,9429040921976,15 Oct 1962,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco14765,14765,,"Sellar & Sellar, 81 Queen Street, Masterton, Masterton, 5810
, New Zealand","Sellar & Sellar, 81 Queen Street, Masterton, Masterton, 5810
, New Zealand",Showing 1 of 1 directors,,,,
91,4046158,9429030487864,04 Oct 2012,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco4046158,4046158,,"4/297 Bealey Ave, Christchurch, 8013
, New Zealand","4/297 Bealey Ave, Christchurch, 8013
, New Zealand",Showing 1 of 1 directors,,,,
92,33868,9429040814841,14 Sep 1977,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco33868,33868,,"3rd Floor, Cmc Building, 89 Courtenay Place, Wellington
, New Zealand",,,,,,
93,882660,9429037968342,06 Nov 1997,Removed,NZ Limited Company,Yes,MYOB Group Limited,httpsapp.companiesoffice.govt.nzco882660,882660,,"Quigg Partners, Level 7, 36 Brandon Street, Wellington, 6011
, New Zealand","Quigg Partners, Level 7, 36 Brandon Street, Wellington, 6011
, New Zealand",Showing 2 of 3 directors,,,,
94,122585,9429031988254,21 Apr 1947,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco122585,122585,,"Bdo Hogg Young Cathie, Chartered, Accountants, Cnr Worcester Str & Oxford, Tce, Christchurch
, New Zealand",,Showing 2 of 2 directors,,,,
95,1035538,9429037261047,24 May 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1035538,1035538,,"Deloitte Touche Tohmatsu, Deloitte House, 8 Nelson Street, Auckland
, New Zealand","Deloitte Touche Tohmatsu, Deloitte House, 8 Nelson Street, Auckland
, New Zealand",Showing 1 of 1 directors,June,,,
96,2784,9429040970622,13 Aug 1934,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2784,2784,,"212 Manukau Rd, Epsom, Auckland
, New Zealand",,,,,,
97,5489144,9429041466810,30 Oct 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5489144,5489144,,"Gregory Price, 11b Tasman Drive, Tokoroa, Tokoroa, 3420
, New Zealand","Gregory Price, 11b Tasman Drive, Tokoroa, Tokoroa, 3420
, New Zealand",Showing 1 of 1 directors,,,,
