,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,FRA Reporting Month:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service
10,342901,9429039612021,30 Jun 1987,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco342901,342901,,"3 Oroua Street, Eastbourne Wellington
, New Zealand","3 Oroua Street, Eastbourne Wellington
, New Zealand"
11,9022272,9429051778842,11 Dec 2023,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco9022272,9022272,,"Marutuahu Iwi governance entity, C/- 40 Upper Harbour Drive, Greenhithe, Auckland, 0632
, New Zealand","Marutuahu Iwi governance entity, C/- 40 Upper Harbour Drive, Greenhithe, Auckland, 0632
, New Zealand"
12,8064348,9429048484213,27 Jul 2020,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8064348,8064348,,"Rahul Kumar, 14 Corsham Grove, Churton Park, Wellington, 6037
, New Zealand","13 Eastern Hutt Road, Taita, Lower Hutt, 5019
, New Zealand"
13,3442091,9429031044004,28 Jun 2011,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3442091,3442091,,"Flat 2, 10 Park Estate Road, Rosehill, Papakura, 2113
, New Zealand","Flat 2, 10 Park Estate Road, Rosehill, Papakura, 2113
, New Zealand"
14,2440293,9429031613125,25 Mar 2010,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2440293,2440293,,"76b Bellevue Road, Brookfield, Tauranga, 3110
, New Zealand","76b Bellevue Road, Brookfield, Tauranga, 3110
, New Zealand"
15,64903,9429040668604,04 Jul 1963,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco64903,64903,,"Grant Thornton Auckland Limited, 152 Fanshawe Street, Auckland
, New Zealand","Grant Thornton Auckland Limited, 152 Fanshawe Street, Auckland
, New Zealand"
16,4867,9429040963334,16 Jul 1946,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco4867,4867,,"4 Adelaide Rd, Wellington S1
, New Zealand",
17,4704819,9429030024298,11 Oct 2013,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4704819,4704819,,"25 View Road Henderson, Waitakere, 0612
, New Zealand","25 View Road Henderson, Waitakere, 0612
, New Zealand"
18,5375081,9429041315835,09 Jul 2014,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5375081,5375081,,"47 Aorangi Road, Bryndwr, Christchurch, 8053
, New Zealand","47 Aorangi Road, Bryndwr, Christchurch, 8053
, New Zealand"
19,197693,9429040052120,17 Jul 1978,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco197693,197693,,"28 Stewart St, Whakatane
, New Zealand",
20,2506728,9429031507776,02 Jun 2010,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2506728,2506728,,"Rhonda G Evans, 48a Rosebank Road, Avondale, Auckland, 1026
, New Zealand","Rhonda G Evans, 48a Rosebank Road, Avondale, Auckland, 1026
, New Zealand"
21,8766367,9429051370534,31 May 2023,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8766367,8766367,,"Winsome Kennedy, 29 Grant Road, Whataupoko, Gisborne, 4010
, New Zealand","Winsome Kennedy, 29 Grant Road, Whataupoko, Gisborne, 4010
, New Zealand"
22,2253107,9429032219043,29 May 2009,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2253107,2253107,,"314 Riccarton Road, Upper Riccarton, Christchurch, 8041
, New Zealand","314 Riccarton Road, Upper Riccarton, Christchurch, 8041
, New Zealand"
23,115535,9429032069006,12 Oct 1982,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco115535,115535,,"235 Royal Road, Massey, Auckland
, New Zealand","235 Royal Road, Massey, Auckland
, New Zealand"
24,5757493,9429041867228,23 Jul 2015,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5757493,5757493,,"7 Kingstan Place, Motueka, 7120
, New Zealand","7 Kingstan Place, Motueka, 7120
, New Zealand"
25,1940281,9429033411392,21 Jun 2007,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1940281,1940281,,"17 Athena Drive, Sunnynook, Auckland
, New Zealand","17 Athena Drive,, Sunnynook,, Auckland
, New Zealand"
26,12470,9429040932330,10 Feb 1960,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco12470,12470,,"Wakefield Chambers, Ridgway St, Wanganui
, New Zealand",
27,6827714,9429046757524,04 May 2018,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6827714,6827714,,"114 Astley Avenue, New Lynn, Auckland, 0600
, New Zealand","114 Astley Avenue, New Lynn, Auckland, 0600
, New Zealand"
28,6826498,9429046764003,11 May 2018,Removed,NZ Limited Company,Yes,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6826498,6826498,,"Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand"
29,444639,9429039292827,20 Sep 1989,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco444639,444639,,"C/- Burns Mccurrach, The Top Floor, Citibank Centre, 23 Customs Street East, Auckland City
, New Zealand","C/- Burns Mccurrach, The Top Floor, Citibank Centre, 23 Customs Street East, Auckland City
, New Zealand"
30,130224,9429031914239,20 Nov 1967,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco130224,130224,,"110 Scarborough Rd, Christchurch 8
, New Zealand",
31,2151516,9429032657289,09 Jul 2008,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2151516,2151516,,"C/o The Secretary, 60 Main Rd, Moerewa, Northland, Aotearoa (nz)
, New Zealand","C/o The Secretary, 60 Main Rd, Moerewa, Northland, Aotearoa (nz)
, New Zealand"
32,1208020,9429036510603,08 May 2002,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1208020,1208020,,"C/-crichton Horne & Associates Ltd, 109 Cambridge Terrace, Christchurch
, New Zealand","C/-crichton Horne & Associates Ltd, 109 Cambridge Terrace, Christchurch
, New Zealand"
33,197441,9429040055800,16 Mar 1978,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco197441,197441,,"20 Glasgow St, Tauranga
, New Zealand",
34,70104,9429040642147,08 Mar 1966,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco70104,70104,,"C/o T J Williamson, 10 Mahere St, St Heliers, Auckland 5
, New Zealand",
35,2360450,9429031771306,13 Nov 2009,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2360450,2360450,,"5b Gilmore Place, Burnside, Christchurch, 8053
, New Zealand","5b Gilmore Place, Burnside, Christchurch, 8053
, New Zealand"
36,8758629,9429051355869,20 Jun 2023,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8758629,8758629,,"Hineatua Parkinson, 24 Grande Vue Road, Hillpark, Auckland, 2102
, New Zealand","Hineatua Parkinson, 24 Grande Vue Road, Hillpark, Auckland, 2102
, New Zealand"
37,1013771,9429037373009,21 Feb 2000,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1013771,1013771,,"6 Hannigan Drive, Panmure, Auckland
, New Zealand","6 Hannigan Drive, Panmure, Auckland
, New Zealand"
38,50739,9429040724065,06 Oct 1953,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco50739,50739,,"20 Sonia Ave, Remuera, Auckland
, New Zealand",
39,6366372,9429046276643,02 Aug 2017,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6366372,6366372,,"2 Austin Street, Onekawa, Napier, 4110
, New Zealand","2 Austin Street, Onekawa, Napier, 4110
, New Zealand"
40,158372,9429040246956,23 Jul 1982,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco158372,158372,,"480 Dee Street, Invercargill
, New Zealand","-
, New Zealand"
41,8013237,9429048261081,26 May 2020,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8013237,8013237,,"TKOM, 5 Don Buck Road, Henderson, Auckland, 0614
, New Zealand","TKOM, 5 Don Buck Road, Henderson, Auckland, 0614
, New Zealand"
42,651117,9429038594298,28 Sep 1994,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco651117,651117,,"1/99 Weldene Ave, Glenfield, Auckland
, New Zealand","1/99 Weldene Avenue, Glenfield, Auckland
, New Zealand"
43,36767,9429040788906,25 Jul 1980,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco36767,36767,,"Cross And Company, Parimoana Street, Porirua
, New Zealand",
44,6172387,9429045593499,18 Nov 2016,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6172387,6172387,,"48a Becroft Drive, Forrest Hill, Auckland, 0620
, New Zealand","48a Becroft Drive, Forrest Hill, Auckland, 0620
, New Zealand"
45,922276,9429037776763,15 Sep 1998,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco922276,922276,,"256 Barrington Street, Christchurch
, New Zealand","256 Barrington Street, Christchurch
, New Zealand"
46,124935,9429031968782,24 Sep 1956,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco124935,124935,,"177 Lichfield St, Christchurch
, New Zealand",
47,146032,9429040313344,25 Oct 1960,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco146032,146032,,"C/o Hill & Montgomery, Stuart Chambers, 83 Moray Place, Dunedin
, New Zealand",
48,87977,9429040535401,17 Jul 1973,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco87977,87977,,"6 Tusac Place, Glenfield, Auckland
, New Zealand","6 Tusac Place, Glenfield, Auckland
, New Zealand"
49,144001,9429040320878,07 Feb 1941,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco144001,144001,,"C/o Pedofsky Weaver & Ibbotson, 69 Tarbert St, Alexandra
, New Zealand",
50,6075489,9429042498810,11 Aug 2016,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6075489,6075489,,"Paea and Tevita Moeakiola, 13 Eastburn Street, Papakura, Papakura, 2110
, New Zealand","Paea and Tevita Moeakiola, 13 Eastburn Street, Papakura, Papakura, 2110
, New Zealand"
51,8493533,9429050894420,07 Nov 2022,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8493533,8493533,,"Tamati O'Callaghan Kimberley O'Callaghan, 11 Motoi Place, Ngongotaha, Rotorua, 3010
, New Zealand","Tamati O'Callaghan Kimberley O'Callaghan, 11 Motoi Place, Ngongotaha, Rotorua, 3010
, New Zealand"
52,2343389,9429031828932,15 Oct 2009,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2343389,2343389,,"14 Great South Road, Otahuhu, Auckland, 1062
, New Zealand","14 Great South Road, Otahuhu, Auckland, 1062
, New Zealand"
53,678349,9429038478345,16 May 1995,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco678349,678349,,"K P M G, 35 Grey Street, Tauranga
, New Zealand","K P M G, 35 Grey Street, Tauranga
, New Zealand"
54,1252550,9429036258802,31 Oct 2002,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1252550,1252550,,"229 Queen St, Auckland City
, New Zealand","229 Queen St, Auckland City
, New Zealand"
55,1852270,9429033942506,17 Aug 2006,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1852270,1852270,,"Level 24, 120 Albert Street, Auckland City
, New Zealand","Level 24, 120 Albert Street, Auckland City
, New Zealand"
56,1350444,9429035878087,22 Jul 2003,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1350444,1350444,,"B D O Waikato Ltd, 1st Floor, B D O Building, Cnr Harwood & Rostrevor Sts, Hamilton
, New Zealand","B D O Waikato Ltd, 1st Floor, B D O Building, Cnr Harwood & Rostrevor Sts, Hamilton
, New Zealand"
57,2150286,9429032665079,21 Jul 2008,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2150286,2150286,,"320 Paremoremo Road, Albany, Auckland
, New Zealand","320 Paremoremo Road, Albany, Auckland
, New Zealand"
58,2278532,9429032170184,06 Jul 2009,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2278532,2278532,,"5A, 28 Kinmont Rise, East Tamaki Heights, Auckland, 2016
, New Zealand","5A, 28 Kinmont Rise, East Tamaki Heights, Auckland, 2016
, New Zealand"
59,1826205,9429034070406,06 Jun 2006,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1826205,1826205,,"12 Freshney Place, Manurewa, Manukau 2102
, New Zealand","12 Freshney Place, Manurewa, Manukau, 2102
, New Zealand"
60,1488081,9429035510406,26 Feb 2004,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1488081,1488081,,"C/-deloitte, Deloitte Centre, 80 Queen Street, Auckland
, New Zealand","C/-deloitte, Deloitte Centre, 80 Queen Street, Auckland
, New Zealand"
61,1256737,9429036241927,25 Nov 2002,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1256737,1256737,,"Community House,, Level 2 -1115 Haupapa Street, Rotorua
, New Zealand","1115 Haupapa Street, Rotorua
, New Zealand"
62,1526629,9429035326151,16 Jun 2004,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1526629,1526629,,"311 Manukau Road, Epsom, Auckland
, New Zealand","311 Manukau Road, Epsom, Auckland
, New Zealand"
63,371752,9429039516367,04 Nov 1987,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco371752,371752,,"192 Collingwood Street, Hamilton
, New Zealand",
64,29499,9429040848624,29 May 1974,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco29499,29499,,"C/o Barkman Silk & Co, Ridgway St Box 43, Wanganui
, New Zealand",
65,149299,9429034065013,06 May 1975,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco149299,149299,,"Thompson Lang Ellis & Gardner, 8th Floor Nml Centre, 10 George Street, Dunedin
, New Zealand","-
, New Zealand"
66,1916043,9429033565149,12 Mar 2007,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1916043,1916043,,"Hfk Limited, Unit 4, 567 Wairakei Road, Christchurch
, New Zealand","52 Mathers Road, Hoon Hay, Christchurch
, New Zealand"
67,859565,9429038074103,19 Jun 1997,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco859565,859565,,"Walker Lee & Dick, 24 Veronica Street, New Lynn
, New Zealand","Walker Lee & Dick, 24 Veronica Street, New Lynn
, New Zealand"
68,87617,9429040535883,18 Jun 1973,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco87617,87617,,"11th Flr, Norwich Union Bldg, Queen St, Auckland
, New Zealand",
69,3166785,9429031349482,27 Oct 2010,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3166785,3166785,,"Alpa Patel, 11a Lipscombe Avenue, Papatoetoe, Manukau, 2025
, New Zealand","Alpa Patel, 11a Lipscombe Avenue, Papatoetoe, Manukau, 2025
, New Zealand"
70,8037576,9429048416665,08 Jul 2020,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8037576,8037576,,"24A Larsen Street, 24a Larsen Street, Otara, Auckland, 2025
, New Zealand","24A Larsen Street, 24a Larsen Street, Otara, Auckland, 2025
, New Zealand"
71,5726929,9429041802342,01 Jul 2015,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5726929,5726929,,"4b Mahuru Lane, Okato, Okato, 4335
, New Zealand","4b Mahuru Lane, Okato, Okato, 4335
, New Zealand"
72,1470505,9429035607786,23 Dec 2003,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1470505,1470505,,"Beban Associates, Unit 5a, 53 Alpha Street, Cambridge 3434
, New Zealand","Beban & Associates, Unit 5a, 53 Alpha Street, Cambridge 3434
, New Zealand"
73,142543,9429040330174,29 Mar 1983,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco142543,142543,,"C/- Official Assignee, Cnr Gloucester St & Oxford Tce, Christchurch
, New Zealand",
74,1137234,9429036907878,14 May 2001,Removed,NZ Limited Company,Yes,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1137234,1137234,,"Daniel Donovan, 6 Durness Place, Red Beach, Red Beach, 0932
, New Zealand","Daniel Donovasn, 6 Durness Place, Red Beach, Red Beach, 0932
, New Zealand"
75,8215452,9429049525090,05 Aug 2021,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8215452,8215452,,"74 Motu Road, Kumeu, 0891
, New Zealand","74 Motu Road, Kumeu, 0891
, New Zealand"
76,1462,9429040972602,27 May 1924,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1462,1462,,"5 Market Grove, Lower Hutt
, New Zealand","5 Market Grove, Lower Hutt
, New Zealand"
77,1341804,9429035900177,23 Jul 2003,Removed,NZ Limited Company,Yes,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1341804,1341804,,"123 Manukau Road, Epsom, Auckland, 1023
, New Zealand","123 Manukau Road, Epsom, Auckland, 1023
, New Zealand"
78,8091256,9429048566179,25 Aug 2020,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8091256,8091256,,"Ashleigh Vickers Cooper, 21 Mulberry Street, Maungaraki, Lower Hutt, 5010
, New Zealand","Ashleigh Vickers Cooper, 21 Mulberry Street, Maungaraki, Lower Hutt, 5010
, New Zealand"
79,2119597,9429032792843,16 Apr 2008,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2119597,2119597,,"C/- Khov Jones, 59 Apollo Drive, Albany, Auckland, 0632
, New Zealand","C/- Khov Jones, 59 Apollo Drive, Albany, Auckland, 0632
, New Zealand"
80,140298,9429040351582,17 Apr 1980,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco140298,140298,,"R G D Taylor Limited, Suite 3, 213 Blenheim Road, Riccarton, Christchurch, 8041
, New Zealand","R G D Taylor Limited, Suite 3, 213 Blenheim Road, Riccarton, Christchurch, 8041
, New Zealand"
81,133621,9429031876056,18 May 1972,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco133621,133621,,"89 Halswell Junction Road, Halswell, Christchurch 3
, New Zealand","89 Halswell Junction Road, Halswell, Christchurch 3
, New Zealand"
82,2114795,9429032815092,23 Apr 2008,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2114795,2114795,,"Bbr Limited, Level 1, 48 Broadway, Newmarket, Auckland, 1023
, New Zealand","Bbr Limited, Level 1, 48 Broadway, Newmarket, Auckland, 1023
, New Zealand"
83,7465,9429040953632,16 Oct 1951,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7465,7465,,"Nexia New Zealand, Level 1, 5 William Laurie Place, Albany, Auckland, 0632
, New Zealand","Nexia New Zealand, Level 1, 5 William Laurie Place, Albany, Auckland, 0632
, New Zealand"
84,362621,9429039549013,22 Oct 1987,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco362621,362621,,"42a Caster Bay Road, North Shore City
, New Zealand","42a Caster Bay Road, North Shore City
, New Zealand"
85,1209285,9429036504305,06 May 2002,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1209285,1209285,,"120 Westchester Dr, Churton Park, Wellington, 6037
, New Zealand","120 Westchester Dr, Churton Park, Wellington, 6037
, New Zealand"
86,,,,,,,,,,,1499915,,,
87,83159,9429040565941,22 Dec 1971,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco83159,83159,,"First Floor, 3 Broadway, Newmarket
, New Zealand",
88,,,,,,,,,,,1480520,,,
89,,,,,,,,,,,547049,,,
90,,,,,,,,,,,3415211,,,
91,196534,9429040061788,20 Oct 1976,Removed,NZ Limited Company,No,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco196534,196534,,"Market Road, Pokeno
, New Zealand",
92,,,,,,,,,,,4993960,,,
93,,,,,,,,,,,2091523,,,
94,,,,,,,,,,,140236,,,
95,2354195,9429031799959,26 Nov 2009,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco2354195,2354195,,"93 Maniapoto Street, Otorohanga, Otorohanga, 3900
, New Zealand","16 Badger Close, Rd 6, Hamilton, 3286
, New Zealand"
96,,,,,,,,,,,3401511,,,
97,,,,,,,,,,,1131196,,,
98,,,,,,,,,,,89152,,,
99,111498,9429032136760,12 Jun 1981,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco111498,111498,,"3 Maires Rd, Orewa, Auckland
, New Zealand",
100,,,,,,,,,,,590565,,,
101,,,,,,,,,,,1102732,,,
102,,,,,,,,,,,8829190,,,
103,5499788,9429041534793,09 Dec 2014,Removed,NZ Limited Company,No,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5499788,5499788,,"37 Towai Street, St Heliers, Auckland, 1071
, New Zealand","351 Panama Road, Mount Wellington, Auckland, 1062
, New Zealand"
104,,,,,,,,,,,5172061,,,
105,,,,,,,,,,,1406162,,,
106,,,,,,,,,,,4187838,,,
107,33882,9429040816012,20 Sep 1977,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco33882,33882,,"2nd Floor, 22-24 Garrett Street, Wellington
, New Zealand",
108,,,,,,,,,,,8145036,,,
109,,,,,,,,,,,1544913,,,
110,,,,,,,,,,,1887788,,,
111,704933,9429038390463,11 Dec 1995,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco704933,704933,,"C/- Lock & Partners Ltd, 1st Level, 171 Hobson St, Auckland
, New Zealand","C/- Lock & Partners Ltd, 1st Level, 171 Hobson Street, Auckland
, New Zealand"
112,,,,,,,,,,,32701,,,
113,,,,,,,,,,,822547,,,
114,,,,,,,,,,,95205,,,
