,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,address.Type of entity,Status:,Reports:,ACN Number:
31,1611351,9429034886526,14 Mar 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1611351,1611351,,"C/-tawa Financial Services, 1st Floor, 180 Main Road, Tawa, Wellington
, New Zealand","C/-tawa Financial Services, 1st Floor, 180 Main Road, Tawa, Wellington
, New Zealand",,,,,,,,,,,,,,,
32,1043416,9429037221560,07 Jul 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1043416,1043416,,"10 Parkside Crescent, Northwood, Christchurch, 8051
, New Zealand","10 Parkside Crescent, Northwood, Christchurch, 8051
, New Zealand",,,,,,,,,,,,,,,
33,1841012,9429033995229,19 Jul 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1841012,1841012,,"74 Bourke Street, Palmerston North, 4410
, New Zealand","74 Bourke Street, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,,,,
34,532161,9429039028631,10 Dec 1991,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco532161,532161,,"Davis & Co Chartered Accountants Ltd, 11 Ngaio Road, Waikanae, Waikanae, 5036
, New Zealand","Davis & Co Chartered Accountants Ltd, 11 Ngaio Road, Waikanae, Waikanae, 5036
, New Zealand",,,,,,,,,,,,,,,
35,5796947,9429041963074,04 Sep 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5796947,5796947,,"70a Eban Avenue, Hillcrest, Auckland, 0627
, New Zealand","70a Eban Avenue, Hillcrest, Auckland, 0627
, New Zealand",,,,,,,,,,,,,,,
36,1751227,9429034371572,09 Jan 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1751227,1751227,,"33 Coleraine Drive, Rototuna, Hamilton, 3210
, New Zealand","33 Coleraine Drive, Rototuna, Hamilton, 3210
, New Zealand",,,,,,,,,,,,,,,
37,1488941,9429035507031,19 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1488941,1488941,,"Croys Limited, Level 2, 161 Burnett Street, Ashburton
, New Zealand","Croys Limited, Level 2, 161 Burnett Street, Ashburton
, New Zealand",,,,,,,,,,,,,,,
38,2009841,9429033088204,11 Oct 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2009841,2009841,,"136a, Edgewater Drive, Pakuranga, Auckland
, New Zealand","136a, Edgewater Drive, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,,,,
39,1109492,9429037040390,22 Dec 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1109492,1109492,,"Andrew Phill, Bdo Spicers, 29 Northcroft Street, Takapuna
, New Zealand","Andrew Phill, Bdo Spicers, 29 Northcroft Street, Takapuna
, New Zealand",,,,,,,,,,,,,,,
40,909723,9429037837716,02 Jun 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco909723,909723,,"Hawkesbury Road, Omaka Valley, R D 2, Blenheim
, New Zealand","43 High Street, Blenheim
, New Zealand",,,,,,,,,,,,,,,
41,3293090,9429031199872,02 Mar 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3293090,3293090,,"2 Helen Place, St Heliers, Auckland, 1071
, New Zealand","2 Helen Place, St Heliers, Auckland, 1071
, New Zealand",,,,,,,,,,,,,,,
42,1279812,9429036104956,03 Mar 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1279812,1279812,,"Martz Accounting Limited, 46 Acheron Drive, Riccarton, Christchurch, 8041
, New Zealand","Martz Accounting Limited, 46 Acheron Drive, Riccarton, Christchurch, 8041
, New Zealand",,,,,,,,,,,,,,,
43,703236,9429038396137,20 Nov 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco703236,703236,,"Kumeu Professional Centre, Cnr Access Rd/shamrock Drive, Kumeu
, New Zealand","71 Riverlea Road, Whenuapai
, New Zealand",,,,,,,,,,,,,,,
44,2290966,9429032086669,27 Jul 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2290966,2290966,,"25a Rhode St, Dinsdale, Hamilton
, New Zealand","25a Rhode St, Dinsdale, Hamilton
, New Zealand",,,,,,,,,,,,,,,
45,1628335,9429034797259,18 May 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1628335,1628335,,"18 Ocean View Rd, Milford, Auckland
, New Zealand","18 Ocean View Rd, Milford, Auckland
, New Zealand",,,,,,,,,,,,,,,
46,2492570,9429031529488,17 May 2010,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2492570,2492570,,"3/7 Nga Mahi Road, Sockburn, Christchurch
, New Zealand","3/7 Nga Mahi Road, Sockburn, Christchurch
, New Zealand",,,,,,,,,,,,,,,
47,1951509,9429033341965,08 Jun 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1951509,1951509,,"Kpmg, Alexandra Street, Hamilton
, New Zealand","Kpmg, Alexandra Street, Hamilton
, New Zealand",,,,,,,,,,,,,,,
48,4377339,9429030292222,26 Mar 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4377339,4377339,,"24 Pengover Avenue, Leamington, Cambridge, 3432
, New Zealand","24 Pengover Avenue, Leamington, Cambridge, 3432
, New Zealand",,,,,,,,,,,,,,,
49,978224,9429037488321,08 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco978224,978224,,"C/- Ferrier Hodgson & Co, Level 16, Tower Centre, 45 Queen Street, Auckland
, New Zealand","C/- Ferrier Hodgson & Co, Level 16, Tower Centre, 45 Queen Street, Auckland
, New Zealand",,,,,,,,,,,,,,,
50,1392329,9429035784920,04 Sep 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1392329,1392329,,"C/- Wells & Co, 128 Picton Street, Howick, Auckland
, New Zealand","C/- Wells & Co, 128 Picton Street, Howick, Auckland
, New Zealand",,,,,,,,,,,,,,,
51,1955321,9429033317557,18 Jun 2007,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1955321,1955321,,"22/66 Mt. Eden Road, Mt. Eden, Auckland
, New Zealand","22/66 Mt. Eden Road, Mt. Eden, Auckland
, New Zealand",,,,,,,,,,,,,,,
52,1290051,9429036043798,04 Apr 2003,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1290051,1290051,,"Staples Rodway Christchurch Limited, Level 2, 329 Durham Street, Christchurch Central, Christchurch, 8013
, New Zealand","Staples Rodway Christchurch Limited, Level 2, 329 Durham Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,,,,,,,,,,,
53,49049,9429040730028,27 Jul 1951,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco49049,49049,,"3 Haydn Ave, Epsom, Auckland 3
, New Zealand",,,,,,,,,,,,,,,,
54,1332868,9429035929550,13 Jun 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1332868,1332868,,"325 Great South Road, Takanini, Auckland
, New Zealand","325 Great South Road, Takanini, Auckland
, New Zealand",,,,,,,,,,,,,,,
55,1964340,9429033254289,13 Aug 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1964340,1964340,,"78 Coulter Road, Henderson, Auckland
, New Zealand","78 Coulter Road, Henderson, Auckland
, New Zealand",,,,,,,,,,,,,,,
56,1181514,9429036665310,21 Dec 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1181514,1181514,,"14 Corlett Road, Plimmerton
, New Zealand","14 Corlett Road, Plimmerton
, New Zealand",,,,,,,,,,,,,,,
57,1662704,9429034659007,19 Jul 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1662704,1662704,,"115 Hastings St, Sydenham, Christchurch, 8023
, New Zealand","115 Hastings St, Sydenham, Christchurch, 8023
, New Zealand",,,,,,,,,,,,,,,
58,1938748,9429033418872,07 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1938748,1938748,,"10 St Hildas Glade, Redwood, Tawa, Wellington
, New Zealand","10 St Hildas Glade, Redwood, Tawa, Wellington
, New Zealand",,,,,,,,,,,,,,,
59,2225976,9429032318944,06 Apr 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2225976,2225976,,"53 Seaton Road, Murrays Bay, Auckland, 0630
, New Zealand","53 Seaton Road, Murrays Bay, Auckland, 0630
, New Zealand",,,,,,,,,,,,,,,
60,1687555,9429034566558,05 Sep 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1687555,1687555,,"149 Station Road, Papatoetoe, Auckland
, New Zealand","149 Station Road, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,,,,
61,1131726,9429036936120,11 Apr 2001,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1131726,1131726,,"11 Streatlam Crescent, Strathmore Park, Wellington, 6022
, New Zealand","11 Streatlam Crescent, Strathmore Park, Wellington, 6022
, New Zealand",,,,,,,,,,,,,,,
62,1862685,9429033886565,11 Sep 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1862685,1862685,,"16 Elliott Street, Papakura
, New Zealand","16 Elliott Street, Papakura
, New Zealand",,,,,,,,,,,,,,,
63,3592,9429040968759,14 Apr 1938,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco3592,3592,,"47-51 Fort Street, Auckland
, New Zealand",,,,,,,,,,,,,,,,
64,73221,9429040626819,24 Aug 1967,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco73221,73221,,"C/o 210 Kahikatea Flat Road, Rd4 Albany
, New Zealand","C/o 210 Kahikatea Flat Road, Rd4 Albany
, New Zealand",,,,,,,,,,,,,,,
65,2212803,9429032378801,25 Feb 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2212803,2212803,,"719 Hillside Manapouri Road, Rd 1, Manapouri, 9679
, New Zealand","719 Hillside Manapouri Road, Rd 1, Manapouri, 9679
, New Zealand",,,,,,,,,,,,,,,
66,3379652,9429031107266,05 May 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3379652,3379652,,"196a Panama Road, Mount Wellington, Auckland, 1062
, New Zealand","196a Panama Road, Mount Wellington, Auckland, 1062
, New Zealand",,,,,,,,,,,,,,,
67,1713487,9429034481813,25 Oct 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1713487,1713487,,"87 Pasadena Crescent, Upper Hutt, Wellington
, New Zealand","87 Pasadena Crescent, Upper Hutt, Wellington
, New Zealand",,,,,,,,,,,,,,,
68,1841603,9429033991764,21 Jul 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1841603,1841603,,"Level 10, 141 Willis Street, Wellington
, New Zealand","Level 10, 141 Willis Street, Wellington
, New Zealand",,,,,,,,,,,,,,,
69,2351947,9429031807654,27 Nov 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2351947,2351947,,"2 Palmer Crescent, Mission Bay, Auckland
, New Zealand","2 Palmer Crescent, Mission Bay, Auckland
, New Zealand",,,,,,,,,,,,,,,
70,2310879,9429031979924,26 Aug 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2310879,2310879,,"36 Raglan Street, Managere East, Auckland
, New Zealand","36 Raglan Street, Managere East, Auckland
, New Zealand",,,,,,,,,,,,,,,
71,201055,9429040014593,13 Sep 1982,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco201055,201055,,"C/o W.f.taylor, Harrington House, Willow Street, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,,,,
72,1808862,9429034149300,26 Apr 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1808862,1808862,,"13a Butterworth Ave, Papakura, Auckland
, New Zealand","13a Butterworth Ave, Papakura, Auckland
, New Zealand",,,,,,,,,,,,,,,
73,84288,9429040561677,02 Jun 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco84288,84288,,"Lonely Track Rd, Northcross
, New Zealand",,,,,,,,,,,,,,,,
74,1584488,9429035046646,09 Dec 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1584488,1584488,,"Unit K, 1197 Great North Road, Pt Chevalier, Auckland, 1022
, New Zealand","Unit K, 1197 Great North Road, Pt Chevalier, Auckland, 1022
, New Zealand",,,,,,,,,,,,,,,
75,112450,9429032116649,30 Sep 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco112450,112450,,"Level 2, 18 Viaduct Harbour Avenue, Auckland
, New Zealand","Level 2, 18 Viaduct Harbour Avenue, Auckland
, New Zealand",,,,,,,,,,,,,,,
76,1930821,9429033468945,05 Apr 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1930821,1930821,,"2/8 Ballin Street, Ellerslie
, New Zealand","2/8 Ballin Street, Ellerslie
, New Zealand",,,,,,,,,,,,,,,
77,1644460,9429034715093,09 Jun 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1644460,1644460,,"61, Colway Street, Ngaio, Wellington
, New Zealand","61, Colway Street, Ngaio, Wellington
, New Zealand",,,,,,,,,,,,,,,
78,1719018,9429034460269,31 Oct 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1719018,1719018,,"203 -8 Ronayne Street, Parnell, Auckland
, New Zealand","P.o Box 14649, Kilbirnie, Wellington
, New Zealand",,,,,,,,,,,,,,,
79,8381081,9429050607105,01 Jun 2022,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8381081,8381081,,"Flat 5, 13 Hereford Street, Levin, Levin, 5510
, New Zealand","Flat 5, 13 Hereford Street, Levin, Levin, 5510
, New Zealand",,,,,,,,,,,,,,,
80,8030189,9429048333429,10 Jun 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8030189,8030189,,"33b Hackthorne Road, Cashmere, Christchurch, 8022
, New Zealand","33b Hackthorne Road, Cashmere, Christchurch, 8022
, New Zealand",,,,,,,,,,,,,,,
81,6012267,9429042385974,01 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6012267,6012267,,"268a Pine Valley Road,, R.d.2,silverdale,, 0992
, New Zealand","268a Pine Valley Road,, R.d.2,silverdale,, 0992
, New Zealand",,,,,,,,,,,,,,,
82,5018940,9429041125274,06 Mar 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5018940,5018940,,"3 Chesley Place, Half Moon Bay, Auckland, 2012
, New Zealand","3 Chesley Place, Half Moon Bay, Auckland, 2012
, New Zealand",,,,,,,,,,,,,,,
