,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
18,414822,9429039384645,28 Oct 1988,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco414822,414822,,"16 Hillside Cres, Mt Eden
, New Zealand","16 Hillside Cres, Mt Eden
, New Zealand",,,,,,,,,,,,
19,1496658,9429031810852,07 Apr 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1496658,1496658,,"DoubleEco Ltd, 12 Waiu Street, Wainuiomata, Lower Hutt, 5014
, New Zealand","DoubleEco Ltd, 12 Waiu Street, Wainuiomata, Lower Hutt, 5014
, New Zealand",,,,,,,,,,,,
20,4085038,9429030460010,01 Nov 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4085038,4085038,,"58 Bay Street, Red Beach, Red Beach, 0932
, New Zealand","58 Bay Street, Red Beach, Red Beach, 0932
, New Zealand",,,,,,,,,,,,
21,1602235,9429034943069,15 Feb 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1602235,1602235,,"Taurus Accounting Solutions Limited, Level 3, Landsborough House, 287 Durham Street, Christchurch
, New Zealand","Taurus Accounting Solutions Limited, Level 3, Landsborough House, 287 Durham Street, Christchurch
, New Zealand",,,,,,,,,,,,
22,1873306,9429033823652,25 Oct 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1873306,1873306,,"Level 4, Smith & Caughey Building, 253 Queen Street, Auckland 1010, C/-gilligan Sheppard Ltd
, New Zealand","Level 4, Smith & Caughey Building, 253 Queen Street, Auckland 1010, C/-gilligan Sheppard Ltd
, New Zealand",,,,,,,,,,,,
23,667962,9429038516474,13 Mar 1996,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco667962,667962,,"333 Union Road, Mauku, Pukekohe, South Auckland, 2678
, New Zealand","333 Union Road, Mauku, Pukekohe, South Auckland, 2678
, New Zealand",,,,,,,,,,,,
24,2149222,9429032668018,03 Jul 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2149222,2149222,,"11 Jodie Place, Flatbush, Manukau 2023
, New Zealand","11 Jodie Place, Flatbush, Manukau 2023
, New Zealand",,,,,,,,,,,,
25,2379139,9429031723695,21 Dec 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2379139,2379139,,"134 Wilson Road South, Rd9, Te Puke 3189
, New Zealand","134 Wilson Road South, Rd9, Te Puke 3189
, New Zealand",,,,,,,,,,,,
26,1908849,9429033610832,19 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1908849,1908849,,"Hunua Road, Papakura
, New Zealand","Hunua Road, Papakura
, New Zealand",,,,,,,,,,,,
27,5725068,9429041798980,12 Jun 2015,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco5725068,5725068,,"D & D FINANCIAL CONSULTANTS LIMITED, 59 High Street, Auckland Central, Auckland, 1010
, New Zealand","D & D FINANCIAL CONSULTANTS LIMITED, 59 High Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
28,3872457,9429030639485,05 Jun 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3872457,3872457,,"Your Success Ltd, 54 Montgomery Square, Nelson, Nelson, 7010
, New Zealand","Your Success Ltd, 54 Montgomery Square, Nelson, Nelson, 7010
, New Zealand",,,,,,,,,,,,
29,3845796,9429030654259,28 May 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3845796,3845796,,"55 Sillary Street, Hamilton East, Hamilton, 3216
, New Zealand","9b Celadon Place, Wiri, Auckland, 2104
, New Zealand",,,,,,,,,,,,
30,1769778,9429034299678,03 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1769778,1769778,,"79 Clonbern Road, Remuera, Auckland
, New Zealand","79 Clonbern Road, Remuera, Auckland
, New Zealand",,,,,,,,,,,,
31,199416,9429040035178,30 Oct 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco199416,199416,,"26 Glasgow St, Tauranga
, New Zealand",,,,,,,,,,,,,
32,189713,9429040104355,16 Jan 1969,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco189713,189713,,"Deloitte Touche Tohmatsu, 5th Floor, Anchor House, 80 London Street, Hamilton
, New Zealand","13 Lily Street, Raglan
, New Zealand",,,,,,,,,,,,
33,3833016,9429030661585,31 May 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3833016,3833016,,"Helen Delahunty, 44 Moorhouse Street, Wadestown, Wellington, 6012
, New Zealand","Helen Delahunty, 44 Moorhouse Street, Wadestown, Wellington, 6012
, New Zealand",,,,,,,,,,,,
34,1149672,9429036841011,12 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1149672,1149672,,"Adsett & Braddock, Level 2, 90 Symonds Street, Auckland
, New Zealand","Adsett & Braddock, Level 2, 90 Symonds Street, Auckland
, New Zealand",,,,,,,,,,,,
35,1395844,9429035774839,10 Sep 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1395844,1395844,,"C/-david Russell & Co Ltd, 1071 Hinemoa Street, Rotorua
, New Zealand","C/-david Russell & Co Ltd, 1071 Hinemoa Street, Rotorua
, New Zealand",,,,,,,,,,,,
36,1730764,9429034424155,22 Nov 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1730764,1730764,,"362 Unit 2 Panama Road, Mt. Wellington, Auckland
, New Zealand","Katrina Scheidegger, 24/5 The Mall, Mt Maunganui
, New Zealand",,,,,,,,,,,,
37,2254366,9429032216981,02 Jun 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2254366,2254366,,"729 Terrace Road, Rd13, Rakaia, 7783
, New Zealand","39 Ridge Road, Rd2, Greenpark, Christchurch, 7672
, New Zealand",,,,,,,,,,,,
38,2183417,9429032511918,21 Oct 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2183417,2183417,,"1a/171 Bob Owens, Carmichael Road, Tauranga, 3110
, New Zealand","1a/171 Bob Owens, Carmichael Road, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
39,161865,9429040228785,07 Apr 1965,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco161865,161865,,"1130 Pukaki Street, Rotorua
, New Zealand","1130 Pukaki Street, Rotorua
, New Zealand",,,,,,,,,,,,
40,2253096,9429032219395,28 May 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2253096,2253096,,"Gyde Wansbone Chartered Accountants, 195 Mahoe Street, Te Awamutu, 3800
, New Zealand","Gyde Wansbone Chartered Accountants, 195 Mahoe Street, Te Awamutu, 3800
, New Zealand","MAGINNESS, TONY",MCDONALD VAGUE,64 9 3030506,insolmvp.co.nz,09 Jul 2015,Goods  Livestock and second ranking charge over all present and after acquired personal property,"Notice of End of Receivership 
      						
      							
      								Filed
    							
    							
							
							 10 Nov 2016",,,,,
41,1498611,9429031779241,08 Apr 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1498611,1498611,,"10 Maheke Street, St Heliers, Auckland
, New Zealand","10 Maheke Street, St Heliers, Auckland
, New Zealand",,,,,,,,,,,,
42,3219890,9429031278683,13 Dec 2010,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3219890,3219890,,"MALLETT ANGELO QUINN LTD, 5 Hunt Street, Whangarei, Whangarei, 0110
, New Zealand","MALLETT ANGELO QUINN LTD, 5 Hunt Street, Whangarei, Whangarei, 0110
, New Zealand",,,,,,,,,,,,
43,53145,9429040715100,16 Nov 1955,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco53145,53145,,"48 Whau Valley Rd, Whangarei, Northland
, New Zealand",,,,,,,,,,,,,
44,4837201,9429041022702,09 Dec 2013,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4837201,4837201,,"BDO Auckland, Level 8, 120 Albert Street, Auckland, 1010
, New Zealand","BDO Auckland, Level 8, 120 Albert Street, Auckland, 1010
, New Zealand",,,,,,,,,,,,
45,1866760,9429033861289,27 Sep 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1866760,1866760,,"10a Fairleigh Avenue, Mt Albert, Auckland 1025
, New Zealand","10a Fairleigh Avenue, Mt Albert, Auckland 1025
, New Zealand",,,,,,,,,,,,
46,4823920,9429041014936,02 Dec 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4823920,4823920,,"RYAN ACCOUNTING LIMITED, 86 Trig Road, Whenuapai, Waitakere, 0618
, New Zealand","H Gordon, 18 Hueglow Rise, West Harbour, Auckland, 0618
, New Zealand",,,,,,,,,,,,
47,694438,9429038425448,26 Sep 1995,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco694438,694438,,"27 Putiki Road, Ostend, Waiheke Island
, New Zealand","27 Putiki Road, Ostend, Waiheke Island
, New Zealand",,,,,,,,,,,,
48,1544233,9429035237396,10 Aug 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1544233,1544233,,"130g Gowing Drive, Meadowbank, Auckland, 1072
, New Zealand","130g Gowing Drive, Meadowbank, Auckland, 1072
, New Zealand",,,,,,,,,,,,
49,157046,9429040258386,13 Jul 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco157046,157046,,"85 Main St, Gore
, New Zealand",,,,,,,,,,,,,
50,891396,9429037929145,20 Jan 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco891396,891396,,"Scott Macdonald Accountants, 1st Floor, Ibis House, 183 Hereford Street, Christchurch
, New Zealand","Scott Macdonald Accountants, 1st Floor, Ibis House, 183 Hereford Street, Christchurch
, New Zealand",,,,,,,,,,,,
51,524906,9429039051660,21 Oct 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco524906,524906,,"11th Floor, Southpac Towers, 45 Queen Street, Auckland
, New Zealand","-
, New Zealand",,,,,,,,,,,,
52,2241246,9429032267136,07 May 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2241246,2241246,,"C/-hall & Parsons Ca Ltd, Chartered, Accountants, 145 Kitchener Rd, Milford, North Shore City 0620
, New Zealand","C/-hall & Parsons Ca Ltd, Chartered, Accountants, 145 Kitchener Rd, Milford, North Shore City 0620
, New Zealand",,,,,,,,,,,,
53,153085,9429040276366,08 Oct 1941,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco153085,153085,,"109 Revell St, Hokitika
, New Zealand",,,,,,,,,,,,,
54,49361,9429040726939,18 Dec 1951,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco49361,49361,,"5 Pollen St, Grey Lynn
, New Zealand",,,,,,,,,,,,,
55,1968373,9429033232409,15 Aug 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1968373,1968373,,"Peter Spurdle & Associates Ltd, 1488 Hinemoa Street, Rotorua, 3010
, New Zealand","Peter Spurdle & Associates Ltd, 1488 Hinemoa Street, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
56,1402379,9429035758532,25 Sep 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1402379,1402379,,"Solutions Accounting & Business Service, 26 B Honeysuckle Lane, Mairangi Bay, Auckland
, New Zealand","Solutions Accounting & Business Services, 26 B Honeysuckle Lane, Mairangi Bay, Auckland
, New Zealand",,,,,,,,,,,,
57,829383,9429038224980,30 Sep 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco829383,829383,,"240 Gracefield Rd, Seaview, Lower Hutt
, New Zealand","240 Gracefield Rd, Seaview, Lower Hutt
, New Zealand",,,,,,,,,,,,
58,1518555,9429035364801,25 May 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1518555,1518555,,"26 Forrest Hill Road, Henderson, Waitakere City, Auckland
, New Zealand","26 Forrest Hill Road, Henderson, Waitakere City, Auckland
, New Zealand",,,,,,,,,,,,
59,3113125,9429031384650,13 Sep 2010,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3113125,3113125,,"611a Worcester Street, Linwood, Christchurch, 8062
, New Zealand","611a Worcester Street, Linwood, Christchurch, 8062
, New Zealand",,,,,,,,,,,,
60,7647696,9429047607057,05 Aug 2019,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7647696,7647696,,"313 Kennedy Road, Onekawa, Napier, 4110
, New Zealand","313 Kennedy Road, Onekawa, Napier, 4110
, New Zealand",,,,,,,,,,,,
61,65688,9429040667454,09 Dec 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco65688,65688,,"C/o Mr R J E Ferrif, 7 Mason Ave, Otahuhu
, New Zealand",,,,,,,,,,,,,
62,190631,9429040100104,10 Mar 1970,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco190631,190631,,"Gardiner Knobloch Ltd, Level 1, Gardiner Knobloch House, 15 Shakespeare Road, Napier, 4110
, New Zealand","Gardiner Knobloch Ltd, Level 1, Gardiner Knobloch House, 15 Shakespeare Road, Napier, 4110
, New Zealand",,,,,,,,,,,,
63,1296690,9429036008421,08 May 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1296690,1296690,,"Turner Hopkins, 400 Lake Road, North Shore City
, New Zealand","Turner Hopkins, 400 Lake Road, North Shore City
, New Zealand",,,,,,,,,,,,
64,118677,9429032018059,20 Nov 1950,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco118677,118677,,"48a New Renwick Road, Blenheim
, New Zealand",,,,,,,,,,,,,
65,862027,9429038063893,02 Jul 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco862027,862027,,"Indepth Forensic Limited, 26e Liverpool Street, Hamilton
, New Zealand","Indepth Forensic Limited, 26e Liverpool Street, Hamilton
, New Zealand",,,,,,,,,,,,
66,8486394,9429050866250,28 Sep 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8486394,8486394,,"H Singh, 13 Victory Road, Papatoetoe, Auckland, 2025
, New Zealand","H Singh, 13 Victory Road, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
67,4370521,9429030295865,22 Mar 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4370521,4370521,,"Unit Gc, 778 Manukau Road, Royal Oak, Auckland, 1023
, New Zealand","Unit Gc, 778 Manukau Road, Royal Oak, Auckland, 1023
, New Zealand",,,,,,,,,,,,
68,5054940,9429041146415,19 Mar 2014,Removed,NZ Limited Company,Yes,DELOITTE LIMITED,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5054940,5054940,,"Deloitte, Level 18, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Deloitte, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
69,1535522,9429035280149,16 Jul 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1535522,1535522,,"Walker Davey Ltd, Level 3, 148 Victoria Street, Christchurch
, New Zealand","Walker Davey Ltd, Level 3, 148 Victoria Street, Christchurch
, New Zealand",,,,,,,,,,,,
70,119279,9429032013177,17 Sep 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco119279,119279,,"84 Gloucester Street, Christchurch
, New Zealand",,,,,,,,,,,,,
71,3313,9429040967943,26 Feb 1937,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco3313,3313,,"91 Main Rd, Tawa
, New Zealand",,,,,,,,,,,,,
72,2289506,9429032092325,29 Jul 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2289506,2289506,,"C/-skipper Lay & Associates Ltd, 16 Elliot Street, Papakura
, New Zealand","C/-skipper Lay & Associates Ltd, 16 Elliot Street, Papakura
, New Zealand",,,,,,,,,,,,
73,138791,9429040363479,10 Feb 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco138791,138791,,"C/o J B Midgley & Co, 234 Armagh St, Christchurch
, New Zealand",,,,,,,,,,,,,
74,8169352,9429049131826,12 Mar 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8169352,8169352,,"Thomas Harrison Holroyd, 73 Clarence Street, Ponsonby, Auckland, 1011
, New Zealand","Thomas Harrison Holroyd, 73 Clarence Street, Ponsonby, Auckland, 1011
, New Zealand",,,,,,,,,,,,
75,43997,9429040745657,28 Jun 1937,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco43997,43997,,"52 Broadway, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,,
76,5490708,9429041473474,30 Oct 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5490708,5490708,,"Megan GIddens, 129 Ellicott Rd, Nawton, Hamilton, 3200
, New Zealand","Megan GIddens, 129 Ellicott Rd, Nawton, Hamilton, 3200
, New Zealand",,,,,,,,,,,,
77,121590,9429031995344,15 Sep 1934,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco121590,121590,,"78 Armagh St, Christchurch
, New Zealand",,,,,,,,,,,,,
78,1104014,9429037066390,27 Nov 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1104014,1104014,,"375 Hobsonville Road, West Harbour, Auckland
, New Zealand","375 Hobsonville Road, West Harbour, Auckland
, New Zealand",,,,,,,,,,,,
79,34047,9429040816418,18 Nov 1977,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco34047,34047,,"18 Anaru Street, Raumati Beach 5032, Kapiti Coast
, New Zealand","18 Anaru Street, Raumati Beach 5032, Kapiti Coast
, New Zealand",,,,,,,,,,,,
80,908390,9429037845940,26 May 1998,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco908390,908390,,"99 Seabrook Avenue, New Lynn, Auckland
, New Zealand","99 Seabrook Avenue, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
81,55395,9429040706238,01 Jul 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco55395,55395,,"Parnell Hse, 470 Parnell Rd, Auckland 1
, New Zealand",,,,,,,,,,,,,
82,1937176,9429033431055,27 Apr 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1937176,1937176,,"C/- Deloitte, 10 Brandon Street, Wellington, 6140
, New Zealand","C/- Deloitte, 10 Brandon Street, Wellington, 6140
, New Zealand",,,,,,,,,,,,
83,1627321,9429034801994,28 Apr 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1627321,1627321,,"193b Ohaupo Road Glenview, Hamilton
, New Zealand","193b Ohaupo Road Glenview, Hamilton
, New Zealand",,,,,,,,,,,,
84,98232,9429040458281,14 Jun 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco98232,98232,,"10 Railside Rd, Henderson
, New Zealand",,,,,,,,,,,,,
85,706523,9429038384363,04 Dec 1995,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco706523,706523,,"161a Ladies Mile, Ellerslie, Auckland
, New Zealand","161a Ladies Mile, Ellerslie, Auckland
, New Zealand",,,,,,,,,,,,
86,1293429,9429036024896,23 Apr 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1293429,1293429,,"26 Maria Place, Wanganui
, New Zealand","26 Maria Place, Wanganui
, New Zealand",,,,,,,,,,,,
