,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:
10,517538,9429039076854,29 Jul 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco517538,517538,,"599 Sandringham Road, Sindringham
, New Zealand",,,,,,,,,
11,1942951,9429033393216,25 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1942951,1942951,,"55 Renoir Street, West Harbour, Auckland
, New Zealand","55 Renoir Street, West Harbour, Auckland
, New Zealand",,,,,,,,
12,109365,9429032160260,10 Sep 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco109365,109365,,"36 Carnoustie Dr, Wattle Downs, Manurewa, Manakau City
, New Zealand",,,,,,,,,
13,2423308,9429031640855,04 Mar 2010,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2423308,2423308,,"6 Cracroft Street, Parnell, Auckland, 1052
, New Zealand","6 Cracroft Street, Parnell, Auckland, 1052
, New Zealand",,,,,,,,
14,7125353,9429047132207,13 Nov 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7125353,7125353,,"Bentleys Chartered Accountants, 41 Shortland Street, Auckland Central, Auckland, 1010
, New Zealand","Bentleys Chartered Accountants, 41 Shortland Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,
15,99733,9429040446462,10 Dec 1976,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco99733,99733,,"1 St Floor A M P Bldg, Cnr Wood & East Sts, Papakura
, New Zealand","1 St Floor A M P Bldg, Cnr Wood & East Sts, Papakura
, New Zealand",,,,,,,,
16,8177519,9429049223576,09 Apr 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8177519,8177519,,"6a Wainoni Heights, Greenhithe, Auckland, 0632
, New Zealand","6a Wainoni Heights, Greenhithe, Auckland, 0632
, New Zealand",,,,,,,,
17,8447581,9429050769292,22 Aug 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8447581,8447581,,"Rijo  Justin Skaria, 75 Sunrise Avenue, Murrays Bay, Auckland, 0630
, New Zealand","Rijo  Justin Skaria, 75 Sunrise Avenue, Murrays Bay, Auckland, 0630
, New Zealand",,,,,,,,
18,630129,9429038686047,26 May 1994,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco630129,630129,,"18 Perclo Place, Te Rapa, Hamilton
, New Zealand","18 Perclo Place, Te Rapa, Hamilton
, New Zealand",,,,,,,,
19,2101581,9429032877786,12 Mar 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2101581,2101581,,"Caleb Lee & Associates Limited, 237 Wairakei Road, Bryndwr, Christchurch, 8053
, New Zealand","Caleb Lee & Associates Limited, 237 Wairakei Road, Bryndwr, Christchurch, 8053
, New Zealand",,,,,,,,
20,1611491,9429034887424,30 Mar 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1611491,1611491,,"C/-lowthers Auckland Ltd, Level 12, 191 Queen Street, Auckland Central, Auckland
, New Zealand","C/-lowthers Auckland Ltd, Level 12, 191 Queen Street, Auckland Central, Auckland
, New Zealand",,,,,,,,
21,1479470,9429035559573,27 Feb 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1479470,1479470,,"17 Hayr Road, Three Kings, Auckland
, New Zealand","17 Hayr Road, Three Kings, Auckland
, New Zealand",,,,,,,,
22,90573,9429040517247,26 Mar 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco90573,90573,,"17 Kauri Rd, Stanmore Bay
, New Zealand",,,,,,,,,
23,6305949,9429046177841,08 Jun 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6305949,6305949,,"M & M TRANSPORT LIMITED, 4 Mt Lebanon Crescent, The Gardens, Auckland, 2105
, New Zealand","M & M TRANSPORT LIMITED, 4 Mt Lebanon Crescent, The Gardens, Auckland, 2105
, New Zealand",,,,,,,,
24,878616,9429037984687,03 Oct 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco878616,878616,,"9 Tokomaru Street, New Plymouth
, New Zealand","9 Tokomaru Street, New Plymouth
, New Zealand",,,,,,,,
25,6327731,9429046220929,30 Jun 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6327731,6327731,,"Flat 2, 21 Jumento Place, Unsworth Heights, Auckland, 0632
, New Zealand","Flat 2, 21 Jumento Place, Unsworth Heights, Auckland, 0632
, New Zealand",,,,,,,,
26,28520,9429040851501,23 Oct 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco28520,28520,,"22 Coleman Pl, Palmerston North
, New Zealand",,,,,,,,,
27,2364653,9429031757300,19 Nov 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2364653,2364653,,"Footes Limited, 53-55 Sophia Street, Timaru, Timaru, 7910
, New Zealand","Footes Limited, 53-55 Sophia Street, Timaru, Timaru, 7910
, New Zealand",,,,,,,,
28,1150226,9429036838332,13 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1150226,1150226,,"Taurus Accounting Solutions Ltd, 3rd Floor, Landsborough House, 287 Durham Street, Christchurch
, New Zealand","Taurus Accounting Solutions Limited, 3rd Floor, Landsborough House, 287 Durham Street, Christchurch
, New Zealand",,,,,,,,
29,135224,9429031856911,18 Jan 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco135224,135224,,"Lawrence Anderson Buddle, 3rd Floor Allan Mclean Bldg, 208 Oxford Tce, Christchurch
, New Zealand",,,,,,,,,
30,198110,9429040046310,01 Mar 1979,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco198110,198110,,"Flat 1, 9 Waterview Road, Takanini, Takanini, 2112
, New Zealand","Flat 1, 9 Waterview Road, Takanini, Takanini, 2112
, New Zealand",,,,,,,,
31,1576260,9429035082958,06 Dec 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1576260,1576260,,"168 Whitaker Street, Gisborne
, New Zealand","168 Whitaker Street, Gisborne
, New Zealand",,,,,,,,
32,1190846,9429036612390,19 Feb 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1190846,1190846,,"251 Kepa Road, Mission Bay, Auckland
, New Zealand","251 Kepa Road, Mission Bay, Auckland
, New Zealand",,,,,,,,
33,197419,9429040053578,01 Mar 1978,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco197419,197419,,"30 Greerton Rd, Tauranga
, New Zealand",,,,,,,,,
34,199377,9429040037059,15 Oct 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco199377,199377,,"117 Links Avenue, Mount Maunganui
, New Zealand",,,,,,,,,
35,71810,9429040634081,21 Nov 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco71810,71810,,"Gillespie Rd, R D 3, Papakura
, New Zealand",,,,,,,,,
36,60343,9429040688541,23 Sep 1960,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco60343,60343,,"28 Orchard Road, Browns Bay, Auckland 10
, New Zealand","28 Orchard Road, Browns Bay, Auckland 10
, New Zealand",,,,,,,,
37,1219293,9429036447640,20 Jun 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1219293,1219293,,"1293 Ngunguru Road, Rd 3, Whangarei, 0173
, New Zealand","1293 Ngunguru Road, Rd 3, Whangarei, 0173
, New Zealand",,,,,,,,
38,39430,9429040764436,21 Nov 1950,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco39430,39430,,"37 Daniell St, Wellington
, New Zealand",,,,,,,,,
39,1691774,9429034552322,13 Sep 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1691774,1691774,,"61 Mullins Rd, Ardmore, Papakura, Auckland
, New Zealand","61 Mullins Rd, Ardmore, Papakura
, New Zealand",,,,,,,,
40,102938,9429040419480,05 May 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco102938,102938,,"136 Onehunga Mall, Onehunga, Auckland
, New Zealand",,,,,,,,,
41,96682,9429040471488,27 Nov 1975,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco96682,96682,,"4/8 Goodwin Street, Onerahi, Whangarei
, New Zealand","4/8 Goodwin Street, Onerahi, Whangarei
, New Zealand",,,,,,,,
42,1930018,9429033473956,09 May 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1930018,1930018,,"Accounted4, 30 Duke Street, Cambridge, 3434
, New Zealand","29 Aporo Drive, Rd 2, Matamata, 3472
, New Zealand",,,,,,,,
43,1161171,9429036775774,20 Sep 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1161171,1161171,,"1a Hollywood Avenue, Epsom, Auckland
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,
44,98454,9429040453002,08 Jul 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco98454,98454,,"Normanby Rd, Paeroa
, New Zealand",,,,,,,,,
45,1817810,9429034111116,24 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1817810,1817810,,"17 The Esplanade, Eastern Beach, Auckland
, New Zealand","17 The Esplanade, Eastern Beach, Auckland
, New Zealand",,,,,,,,
46,43360,9429040746401,19 Jun 1934,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco43360,43360,,"258 Onewa St, Birkenhead, Auckland
, New Zealand",,,,,,,,,
47,181173,9429040135120,13 Feb 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco181173,181173,,"C/o Mr H M G Barnett, Moorhouse St, Morrinsville
, New Zealand",,,,,,,,,
48,127569,9429031940504,07 Nov 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco127569,127569,,"100 Burnett St, Ashburton
, New Zealand",,,,,,,,,
49,99380,9429040449432,28 Oct 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco99380,99380,,"Official Assignee, 10th Floor Boulcott House, 47 Boulcott Street, Wellington
, New Zealand",,,,,,,,,
50,24851,9429040871257,28 Apr 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco24851,24851,,"C/o Mcculloch Clark & Co, 43 Main St Box 40017, Upper Hutt
, New Zealand",,,,,,,,,
51,1985860,9429033130897,19 Sep 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1985860,1985860,,"151f Chester Street, Christchurch Central, Christchurch, 8011
, New Zealand","151f Chester Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,
52,1061840,9429037157562,30 Aug 2000,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1061840,1061840,,"66 Johnson Street, Bulls 4818
, New Zealand","66 Johnson Steet, Bulls 4818
, New Zealand",,,,,,,,
53,1500523,9429035462798,08 Apr 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1500523,1500523,,"2 Stephen Street, Tawa, Wellington
, New Zealand","2 Stephen Street, Tawa, Wellington
, New Zealand",,,,,,,,
54,1524558,9429035336303,11 Jun 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1524558,1524558,,"26 Gifford Avenue, Mt Roskill, Auckland
, New Zealand","533 Dominion Road, Balmoral, Auckland
, New Zealand",,,,,,,,
55,102360,9429040420417,26 Jan 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco102360,102360,,"159 Richmond Rd, Ponsonby, Auckland 2
, New Zealand",,,,,,,,,
56,1500573,9429035462132,31 Mar 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1500573,1500573,,"24 Martin Crescent, Northcote, Auckland
, New Zealand","24 Martin Crescent, Northcote, Auckland
, New Zealand",,,,,,,,
57,2118886,9429032796377,14 Apr 2008,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2118886,2118886,,"28 Lismore Way, Oteha, Auckland, 0632
, New Zealand","28 Lismore Way, Oteha, Auckland, 0632
, New Zealand",,,,,,,,
58,79146,9429040594354,13 May 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco79146,79146,,"17 Hall St, Pukekohe
, New Zealand",,,,,,,,,
59,50840,9429040723105,17 Nov 1953,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco50840,50840,,"123 Shakespeare Rd, Milford, Auckland
, New Zealand","123 Shakespeare Rd, Milford, Auckland
, New Zealand",,,,,,,,
60,200526,9429040023601,24 Dec 1981,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco200526,200526,,"Stem Rural Accountants Limited, 123 Jellicoe Street, Te Puke, Te Puke, 3119
, New Zealand","Apartment 201, 17 Quay Street, Whakatane, 3120
, New Zealand",,,,,,,,
61,1334337,9429035923800,18 Jun 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1334337,1334337,,"12 Nimrod Place, Half Moon Bay,auckland
, New Zealand","12 Nimrod Place, Half Moon Bay,auckland
, New Zealand",,,,,,,,
62,1236036,9429036351756,09 Sep 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1236036,1236036,,"Sumpter Baughen Chartered Accountants Limited, Level 1, 4 Vinery Lane, Whangarei, 0110
, New Zealand","Sumpter Baughen Chartered Accountants Limited, Level 1, 4 Vinery Lane, Whangarei, 0110
, New Zealand",,,,,,,,
63,5877188,9429042151111,21 Jan 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5877188,5877188,,"CAPITAL HILL BUSINESS SOLUTIONS LIMITED, 19e Blake Street, Ponsonby, Auckland, 1011
, New Zealand","CAPITAL HILL BUSINESS SOLUTIONS LIMITED, 19e Blake Street, Ponsonby, Auckland, 1011
, New Zealand",,,,,,,,
64,193104,9429040083230,11 Apr 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco193104,193104,,"8 Hobson Street, Maeroa, Hamilton
, New Zealand",,,,,,,,,
65,200455,9429040020990,02 Dec 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco200455,200455,,"Main Rd, R D 4 Otaramarae, Rotorua
, New Zealand",,,,,,,,,
66,1297203,9429036006168,22 May 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1297203,1297203,,"Level One, 162 Dee Street, Invercargill
, New Zealand","Level One, 162 Dee Street, Invercargill
, New Zealand",,,,,,,,
67,1088255,9429037109431,11 Oct 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1088255,1088255,,"64a Pleasant Rd, Glen Eden, Auckland
, New Zealand","64a Pleasant Rd, Glen Eden, Auckland
, New Zealand",,,,,,,,
68,8067709,9429048492317,03 Aug 2020,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco8067709,8067709,,"LAY ASSOCIATES LIMITED, 66 High Street, Leeston, Leeston, 7632
, New Zealand","LAY ASSOCIATES LIMITED, 66 High Street, Leeston, Leeston, 7632
, New Zealand",,,,,,,,
69,2214920,9429032369496,02 Mar 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2214920,2214920,,"Level 1, 52-54 Grafton Road, Grafton
, New Zealand","Level 1, 52-54 Grafton Road, Grafton
, New Zealand",,,,,,,,
70,60120,9429040688114,09 Aug 1960,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco60120,60120,,"7 Milford Road, Milford, Auckland, 0620
, New Zealand","7 Milford Road, Milford, Auckland, 0620
, New Zealand",,,,,,,,
71,1679099,9429034601143,15 Aug 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1679099,1679099,,"Accountants First, 22 Prosser Street, Porirua, 5024
, New Zealand","Accountants First, 22 Prosser Street, Porirua, 5024
, New Zealand",,,,,,,,
72,1053260,9429037181987,28 Jul 2000,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1053260,1053260,,"Metro Advances Ltd, Flat 1, 250 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand","Metro Advances Ltd, Flat 1, 250 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,
73,8380485,9429050604555,30 May 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8380485,8380485,,"Morrison Kent, Level 19, 105 The Terrace, Wellington Central, Wellington, 6011
, New Zealand","Morrison Kent, Level 19, 105 The Terrace, Wellington Central, Wellington, 6011
, New Zealand",,,,,,,,
74,324813,9429039671783,11 Nov 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco324813,324813,,"7 Northumberland Street, Waipukurau
, New Zealand",,,,,,,,,
75,6603013,9429046509093,12 Dec 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6603013,6603013,,"26 Paritu Road, Rd 1, Hastings, 4171
, New Zealand","26 Paritu Road, Rd 1, Hastings, 4171
, New Zealand",,,,,,,,
76,3219191,9429031279796,10 Dec 2010,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3219191,3219191,,"1 Station Road, Kamo, Whangarei, 0112
, New Zealand","1 Station Road, Kamo, Whangarei, 0112
, New Zealand",,,,,,,,
77,2080714,9429032959208,24 Jan 2008,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2080714,2080714,,"92 Eastdale Road, Avondale, Auckland
, New Zealand","92 Eastdale Road, Avondale, Auckland
, New Zealand",,,,,,,,
78,77811,9429040599595,03 Nov 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77811,77811,,"C/o Alle Mcindoe &, Murphy, Power Board Bldg, Dargaville
, New Zealand",,,,,,,,,
79,3804016,9429030683204,02 May 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3804016,3804016,,"235a Penrose Raod,, Mt Wellington,, Auckland, 1060
, New Zealand","235a Penrose Raod,, Mt Wellington,, Auckland, 1060
, New Zealand",,,,,,,,
80,7883418,9429047933033,12 Feb 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7883418,7883418,,"Stretton & Co Limited, 44 Heuheu Street, Taupo, Taupo, 3330
, New Zealand","Stretton & Co Limited, 44 Heuheu Street, Taupo, Taupo, 3330
, New Zealand",,,,,,,,
81,6877756,9429046826343,07 Jun 2018,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6877756,6877756,,"CHAPMAN UPCHURCH LIMITED, 108 Main Street, Upper Hutt, Upper Hutt, 5018
, New Zealand","CHAPMAN UPCHURCH LIMITED, 108 Main Street, Upper Hutt, Upper Hutt, 5018
, New Zealand",,,,,,,,
82,1262650,9429036205653,11 Dec 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1262650,1262650,,"132 Belk Road, Rd 3, Tauranga
, New Zealand","132 Belk Road, Rd 3, Tauranga
, New Zealand",,,,,,,,
83,880529,9429037977078,16 Oct 1997,Removed,NZ Limited Company,No,PRICE  DYKES GROUP LIMITED,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco880529,880529,,"Unit 7 5-7 Lower Tyers Rd, Ngauranga Gorge, Wellington, 6035
, New Zealand","Unit 7 5-7 Lower Tyers Rd, Ngauranga Gorge, Wellington, 6035
, New Zealand",,,,,,,,
84,2005197,9429033096308,11 Oct 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2005197,2005197,,"185 Mount Barker Road, Rd 2, Wanaka, 9382
, New Zealand","185 Mount Barker Road, Rd 2, Wanaka, 9382
, New Zealand",,,,,,,,
85,1278841,9429036112135,27 Feb 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1278841,1278841,,"Waters & Pauling, Ground Floor, 611 Great South Road, Manukau, Auckland, 2104
, New Zealand","Waters & Pauling, Ground Floor, 611 Great South Road, Manukau, Auckland, 2104
, New Zealand",,,,,,,,
86,1931425,9429033465722,18 Apr 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1931425,1931425,,"Whk Coffey Davidson, 208-210 Avenue Road East, Hastings
, New Zealand","Whk Coffey Davidson, 208-210 Avenue Road East, Hastings
, New Zealand",,,,,,,,
87,4909459,9429041064177,03 Feb 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4909459,4909459,,"10 Bonnard Place, West Harbour, Auckland, 0618
, New Zealand","10 Bonnard Place, West Harbour, Auckland, 0618
, New Zealand",,,,,,,,
88,1167961,9429036739486,15 Oct 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1167961,1167961,,"Syers Hamilton Pool Ltd, Chartered Accountants, 113 Bank Street, Whangarei
, New Zealand","Syers Hamilton Pool Ltd, 113 Bank Street, Whangarei
, New Zealand",,,,,,,,
89,1876576,9429033804347,01 Nov 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1876576,1876576,,"William Buck Christmas Gouwland Limited, Level 4, 21 Queen Street, Auckland, 1010
, New Zealand","William Buck Christmas Gouwland Limited, Level 4, 21 Queen Street, Auckland, 1010
, New Zealand",,,,,,,,
