,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,FRA Reporting Month:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
14,2287769,9429032108347,23 Jul 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2287769,2287769,,"Streetsmart Accountants Ltd, Building B, 4 Pacific Rise, Mt Wellington, Auckland, 1060
, New Zealand","Streetsmart Accountants Ltd, Building B, 4 Pacific Rise, Mt Wellington, Auckland, 1060
, New Zealand",,,,,,,,,,,,
15,1585304,9429035041023,16 Dec 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1585304,1585304,,"1 Old Pine Valley Road, Rd 2, Silverdale 0992
, New Zealand","1 Old Pine Valley Road, Rd 2, Silverdale 0992
, New Zealand",,,,,,,,,,,,
16,27202,9429040858906,09 Feb 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco27202,27202,,"85 Wai-iti Crescent, Lower Hutt
, New Zealand",,,,,,,,,,,,,
17,167116,9429040194349,14 Aug 1957,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco167116,167116,,"266 Hardy St, Nelson
, New Zealand","-
, New Zealand",,,,,,,,,,,,
18,1757410,9429034345719,19 Jan 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1757410,1757410,,"3 Lawrence Street, Kaiti, Gisborne
, New Zealand","3 Lawrence Street, Kaiti, Gisborne
, New Zealand",,,,,,,,,,,,
19,6360993,9429046271679,03 Aug 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6360993,6360993,,"ARROW ACCOUNTANTS LIMITED, 5 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand","ARROW ACCOUNTANTS LIMITED, 5 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand",,,,,,,,,,,,
20,1182446,9429036661558,15 Jan 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1182446,1182446,,"4 Cobham Drive, Morrinsville 2251
, New Zealand","4 Cobham Drive, Morrinsville 2251
, New Zealand",,,,,,,,,,,,
21,1599577,9429034959343,04 Feb 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1599577,1599577,,"73a Harris Cresent, Papanui, Christchurch, 8053
, New Zealand","73a Harris Cresent, Papanui, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
22,1144081,9429036870622,14 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1144081,1144081,,"77 Titiraupenga Street, Taupo
, New Zealand","77 Titiraupenga Street, Taupo
, New Zealand",,,,,,,,,,,,
23,6651717,9429046551429,17 Jan 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6651717,6651717,,"185 Manchester Street, Feilding, Feilding, 4702
, New Zealand","185 Manchester Street, Feilding, Feilding, 4702
, New Zealand",,,,,,,,,,,,
24,1023627,9429037321147,22 Mar 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1023627,1023627,,"38 Hood Street, Ngongotaha
, New Zealand","38 Hood Street, Ngongotaha
, New Zealand",,,,,,,,,,,,
25,1533586,9429035290223,08 Jul 2004,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1533586,1533586,,"Craig Anderson Ltd, 270a Queen Street, Richmond, Nelson
, New Zealand","Craig Anderson Ltd, 270a Queen Street, Richmond, Nelson
, New Zealand",,,,,,,,,,,,
26,183904,9429040128924,16 Mar 1961,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco183904,183904,,"Appraisal House, 36 Cameron Road, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,
27,98968,9429040450377,03 Sep 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco98968,98968,,"2/45 Milford Road, Milford, Auckland
, New Zealand",,,,,,,,,,,,,
28,180062,9429040138374,20 Mar 1957,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco180062,180062,,"C/- Nairn Fisher, 1268 Arawa Street, Rotorua
, New Zealand","As Per Registered Office
, New Zealand",,,,,,,,,,,,
29,160810,9429040234908,10 Feb 1960,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco160810,160810,,"C/- Carr & Stanton Ltd, Chartered Accountants, 117e Queen Street, Hastings
, New Zealand","Carr & Stanton Ltd, Chartered Accountants, 117 E Queen Street, Hastings
, New Zealand",,,,,,,,,,,,
30,956052,9429037603304,21 Apr 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco956052,956052,,"1 Pariri Avenue, Greenlane, Auckland
, New Zealand","55 Stott Avenue, Birkdale, Auckland
, New Zealand",,,,,,,,,,,,
31,133694,9429031876582,21 Jun 1972,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco133694,133694,,"C/-allott Reeves & Co Limited, 192 Manchester Street, Christchurch
, New Zealand","C/-allott Reeves & Co Limited, 192 Manchester Street, Christchurch
, New Zealand",,,,,,,,,,,,
32,95851,9429040474601,24 Sep 1975,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco95851,95851,,"9 Summit Drive, Mt Albert, Auckland 1003
, New Zealand","9 Summit Drive, Mt Albert, Auckland
, New Zealand",,,,,,,,,,,,
33,88087,9429040535739,21 Jun 1949,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco88087,88087,,"79a Cambridge Tce, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,,
34,1679260,9429034600016,12 Aug 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1679260,1679260,,"C/-kennedy Maher & Co Limited, 112 Rimu Road, Paraparaumu
, New Zealand","C/-kennedy Maher & Co Limited, 112 Rimu Road, Paraparaumu
, New Zealand",,,,,,,,,,,,
35,193169,9429040083698,03 May 1973,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco193169,193169,,"14 Avalon Street, Glenfield, Auckland
, New Zealand","14 Avalon Street, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
36,5522965,9429041553428,22 Dec 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5522965,5522965,,"98 Koraha Road, Kumeu, Kumeu, 0892
, New Zealand","98 Koraha Road, Kumeu, Kumeu, 0892
, New Zealand",,,,,,,,,,,,
37,5434641,9429041382615,09 Sep 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5434641,5434641,,"7 Prestwick Place, Wattle Downs, Auckland, 2103
, New Zealand","7 Prestwick Place, Wattle Downs, Auckland, 2103
, New Zealand",,,,,,,,,,,,
38,140235,9429040350387,18 Mar 1980,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco140235,140235,,"BDO, 30 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand","BDO, 30 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
39,1774919,9429034278444,27 Feb 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1774919,1774919,,"81 Charles Road, R D 1 Papakura
, New Zealand","81 Charles Road, R D 1 Papakura
, New Zealand",,,,,,,,,,,,
40,6245412,9429045980541,27 Feb 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6245412,6245412,,"GRAHAM BROWN & CO LIMITED CHARTERED ACCOUNTANTS, 45-49 Tirau Street, Putaruru, Putaruru, 3411
, New Zealand","GRAHAM BROWN & CO LIMITED CHARTERED ACCOUNTANTS, 45-49 Tirau Street, Putaruru, Putaruru, 3411
, New Zealand",,,,,,,,,,,,
41,131339,9429031903400,30 Jun 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco131339,131339,,"376 Ilam Rd, Christchurch
, New Zealand",,,,,,,,,,,,,
42,949913,9429037637385,17 Mar 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco949913,949913,,"27 Almond Grove, Greenhithe, Auckland
, New Zealand","27 Almond Grove, Greenhithe, Auckland
, New Zealand",,,,,,,,,,,,
43,23466,9429040880778,17 Apr 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco23466,23466,,"12 Hawker Street, Mt Victoria, Wellington
, New Zealand",,,,,,,,,,,,,
44,1167133,9429036743957,24 Oct 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1167133,1167133,,"Gilmore Brown Ltd, Chartered, Accountants, 4th Floor, 30-34, Rathbone Str, Whangarei
, New Zealand","Gilmore Brown Ltd, Chartered, Accountants, 4th Floor, 30-34, Rathbone Str, Whangarei
, New Zealand",,,,,,,,,,,,
45,1376319,9429035820598,25 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1376319,1376319,,"7 San Luis Place, Howick, Auckland
, New Zealand","7 San Luis Place, Howick, Auckland
, New Zealand",,,,,,,,,,,,
46,7868226,9429047885196,15 Jan 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7868226,7868226,,"385a Ellerslie-panmure Highway, Mount Wellington, Auckland, 1060
, New Zealand","385a Ellerslie-panmure Highway, Mount Wellington, Auckland, 1060
, New Zealand",,,,,,,,,,,,
47,5940177,9429042272267,16 May 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5940177,5940177,,"J W Smeaton, 6th Floor Consultancy House, 7 Bond Street, Dunedin, 9054
, New Zealand","Anne Daniels, 19 Eglinton Road, Mornington, Dunedin, 9011
, New Zealand",,,,,,,,,,,,
48,1259077,9429036227730,28 Nov 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1259077,1259077,,"Anderson Kendall Limited, 2nd Floor, N Z I Building, 507 Lake Road, Takapuna, Auckland
, New Zealand","Anderson Kendall Limited, 2nd Floor, N Z I Building, 507 Lake Road, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,
49,120877,9429031997706,09 Apr 1923,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco120877,120877,,"107 Leinster Road, Strowan, Christchurch, 8014
, New Zealand","107 Leinster Road, Strowan, Christchurch, 8014
, New Zealand",,,,,,,,,,,,
50,1016463,9429037357061,23 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1016463,1016463,,"Robertson Bixley & Assoc, Chartered Accountants, Cnr East & Wood Sts, Papakura
, New Zealand","Robertson Bixley & Assoc, Chartered Accountants, Cnr East & Wood Sts, Papakura
, New Zealand",,,,,,,,,,,,
51,1857777,9429033911885,29 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1857777,1857777,,"12 Fitzroy Place, Bishopdale, Christchurch
, New Zealand","12 Fitzroy Place, Bishopdale, Christchurch
, New Zealand",,,,,,,,,,,,
52,73767,9429040622910,05 Dec 1967,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco73767,73767,,"74 Mellons Bay Road, Howick, Auckland
, New Zealand","74 Mellons Bay Road, Howick, Auckland
, New Zealand",,,,,,,,,,,,
53,92839,9429040500355,23 Oct 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco92839,92839,,"6 Osterley Way, Manukau City
, New Zealand",,,,,,,,,,,,,
54,134706,9429031862875,09 Aug 1973,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco134706,134706,,"158 Main South Road, Sockburn, Christchurch 8443
, New Zealand","158 Main South Road, Sockburn, Christchurch 8443
, New Zealand",,,,,,,,,,,,
55,1494669,9429035471257,02 Apr 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1494669,1494669,,"Deloitte, 24 Bridge Street, Hamilton East, Hamilton 3216
, New Zealand","Deloitte, 24 Bridge Street, Hamilton East, Hamilton 3216
, New Zealand",,,,,,,,,,,,
56,1844727,9429033976556,24 Jul 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1844727,1844727,,"103a Thornton Road, Cambridge
, New Zealand","103a Thornton Road, Cambridge
, New Zealand",,,,,,,,,,,,
57,131589,9429031901086,06 Oct 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco131589,131589,,"199 Cashel Street, Christchurch
, New Zealand",,,,,,,,,,,,,
58,1720245,9429034457481,02 Nov 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1720245,1720245,,"Level 2, 27 Gillies Ave, Newmarket, Auckland
, New Zealand","Level 2, 27 Gillies Ave, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
59,1662065,9429034660577,08 Jul 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1662065,1662065,,"Milnes Beatson Limited, Chartered Accountants, 29 Wallace Street, Motueka
, New Zealand","Milnes Beatson Limited, Chartered Accountants, 29 Wallace Street, Motueka
, New Zealand",,,,,,,,,,,,
60,944798,9429037669188,12 Feb 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco944798,944798,,"499 Paremoremo Road, Albany, Auckland
, New Zealand","499 Paremoremo Road, Albany, Auckland
, New Zealand",,,,,,,,,,,,
61,607071,9429038785627,15 Feb 1994,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco607071,607071,,"64 Beaver Road West, R D 2, Pukekohe
, New Zealand","64 Beaver Road West, R D 2, Pukekohe
, New Zealand",,,,,,,,,,,,
62,612231,9429038763847,18 Nov 1993,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco612231,612231,,"Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand",,,,,,,,,,,,
63,815383,9429038289361,03 Jul 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco815383,815383,,"HC Partners LP, 39 George Street, Timaru, Timaru, 7910
, New Zealand","HC Partners LP, 39 George Street, Timaru, Timaru, 7910
, New Zealand",,,,,,,,,,,,
64,908762,9429037841799,29 May 1998,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco908762,908762,,"1st Floor, 29 Waterloo Road, Lower Hutt
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
65,136387,9429031844284,11 Apr 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco136387,136387,,"410 Rosebank Road, Avondale, Auckland
, New Zealand",,,,,,,,,,,,,
66,189892,9429040104638,15 Apr 1969,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco189892,189892,,"Nairn Fisher 2015 Ltd, 1274 Eruera Street, Rotorua, Rotorua, 3010
, New Zealand","Nairn Fisher 2015 Limited, 1274 Eruera Street, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
67,5516870,9429041522363,01 Dec 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5516870,5516870,,"Allott Reeves & Co Ltd, Unit 1, 55 Epsom Road, Sockburn, Christchurch, 8443
, New Zealand","Allott Reeves & Co Ltd, Unit 1, 55 Epsom Road, Sockburn, Christchurch, 8443
, New Zealand",,,,,,,,,,,,
68,6333796,9429046233011,07 Jul 2017,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco6333796,6333796,,"Troy Cleave, 61 Picton Street, Howick, Auckland, 2014
, New Zealand","Troy Cleave, 61 Picton Street, Howick, Auckland, 2014
, New Zealand",,,,,,,,,,,,
69,1033171,9429037272227,05 May 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1033171,1033171,,"Level 2, 123 Carlton Gore Road, Newmarket, Auckland
, New Zealand","Level 2, 123 Carlton Gore Road, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
70,54949,9429040708874,29 Mar 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco54949,54949,,"Markham & Partners, 3rd Fl Mainline Bldg, 58 Symonds St, Auckland
, New Zealand",,,,,,,,,,,,,
71,177122,9429040145167,12 Dec 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco177122,177122,,"30 Teasdale St, Te Awamutu
, New Zealand",,,,,,,,,,,,,
72,1760590,9429034334577,26 Jan 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1760590,1760590,,"16 Waite Street, Featherston, 5710
, New Zealand","16 Waite Street, Featherston, 5710
, New Zealand",,,,,,,,,,,,
73,418056,9429039374660,26 Jan 1989,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco418056,418056,,"Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand","Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand",,,,,,,,,,,,
74,162940,9429040223803,08 Jul 1969,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco162940,162940,,"Brown Webb Richardson Limited, 111 Avenue Road East, Hastings
, New Zealand","Brown Webb Richardson Limited, 111 Avenue Road East, Hastings
, New Zealand",,,,,,,,,,,,
75,99621,9429040445519,26 Nov 1976,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco99621,99621,,"1 Florence Ave, Orewa
, New Zealand","Orewa Taxation Service, 1 Florence Ave, Orewa
, New Zealand",,,,,,,,,,,,
76,4316238,9429030334212,26 Feb 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4316238,4316238,,"WH Williams, 3 Water Lane, New Plymouth, New Plymouth, 4310
, New Zealand","WH Williams, 3 Water Lane, New Plymouth, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
77,1281641,9429036094615,07 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1281641,1281641,,"C/- Hornby Law, 5 Goulding Avenue, Hornby, Christchurch
, New Zealand","C/- Hornby Law, 5 Goulding Avenue, Hornby, Christchurch
, New Zealand",,,,,,,,,,,,
78,1698413,9429034529768,22 Sep 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1698413,1698413,,"19 Avonleigh Road, Green Bay, Auckland
, New Zealand","19 Avonleigh Road, Green Bay, Auckland
, New Zealand",,,,,,,,,,,,
79,1197608,9429036572236,19 Mar 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1197608,1197608,,"206 Ngarara Road, Waikanae
, New Zealand","206 Ngarara Road, Waikanae
, New Zealand",,,,,,,,,,,,
80,553037,9429038964350,14 Aug 1992,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco553037,553037,,"Locks & Partners Ltd, Level 3, 16 College Hill, Freemans Bay, Auckland, 1011
, New Zealand","Locks & Partners Ltd, Level 3, 16 College Hill, Freemans Bay, Auckland, 1011
, New Zealand",,,,,,,,,,,,
81,80868,9429040581002,18 Jan 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco80868,80868,,"C/o John Bruce Harris, Arawa St South, Matamata
, New Zealand",,,,,,,,,,,,,
82,110898,9429032145601,30 Mar 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco110898,110898,,"21 Mill Road, Whangarei
, New Zealand",,,,,,,,,,,,,
83,6419755,9429046333698,04 Sep 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6419755,6419755,,"Robin Cunningham, 32 St Catherine Crescent, West Harbour, Auckland, 0612
, New Zealand","Robin Cunningham, 32 St Catherine Crescent, West Harbour, Auckland, 0612
, New Zealand",,,,,,,,,,,,
84,1266289,9429036186228,22 Jan 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1266289,1266289,,"654 Bannockburn Road, Rd 2, Cromwell, 9384
, New Zealand","654 Bannockburn Road, Rd 2, Cromwell, 9384
, New Zealand",,,,,,,,,,,,
85,1356612,9429035859260,08 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1356612,1356612,,"20 Fairburn Place, Cambridge
, New Zealand","20 Fairburn Place, Cambridge
, New Zealand",,,,,,,,,,,,
86,1937560,9429033427188,23 May 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1937560,1937560,,"35 Drews Avenue, Wanganui
, New Zealand","35 Drews Avenue, Wanganui
, New Zealand",,,,,,,,,,,,
87,74364,9429040619866,11 Apr 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco74364,74364,,"387-391 Great North Rd, Henderson
, New Zealand",,,,,,,,,,,,,
