,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,address.Type of entity,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports,Status:,Liquidator:
10,7386696,9429047381773,10 Apr 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7386696,7386696,,"ARROW ACCOUNTANTS LIMITED, 5 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand","ARROW ACCOUNTANTS LIMITED, 5 Richardson Street, Whakatane, Whakatane, 3120
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
11,2165432,9429032595093,18 Sep 2008,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco2165432,2165432,,"R J Power, 8 Memorial Avenue, Ilam, Christchurch, 8053
, New Zealand","R J Power, 8 Memorial Avenue, Ilam, Christchurch, 8053
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
12,978888,9429037486556,16 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco978888,978888,,"4 Kylie Court, Hilltop, Manukau, Auckland
, New Zealand","4 Kylie Court, Hilltop, Manukau City
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
13,1705353,9429034506578,05 Oct 2005,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1705353,1705353,,"Vanburwray Chartered Accountants, 7 Liardet Street, New Plymouth, 4310
, New Zealand","7 Liardet Street, New Plymouth, 4310
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
14,2313795,9429031965286,01 Sep 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2313795,2313795,,"Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand","Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
15,6466959,9429046403513,11 Oct 2017,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6466959,6466959,,"122a Verran Road, Birkdale, Auckland, 0626
, New Zealand","122a Verran Road, Birkdale, Auckland, 0626
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
16,4449561,9429030217584,17 May 2013,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4449561,4449561,,"Peter Barker Accountants, 723 Pollen Street, Thames, 3500
, New Zealand","Peter Barker Accountants, 723 Pollen Street, Thames, 3500
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
17,1595561,9429034983225,08 Feb 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1595561,1595561,,"1172 Kaipara Coast Highway, Rd 3, Kaukapakapa, Auckland
, New Zealand","1172 Kaipara Coast Highway, Rd 3, Kaukapakapa, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
18,86342,9429040547305,16 Feb 1973,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco86342,86342,,"No 6 Roseberry Place, Whitianga, 3510
, New Zealand","No 6 Roseberry Place, Whitianga, 3510
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
19,5490742,9429041472330,31 Oct 2014,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco5490742,5490742,,"680 South Eyre Road, Rd 2, Kaiapoi, 7692
, New Zealand","680 South Eyre Road, Rd 2, Kaiapoi, 7692
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
20,83137,9429040569048,21 Dec 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco83137,83137,,"Sunnyvale Rd, Henderson
, New Zealand",,Showing 1 of 1 directors,,,,,,,,,,,,,,,
21,804819,9429038339349,01 May 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco804819,804819,,"21 Avenue Road, Otahuhu, Auckland
, New Zealand","21 Avenue Road, Otahuhu, Auckland
, New Zealand",Showing 2 of 5 directors,,,,,,,,,,,,,,,
22,192303,9429040088099,15 May 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco192303,192303,,"Boundary Road, Ashley, R D Rangiora
, New Zealand",,,,,,,,,,,,,,,,,
23,27926,9429040856728,29 Jun 1973,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco27926,27926,,"9 Dallas Court, Miramar, Wellington
, New Zealand","9 Dallas Court, Miramar, Wellington
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
24,8628828,9429051154721,02 Mar 2023,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8628828,8628828,,"Flat 1, 136 Nayland Road, Stoke, Nelson, 7011
, New Zealand","Flat 1, 136 Nayland Road, Stoke, Nelson, 7011
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
25,1345782,9429035891208,08 Jul 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1345782,1345782,,"Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
26,2104607,9429032865639,06 Mar 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2104607,2104607,,"Unit 2/15 Reynolds Place, Papamoa
, New Zealand","Unit 2/15 Reynolds Place, Papamoa
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
27,1896777,9429033681740,18 Dec 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1896777,1896777,,"776b, Kihikihi Road, Te Awamutu 3800
, New Zealand","776b, Kihikihi Road, Te Awamutu 3800
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
28,833719,9429038203251,11 Nov 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco833719,833719,,"51 Welsh Hills Road, Swanson, Waitakere, 0614
, New Zealand","51 Welsh Hills Road, Swanson, Waitakere, 0614
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
29,4051758,9429030482616,09 Oct 2012,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4051758,4051758,,"PAT CALLINAN ACCOUNTING LTD, Flat 1, 22 Picton Street, Howick, 2014
, New Zealand","PAT CALLINAN ACCOUNTING LTD, Flat 1, 22 Picton Street, Howick, 2014
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
30,2152845,9429032652321,18 Jul 2008,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2152845,2152845,,"146 Homebush Road, Khandallah, Wellington, 6035
, New Zealand","146 Homebush Road, Khandallah, Wellington, 6035
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
31,8464748,9429050803545,29 Aug 2022,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8464748,8464748,,"9 Hiwihau Place, Glenfield, Auckland, 0629
, New Zealand","9 Hiwihau Place, Glenfield, Auckland, 0629
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
32,3798136,9429030689350,01 May 2012,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3798136,3798136,,"Linzi mou, Flat 3, 3 Rocklands Avenue, Mount Eden, Auckland, 1024
, New Zealand","Linzi mou, Flat 3, 3 Rocklands Avenue, Mount Eden, Auckland, 1024
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
33,8394542,9429050703777,14 Jul 2022,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco8394542,8394542,,"Julie Kira, 18 Chambers Street, Te Awa, Napier, 4110
, New Zealand","Julie Kira, 18 Chambers Street, Te Awa, Napier, 4110
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
34,1251776,9429036261857,21 Nov 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1251776,1251776,,"C/- Noone Ford Simpson Ltd, 2nd Floor, 18 Woollcombe Street, Timaru, 7910
, New Zealand","C/- Noone Ford Simpson Ltd, 2nd Floor, 18 Woollcombe Street, Timaru, 7910
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
35,824987,9429038244957,30 Aug 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco824987,824987,,"C/-bkr Walker Wayland Ltd, Level 8, 53 Fort Street, Auckland
, New Zealand","C/-bkr Walker Wayland Ltd, Level 8, 53 Fort Street, Auckalnd
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
36,1892713,9429033707198,05 Dec 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1892713,1892713,,"Unit 1, 567 Wairakei Road, Burnside, Christchurch, 8053
, New Zealand","Unit 1, 567 Wairakei Road, Burnside, Christchurch, 8053
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
37,604133,9429038796128,23 Sep 1993,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco604133,604133,,"C/- Staples Rodway Ltd, 11th Floor, Tower Centre, 45 Queen Street, Auckland
, New Zealand","C/- Staples Rodway Ltd, 11th Floor, Tower Centre, 45 Queen Street, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
38,7914797,9429047992214,16 Mar 2020,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco7914797,7914797,,"Unit 2, Block 2, 22 Harris Road, East Tamaki, Auckland, 2013
, New Zealand","Unit 2, Block 2, 22 Harris Road, East Tamaki, Auckland, 2013
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
39,1852275,9429033942797,09 Aug 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1852275,1852275,,"7 Ruapae Grove, Trentham, Upper Hutt
, New Zealand","7 Ruapae Grove, Trentham, Upper Hutt
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
40,1283255,9429036084074,24 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1283255,1283255,,"C/-kim Hancock Ltd, Chartered Accountant, 8 Tainui Street, Matamata, 3400
, New Zealand","C/-kim Hancock Ltd, Chartered Accountant, 8 Tainui Street, Matamata, 3400
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
41,1291618,9429036035823,14 Apr 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1291618,1291618,,"3 Brighton Rd, Parnell, Auckland, Nz
, New Zealand","3 Brighton Rd, Parnell, Auckland, Nz
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
42,195575,9429040066790,15 Sep 1975,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco195575,195575,,"STRETTON & CO, Towngate Building, 44 Heu Heu Street, Taupo
, New Zealand","Stretton & Co, Towngate Building, 44 Heu Heu Street, Taupo
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
43,2064666,9429033010052,29 Nov 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2064666,2064666,,"188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand","188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
44,62203,9429040679808,19 Oct 1961,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco62203,62203,,"63 Disraeli St, Epsom, Auckland 3
, New Zealand",,,,,,,,,,,,,,,,,
45,4993960,9429041112267,20 Mar 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4993960,4993960,,"10 Belfast Place, Frankton, Hamilton, 3204
, New Zealand","10 Belfast Place, Frankton, Hamilton, 3204
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
46,157866,9429040247564,03 Oct 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco157866,157866,,"Malloch Mcclean & Co, 45 Don St, Invercargill
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
47,1111932,9429037029609,18 Jan 2001,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1111932,1111932,,"5a Wylie Street, Rotorua
, New Zealand","5a Wylie Street, Rotorua
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
48,6327755,9429046221261,30 Jun 2017,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6327755,6327755,,"29 Kohinoor Avenue, Mangere, Auckland, 2022
, New Zealand","29 Kohinoor Avenue, Mangere, Auckland, 2022
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
49,8181384,9429049263039,23 Apr 2021,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8181384,8181384,,"2 Cloonlyon Drive, Flat Bush, Auckland, 2019
, New Zealand","2 Cloonlyon Drive, Flat Bush, Auckland, 2019
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
50,59833,9429040689500,17 Jun 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco59833,59833,,"73 Victoria Avenue, Remuera, Auckland 5
, New Zealand",,,,,,,,,,,,,,,,,
51,1963625,9429033261850,04 Jul 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1963625,1963625,,"C/o Adele M Maraki Chartered Accountant, 81 Mihi Road, Okaihau
, New Zealand","C/o Adele M Maraki Chartered Accountant, 81 Mihi Road, Okaihau
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
52,1141363,9429036884889,31 May 2001,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1141363,1141363,,"Level 1, 85 Hereford St, Christchurch
, New Zealand","Level 1, 85 Hereford St, Christchurch
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
53,4877059,9429041047125,07 Jan 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4877059,4877059,,"20 Henley Road, Rd 1, Kaukapakapa, 0871
, New Zealand","20 Henley Road, Rd 1, Kaukapakapa, 0871
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
54,815393,9429038290404,05 Jul 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco815393,815393,,"19 Weston Road, Christchurch
, New Zealand","19 Weston Road, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
55,590565,9429038839979,08 Sep 1993,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco590565,590565,,"7 Aotaki Street, Otaki
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
56,1499915,9429031759069,01 Apr 2004,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1499915,1499915,,"7 Buckland Place, Spotswood, New Plymouth, 4310
, New Zealand","7 Buckland Place, Spotswood, New Plymouth, 4310
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
57,3173472,9429031340250,18 Oct 2010,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3173472,3173472,,"15e Newman Rd Stillwater Silverdale, Silverdale, 0993
, New Zealand","15e Newman Rd Stillwater Silverdale, Silverdale, 0993
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
58,161250,9429040231488,09 Aug 1962,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco161250,161250,,"C/o Carr & Stanton, 117 Queen St East Box 345, Hastings
, New Zealand",,,,,,,,,,,,,,,,,
59,507978,9429039104670,05 Aug 1991,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco507978,507978,,"278 Onehunga Mall, Onehunga, Auckland
, New Zealand",,Showing 1 of 1 directors,,,,,,,,,,,,,,,
60,950374,9429037637057,17 Mar 1999,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco950374,950374,,"22 Riverhills Avenue, Pakuranga, Auckland
, New Zealand","22 Riverhills Avenue, Pakuranga, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
61,60035,9429040689197,25 Jul 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco60035,60035,,"1985-87 Gt North Rd, Avondale, Auckland
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
62,187408,9429040116327,23 Sep 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco187408,187408,,"C/o Mr D Hunia, Edgecumbe Te Teko Rd, Te Teko
, New Zealand",,,,,,,,,,,,,,,,,
63,4215158,9429030383852,17 Jan 2013,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4215158,4215158,,"14c Arrow Street, Wakefield, Tasman, 7025
, New Zealand","14c Arrow Street, Wakefield, Tasman, 7025
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
64,108325,9429032251227,08 May 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco108325,108325,,"Ross Melville & Ptnrs, Achilles Hse, 47 Customs St East, Auckland 1
, New Zealand",,,,,,,,,,,,,,,,,
65,1108543,9429037045425,20 Dec 2000,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1108543,1108543,,"C/- Markhams Auckland, Level 10, 203 Queen Street, Auckland, 1010
, New Zealand","C/- Markhams Auckland, Level 10, 203 Queen Street, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
66,1985815,9429033132471,14 Sep 2007,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1985815,1985815,,"Pam Mills Limited, 7 Oates Street, Stokes Valley, Lower Hutt, 5019
, New Zealand","282a Stokes Valley Road, Stokes Valley, Lower Hutt, 5019
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
67,8145036,9429048842112,07 Jan 2021,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8145036,8145036,,"Lee-Anne Jago, 11 Cook Crescent, Stephens Bay, Motueka, 7197
, New Zealand","Lee-Anne Jago, 11 Cook Crescent, Stephens Bay, Motueka, 7197
, New Zealand",Showing 2 of 4 directors,,,,,,,,,,,,,,,
68,140236,9429040350578,18 Mar 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco140236,140236,,"573 Great South Road, Manukau City, Auckland
, New Zealand",,,,,,,,,,,,,,,,,
69,1270099,9429036164073,30 Jan 2003,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1270099,1270099,,"100a Sunset Road, Glenfield, North Shore
, New Zealand","100a Sunset Road, Glenfield, North Shore
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
70,80824,9429040582191,22 Dec 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco80824,80824,,"Clyde Rd, Browns Bay
, New Zealand",,,,,,,,,,,,,,,,,
71,1289801,9429036045174,07 Apr 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1289801,1289801,,"Level 3a, 17 Albert Street, Auckland
, New Zealand","1/65 Rangatira Road, Birkenhead, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
72,1173601,9429036707904,20 Nov 2001,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1173601,1173601,,"2/22 Auckland Rd, St Heliers, Auckland
, New Zealand","2/22 Auckland Rd, St Heliers, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
73,3415211,9429031066228,08 Jun 2011,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3415211,3415211,,"1074 Poplar Road, Rd 3, Ashburton, 7773
, New Zealand","1074 Poplar Road, Rd 3, Ashburton, 7773
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
74,3576512,9429030928046,05 Oct 2011,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3576512,3576512,,"16 Heybridge Street, Manurewa, Auckland, 2102
, New Zealand","16 Heybridge Street, Manurewa, Auckland, 2102
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
75,1236795,9429036347261,05 Sep 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1236795,1236795,,"Lane Neave, Level 15, 119 Armagh Street, Christchurch
, New Zealand","Lane Neave, Level 15, 119 Armagh Street, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
76,1143601,9429036872060,12 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1143601,1143601,,"31 Akatarawa Road, Brown Owl, Upper Hutt
, New Zealand","31 Akatarawa Road, Brown Owl, Upper Hutt
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
77,7873172,9429047903425,29 Jan 2020,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7873172,7873172,,"Flat 1, 46a Captain Scott Road, Glen Eden, Auckland, 0602
, New Zealand","Flat 1, 46a Captain Scott Road, Glen Eden, Auckland, 0602
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
78,2073213,9429032986327,12 Dec 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2073213,2073213,,"715 Great South Road, Otahuhu, Auckland 1640
, New Zealand","715 Great South Road, Otahuhu, Auckland 1640
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
79,8829190,9429051520212,10 Aug 2023,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8829190,8829190,,"5a Babich Rd, Henderson Valley, Auckland, 0614
, New Zealand","5a Babich Rd, Henderson Valley, Auckland, 0614
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
80,287276,9429039794864,24 Oct 1985,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco287276,287276,,"Morrinsville Hotel, Hamilton Road, Morrinsville
, New Zealand","Morrinsville Hotel, Hamilton Road, Morrinsville
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
81,2427488,9429031637602,04 Mar 2010,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco2427488,2427488,,"Giles & Associates Chartered Accountants Limited, 109 Main Road, Katikati, 3129
, New Zealand","15 Churchill Street, Whakatane, Whakatane, 3120
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
82,1161673,9429036773244,11 Oct 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1161673,1161673,,"576 Hanmer Road, Brookside R.d. 2, Leeston 8151, Canterbury
, New Zealand","Hanmer Road, Brookside R.d. 2, Leeston 8151, Canterbury
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
83,89152,9429040525136,25 Oct 1973,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco89152,89152,,"The Orewa Taxation Service Limited, 374 Hibiscus Coast Highway, Orewa, Orewa, 0931
, New Zealand","The Orewa Taxation Service Limited, 374 Hibiscus Coast Highway, Orewa, Orewa, 0931
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
