,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports
17,1155706,9429036807055,22 Aug 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1155706,1155706,,"1 / 15 Queens Parade, Devonport, Auckland, 0624
, New Zealand","1 / 15 Queens Parade, Devonport, Auckland, 0624
, New Zealand",,,,,,,,,
18,16038,9429040918181,17 Mar 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco16038,16038,,"Vega Building, Heriot Drive, Porirua
, New Zealand",,,,,,,,,,
19,1566449,9429035133247,12 Oct 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1566449,1566449,,"769, Dominion Rd, Mt Roskill, Auckland
, New Zealand","769, Dominion Rd, Mt Roskill, Auckland
, New Zealand",,,,,,,,,
20,1184093,9429036652006,24 Jan 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1184093,1184093,,"74 Kaimanawa Street, Taupo, 3330
, New Zealand","74 Kaimanawa Street, Taupo, 3330
, New Zealand",,,,,,,,,
21,3670231,9429030870796,29 Nov 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3670231,3670231,,"Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand","Unit 3, 245 St Asaph Street, Christchurch Central, Christchurch, 8011
, New Zealand",,,,,,,,,
22,194454,9429040074481,11 Jun 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco194454,194454,,"228 Malfroy Rd, Rotorua
, New Zealand",,,,,,,,,,
23,1040530,9429037236441,21 Jun 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1040530,1040530,,"Level 2, Wakefield House, 90 The Terrace, Wellington
, New Zealand","Level 2, Wakefield House, 90 The Terrace, Wellington
, New Zealand",,,,,,,,,
24,126816,9429031947121,04 Dec 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco126816,126816,,"Martin Wakefield & Co, Chartered Accountant, Level 1 26 Canon St, Timaru
, New Zealand",,,,,,,,,,
25,1561491,9429035157809,26 Oct 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1561491,1561491,,"Level 8, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand","Level 8, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand",,,,,,,,,
26,456096,9429039261113,15 Aug 1990,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco456096,456096,,"2 Crummer Road, Ponsonby, Auckland
, New Zealand","2 Crummer Road, Ponsonby, Auckland
, New Zealand",,,,,,,,,
27,2151623,9429032658071,10 Jul 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2151623,2151623,,"248 Alec Craig Way, Fairway Park, Gulf Harbour, Whangaporoa
, New Zealand","248 Alec Craig Way, Fairway Park, Gulf Harbour, Whangaporoa
, New Zealand",,,,,,,,,
28,4529739,9429030154056,04 Jul 2013,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4529739,4529739,,"800a Oliphant Road, Raureka, Hastings, 4120
, New Zealand","800a Oliphant Road, Raureka, Hastings, 4120
, New Zealand",,,,,,,,,
29,87732,9429040537382,26 Jun 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco87732,87732,,"4th Fl Levien Bld, Cnr Airedale & St Paul St, Auckland 1
, New Zealand",,,,,,,,,,
30,1785581,9429034246399,15 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1785581,1785581,,"C/-lowthers Auckland Limited, Level 12, 191 Queen Street, Auckland Centre, Auckland
, New Zealand","C/-lowthers Auckland Limited, Level 12, 191 Queen Street, Auckland Centre, Auckland
, New Zealand",,,,,,,,,
31,74400,9429040618104,23 Apr 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco74400,74400,,"42 Taharepa Road, Taupo, Auckland
, New Zealand",,,,,,,,,,
32,6718893,9429046605405,26 Feb 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6718893,6718893,,"15c Ferndale Drive, Rd 5, Kawakawa Bay, 2585
, New Zealand","15c Ferndale Drive, Rd 5, Kawakawa Bay, 2585
, New Zealand",,,,,,,,,
33,823325,9429038251740,22 Aug 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco823325,823325,,"Level 5, Beattie Rickman Centre, Cnr Bryce & Anglesea Streets, Hamilton
, New Zealand","Beattie Rickman, Chartered Accountants, Level 5, Beattie Rickman Centre, Cnr. Bryce & Anglesea Streets, Hamilton
, New Zealand",,,,,,,,,
34,1707499,9429034502068,05 Oct 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1707499,1707499,,"Accounting & Taxation Centre Ltd, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand","Accounting & Taxation Centre Ltd, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand",,,,,,,,,
35,92680,9429040502793,04 Oct 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco92680,92680,,"Michael Hill Building, 25 Rathbone Street, Whangarei
, New Zealand",,,,,,,,,,
36,1171544,9429036721016,06 Nov 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1171544,1171544,,"Unit J, 21 Ryan Place, Manukau City, Auckland
, New Zealand","Unit J, 21 Ryan Place, Manukau City, Auckland
, New Zealand",,,,,,,,,
37,4969079,9429041097410,17 Feb 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4969079,4969079,,"COUTTS CLERICAL SERVICES LIMITED, 9a Sinclair Street, Blenheim, 7201
, New Zealand","COUTTS CLERICAL SERVICES LIMITED, 9a Sinclair Street, Blenheim, 7201
, New Zealand",,,,,,,,,
38,1859877,9429033900650,30 Aug 2006,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1859877,1859877,,"36 Sioux Avenue, Hornby, Christchurch, 8042
, New Zealand","36 Sioux Avenue, Hornby, Christchurch, 8042
, New Zealand",,,,,,,,,
39,160367,9429040236292,30 May 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco160367,160367,,"C/o Suncourt Buildings, Tamamutu St, Taupo
, New Zealand",,,,,,,,,,
40,4153978,9429030414655,05 Dec 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4153978,4153978,,"35 Haslett Street, Eden Terrace, Auckland, 1021
, New Zealand","35 Haslett Street, Eden Terrace, Auckland, 1021
, New Zealand",,,,,,,,,
41,8153838,9429048932714,20 Jan 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8153838,8153838,,"73 Taharoto Road, Takapuna, Auckland, 0622
, New Zealand","73 Taharoto Road, Takapuna, Auckland, 0622
, New Zealand",,,,,,,,,
42,2098878,9429032887891,27 Feb 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2098878,2098878,,"SHS Tax Accounting Limited, 151 Clyde Road, Burnside, Christchurch, 8053
, New Zealand","SHS Tax Accounting Limited, 151 Clyde Road, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,
43,91443,9429040511320,13 Jun 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco91443,91443,,"Office Of F N Bagnall Levien Building, 24 Airedale Street Auckland
, New Zealand",,,,,,,,,,
44,188764,9429040109114,03 Aug 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco188764,188764,,"Waipuna Road, Raetihi, R D 4
, New Zealand",,,,,,,,,,
45,49998,9429040725857,10 Nov 1952,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco49998,49998,,"Quantum CA 2019 Limited, Level 1, 3 Cobham Street, Kerikeri, 0240
, New Zealand","Quantum CA 2019 Limited, Level 1, 3 Cobham Street, Kerikeri, 0240
, New Zealand",,,,,,,,,
46,91151,9429040510903,20 May 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco91151,91151,,"C/o Official Assignee, Second Flr Lorne Towers, 10-14 Lorne Street, Auckland 1
, New Zealand",,,,,,,,,,
47,69091,9429040651743,16 Aug 1965,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco69091,69091,,"3rd Floor Drake Delta Building, 3055 Great North Road, New Lynn, Waitakere City
, New Zealand","3rd Floor Drake Delta Building, 3055 Great North Road, New Lynn, Waitakere City
, New Zealand",,,,,,,,,
48,6003822,9429042374503,26 May 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6003822,6003822,,"Farah Magbutay, 4 Gallaghan Close, Wigram, Christchurch, 8042
, New Zealand","Farah Magbutay, 4 Gallaghan Close, Wigram, Christchurch, 8042
, New Zealand",,,,,,,,,
49,88563,9429040529905,04 Sep 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco88563,88563,,"C/-johnson Cairns, 6/9 Milford Road, Milford, Auckland
, New Zealand",,,,,,,,,,
50,140272,9429040348292,31 Mar 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco140272,140272,,"Chapman Hall, Statehighway 75, R D 2, Christchurch
, New Zealand","Chapman Hall, State Highway 75, R D 2, Christchurch
, New Zealand",,,,,,,,,
51,1751537,9429034369968,19 Dec 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1751537,1751537,,"2b/ 147 Hobson St., Cbd
, New Zealand","2b/ 147 Hobson St., Cbd
, New Zealand",,,,,,,,,
52,160014,9429040238869,16 Feb 1955,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco160014,160014,,"C/- Oldershaw & Co, Chartered Accountants, Marewa House, Kennedy Road, Napier
, New Zealand","Same As The Registered Office
, New Zealand",,,,,,,,,
53,2205701,9429032408393,12 Feb 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2205701,2205701,,"99a Albert Street, Auckland City, Auckland
, New Zealand","99a Albert Street, Auckland City, Auckland
, New Zealand",,,,,,,,,
54,1198594,9429036566891,03 Apr 2002,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1198594,1198594,,"ATX Ltd, 12a 80 Paul Matthews Road, Albany, Auckland, 0632
, New Zealand","ATX Ltd, 12a 80 Paul Matthews Road, Albany, Auckland, 0632
, New Zealand",,,,,,,,,
55,151689,9429040283517,13 Nov 1957,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco151689,151689,,"Offices Of K B Matthews, 29 Elliott Street, Opotiki
, New Zealand","Offices Of K B Matthews, 29 Elliott Street, Opotiki
, New Zealand",,,,,,,,,
56,2090282,9429032927399,04 Feb 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2090282,2090282,,"Whk Coffey Davidson, 127 Ruataniwha Street, Waipukurau
, New Zealand","Whk Coffey Davidson, 127 Ruataniwha Street, Waipukurau
, New Zealand",,,,,,,,,
57,3774777,9429030713031,11 Apr 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3774777,3774777,,"43 Garveys Creek Mine Road, Rd 1, Reefton, 7895
, New Zealand","43 Garveys Creek Mine Road, Rd 1, Reefton, 7895
, New Zealand",,,,,,,,,
58,140537,9429040348742,15 Aug 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco140537,140537,,"11 Le Fleming St, Darfield
, New Zealand",,,,,,,,,,
59,8799674,9429051432591,28 Jun 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8799674,8799674,,"8 Whakahoki Road, Flat Bush, Auckland, 2019
, New Zealand","8 Whakahoki Road, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,
60,2217495,9429032355857,13 Mar 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2217495,2217495,,"Emma Knight, 744a Mitchells Road, Rd 2, Leeston, 7682
, New Zealand","Emma Knight, 744a Mitchells Road, Rd 2, Leeston, 7682
, New Zealand",,,,,,,,,
61,1569292,9429035117995,29 Oct 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1569292,1569292,,"C/-66 Reynolds Avenue, Bishopdale, Christchurch
, New Zealand","C/-66 Reynolds Avenue, Bishopdale, Christchurch
, New Zealand",,,,,,,,,
62,34950,9429040805399,26 Oct 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco34950,34950,,"M/s Hogg Young Cathie & Co, 7th Floor Ibm Centre, The Terrace, Wellington
, New Zealand",,,,,,,,,,
63,143867,9429040322209,29 Sep 1937,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco143867,143867,,"Official Assignee, 4th Floor Mlc Building, Cnr Princes & Manse Sts, Dunedin
, New Zealand","-
, New Zealand",,,,,,,,,
64,853074,9429038108334,16 Apr 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco853074,853074,,"57a Penney Avenue, Mt Roskill, Auckland
, New Zealand","57a Penney Avenue, Mt Roskill, Auckland
, New Zealand",,,,,,,,,
65,2080371,9429032960068,17 Jan 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2080371,2080371,,"68 Tington Avenue, Wattle Downs, Manurewa, Auckland, 2103
, New Zealand","68 Tington Avenue, Mahia Park, Manurewa, Auckland
, New Zealand",,,,,,,,,
66,1234368,9429036360703,12 Sep 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1234368,1234368,,"Level 31, Vero Centre, 48 Shortland Street, Auckland, 1010
, New Zealand","Level 31, Vero Centre, 48 Shortland Street, Auckland, 1010
, New Zealand",,,,,,,,,
67,836541,9429038190209,04 Dec 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco836541,836541,,"38 Royal Oak Drive, Palmerston North
, New Zealand","38 Royal Oak Drive, Palmerston North
, New Zealand",,,,,,,,,
68,1145289,9429036863884,10 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1145289,1145289,,"BDS Chartered Accountants Ltd, Business Development Specialists, Lvl 12, 17 Albert Street, Auckland, 1141
, New Zealand","Business Development Specialists, Lvl 12, 17 Albert Street, Auckland, 1141
, New Zealand",,,,,,,,,
69,77707,9429040600024,16 Oct 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77707,77707,,"293 Pt Chevalier Rd, Auckland
, New Zealand",,,,,,,,,,
70,1831750,9429034033739,20 Jun 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1831750,1831750,,"447 Seaview Road, Onetangi, Waiheke Island
, New Zealand","447 Seaview Road, Onetangi, Waiheke Island
, New Zealand",,,,,,,,,
71,1193828,9429036595730,04 Mar 2002,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1193828,1193828,,"10/18 Clearwater Cove, West Harbour, Auckland
, New Zealand","10/18 Clearwater Cove, West Harbour, Auckland
, New Zealand",,,,,,,,,
72,6412312,9429046326706,30 Aug 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6412312,6412312,,"1036, 1036 Waitarere Rise Avenue, Waitarere, Levin, 5510
, New Zealand","1036, 1036 Waitarere Rise Avenue, Waitarere, Levin, 5510
, New Zealand",,,,,,,,,
73,3804298,9429030683105,15 May 2012,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3804298,3804298,,"ACCOUNTANTS PLUS LIMITED, 1st Floor, 1-5 Cambridge Terrace, Waiwhetu, Lower Hutt, 5010
, New Zealand","ACCOUNTANTS PLUS LIMITED, 1st Floor, 1-5 Cambridge Terrace, Waiwhetu, Lower Hutt, 5010
, New Zealand",,,,,,,,,
74,1311064,9429035959694,28 May 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1311064,1311064,,"Pricewaterhousecooper Center,, 3rd Level Pricewaterhousecooper Center,, Cnr Bryce & Anglesea Streets,, Hamilton
, New Zealand","Pricewaterhousecooper Center,, 3rd Level Pricewaterhousecooper Center,, Cnr Bryce & Anglesea Streets,, Hamilton
, New Zealand",,,,,,,,,
75,5845407,9429042067276,16 Nov 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5845407,5845407,,"Sione Taueli Latu, 44 Langiola Drive, Favona, Auckland, 2024
, New Zealand","Sione Taueli Latu, 44 Langiola Drive, Favona, Auckland, 2024
, New Zealand",,,,,,,,,
76,115353,9429032067712,22 Sep 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco115353,115353,,"136 Onehunga Mall, Onehunga
, New Zealand",,,,,,,,,,
77,348364,9429039594570,30 Jun 1987,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco348364,348364,,"1st Floor, 3 Broadway, Newmarket, Auckland
, New Zealand","-
, New Zealand",,,,,,,,,
78,1539502,9429035258872,28 Jul 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1539502,1539502,,"405n King Street, Hastings
, New Zealand","405n King Street, Hastings
, New Zealand",,,,,,,,,
79,7442,9429040955063,01 Oct 1951,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7442,7442,,"482-484 Main Street, Palmerston North
, New Zealand",,,,,,,,,,
80,2216183,9429032363159,27 Mar 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2216183,2216183,,"C/hwi Limited, Level 3, 139 Carlton Gore Road, Newmarket, Auckland
, New Zealand","C/hwi Limited, Level 3, 139 Carlton Gore Road, Newmarket, Auckland
, New Zealand",,,,,,,,,
81,3685815,9429030850835,13 Dec 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3685815,3685815,,"Level 12, 17 Albert Street, Auckland, 1010
, New Zealand","Level 12, 17 Albert Street, Auckland, 1010
, New Zealand",,,,,,,,,
82,1531921,9429035298397,02 Jul 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1531921,1531921,,"21 Kain Street, Mt Eden, Auckland
, New Zealand","21 Kain Street, Mt Eden, Auckland
, New Zealand",,,,,,,,,
83,5727508,9429041803325,15 Jun 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5727508,5727508,,"E J Cronin Ltd, 1831 Arundel Rakaia Gorge Road, Rd 5, Ashburton, 7775
, New Zealand","E J Cronin Ltd, 1831 Arundel Rakaia Gorge Road, Rd 5, Ashburton, 7775
, New Zealand",,,,,,,,,
84,847373,9429038136771,11 Mar 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco847373,847373,,"57 Albert Street, Whitianga
, New Zealand","57 Albert Street, Whitianga
, New Zealand",,,,,,,,,
85,383827,9429039480149,17 Mar 1988,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco383827,383827,,"18a Milton Rd, Pillans Point, Tauranga
, New Zealand","18a Milton Rd, Pillans Point, Tauranga
, New Zealand",,,,,,,,,
86,1232692,9429036370917,22 Aug 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1232692,1232692,,"4 Bannister Place, Avondale, Auckland
, New Zealand","4 Bannister Place, Avondale, Auckland
, New Zealand",,,,,,,,,
87,1245262,9429036297412,03 Oct 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1245262,1245262,,"Level 14, 55-65 Shortland St, Auckland
, New Zealand","Level 14, 55-65 Shortland St, Auckland
, New Zealand",,,,,,,,,
88,531645,9429039031082,11 Dec 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco531645,531645,,"2/26 Vincent Ave, Remuera, Auckland
, New Zealand","2/26 Vincent Ave, Remuera, Auckland
, New Zealand",,,,,,,,,
89,1198929,9429036564187,22 Mar 2002,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1198929,1198929,,"68 Pacific Parade, Army Bay, Whangaparaoa, 0930
, New Zealand","68 Pacific Parade, Army Bay, Whangaparaoa, 0930
, New Zealand",,,,,,,,,
