,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Appointed By:
18,190403,9429040099491,05 Nov 1969,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco190403,190403,,"Bailey Ingham Limited, Chartered Accountants, 18 Maniapoto Street, Otorohanga
, New Zealand","Bailey Ingham Limited, Chartered Accountants, 18 Maniapoto Street, Otorohanga
, New Zealand",,,,,,,,,,,,
19,5968607,9429042310334,13 May 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5968607,5968607,,"62b Quebec Street, Kingston, Wellington, 6021
, New Zealand","62b Quebec Street, Kingston, Wellington, 6021
, New Zealand",,,,,,,,,,,,
20,163789,9429040218663,30 Aug 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco163789,163789,,"C/- Deloitte Haskins & Sells, Chartered Accountants, Cnr Queen & Warren Streets, Hastings
, New Zealand","-
, New Zealand",,,,,,,,,,,,
21,191387,9429040096339,23 Dec 1970,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco191387,191387,,"Official Assignee,, 16-20 Clarence Street,, Hamilton.
, New Zealand",,,,,,,,,,,,,
22,8071,9429040952215,21 Apr 1953,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco8071,8071,,"205 Newlands Rd, Newlands, Wellington 4
, New Zealand",,,,,,,,,,,,,
23,1793546,9429034220511,29 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1793546,1793546,,"C/-lowthers Auckland Limited, Level 12, 191 Queen Street, Auckland Centre
, New Zealand","C/-lowthers Auckland Limited, Level 12, 191 Queen Street, Auckland Centre, Auckland
, New Zealand",,,,,,,,,,,,
24,75361,9429040613932,09 Oct 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco75361,75361,,"C/o Official Assignee, 10-14 Lorne St, Auckland
, New Zealand",,,,,,,,,,,,,
25,6161727,9429045865015,07 Dec 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6161727,6161727,,"45 Birdwood Avenue, Papatoetoe, Auckland, 2025
, New Zealand","45 Birdwood Avenue, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
26,1613566,9429034873465,13 Apr 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1613566,1613566,,"Walker Wayland Auckland Limited, Level 7, 53 Fort Street, Auckland
, New Zealand","Walker Wayland Auckland Limited, Level 7, 53 Fort Street, Auckland
, New Zealand",,,,,,,,,,,,
27,1365194,9429035847472,31 Jul 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1365194,1365194,,"PKF Carr & Stanton Ltd, 119 Queen Street East, Hastings, 4122
, New Zealand","PKF Carr & Stanton Ltd, 119 Queen Street East, Hastings, 4122
, New Zealand",,,,,,,,,,,,
28,20699,9429040896588,22 Feb 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco20699,20699,,"1 Goodbehere St, Feilding
, New Zealand",,,,,,,,,,,,,
29,4732299,9429030010147,23 Oct 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4732299,4732299,,"4 Knightia Drive, Papamoa Beach, Papamoa, 3118
, New Zealand","4 Knightia Drive, Papamoa Beach, Papamoa, 3118
, New Zealand",,,,,,,,,,,,
30,5321221,9429041289013,19 Jun 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5321221,5321221,,"F2 1572 Dominion Rd Ext, Mt. Roskill Sth, Auckland, 1041
, New Zealand","F2 1572 Dominion Rd Ext, Mt. Roskill Sth, Auckland, 1041
, New Zealand",,,,,,,,,,,,
31,158785,9429040244150,09 Dec 1932,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco158785,158785,,"Level 3, Vulcan Building, 118-124 Queen Street, Auckland
, New Zealand",,,,,,,,,,,,,
32,944820,9429037666491,08 Feb 1999,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco944820,944820,,"645 Mt Wellington Highway, Mt Wellington, Auckland
, New Zealand","645 Mt Wellington Highway, Mt Wellington, Auckland
, New Zealand",,,,,,,,,,,,
33,2313728,9429031963671,02 Sep 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2313728,2313728,,"33 Coles Crescent, Papakura, 2110
, New Zealand","33 Coles Crescent, Papakura, 2110
, New Zealand",,,,,,,,,,,,
34,1255267,9429036249428,26 Nov 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1255267,1255267,,"1 Rendall Place, Eden Tce, Auckland
, New Zealand","1 Rendall Place, Eden Tce, Auckland
, New Zealand",,,,,,,,,,,,
35,3782536,9429030705319,17 Apr 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3782536,3782536,,"Villa Fata, 121 Sykes Road, Weymouth, Auckland, 2103
, New Zealand","Villa Fata, 121 Sykes Road, Weymouth, Auckland, 2103
, New Zealand",,,,,,,,,,,,
36,70864,9429040638546,29 Jun 1966,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco70864,70864,,"172 Ellett Road, Karaka
, New Zealand","172 Ellett Road, Karaka
, New Zealand",,,,,,,,,,,,
37,1419932,9429035724650,08 Oct 2003,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1419932,1419932,,"Business Results (HB) Ltd, Level 1, 1 Dickens Street, Napier, 4110
, New Zealand","Business Results (HB) Ltd, Level 1, 1 Dickens Street, Napier, 4110
, New Zealand",,,,,,,,,,,,
38,1609634,9429034899267,10 Mar 2005,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1609634,1609634,,"Levy & Company Limited, Level 1, 2 Broderick Road, Johnsonville, Wellington, 6037
, New Zealand","13 Marama Terrace, Eastbourne, Lower Hutt, 5013
, New Zealand",,,,,,,,,,,,
39,5593085,9429041645581,09 Mar 2015,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5593085,5593085,,"Level 9, 45 Queen Street, Auckland, 1010
, New Zealand","Level 9, 45 Queen Street, Auckland, 1010
, New Zealand",,,,,,,,,,,,
40,48925,9429040729343,06 Jun 1951,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco48925,48925,,"C/-mcdonald Vague, Level 5, 80 Greys Avenue, Auckland
, New Zealand","C/-mcdonald Vague, Level 5, 80 Greys Avenue, Auckland
, New Zealand",,,,,,,,,,,,
41,2139872,9429032707250,06 Jun 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2139872,2139872,,"WDS LIMITED, 2 Birkhall Grove, Strathmore Park, Wellington, 6022
, New Zealand","WDS LIMITED, 2 Birkhall Grove, Strathmore Park, Wellington, 6022
, New Zealand",,,,,,,,,,,,
42,1283,9429040973241,17 Nov 1921,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco1283,1283,,"3 Clark St, Levin
, New Zealand",,,,,,,,,,,,,
43,1410659,9429035740896,03 Oct 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1410659,1410659,,"15 Harvard Court, Melville, Hamilton
, New Zealand","15 Harvard Court, Melville, Hamilton
, New Zealand",,,,,,,,,,,,
44,1669066,9429034635988,01 Aug 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1669066,1669066,,"24 Kenwyn Drive, Carterton, Carterton, 5713
, New Zealand","24 Kenwyn Drive, Carterton, Carterton, 5713
, New Zealand",,,,,,,,,,,,
45,1852667,9429033939636,09 Aug 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1852667,1852667,,"68 De Havilland Drive, Manukau
, New Zealand","68 De Havilland Drive, Manukau
, New Zealand",,,,,,,,,,,,
46,1469163,9429035615026,15 Dec 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1469163,1469163,,"94 Mokoia Rd, Birkenhead, Auckland
, New Zealand","94 Mokoia Rd, Birkenhead, Auckl;and
, New Zealand",,,,,,,,,,,,
47,1038461,9429037246457,26 May 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1038461,1038461,,"PKF Rutherfords Limited, 336 Broadway Avenue, Palmerston North, Palmerston North, 4414
, New Zealand","PKF Rutherfords Limited, 336 Broadway Avenue, Palmerston North, Palmerston North, 4414
, New Zealand",,,,,,,,,,,,
48,3530151,9429030966246,02 Sep 2011,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3530151,3530151,,"22 Marion Street, Silverstream, Upper Hutt, 5019
, New Zealand","22 Marion Street, Silverstream, Upper Hutt, 5019
, New Zealand",,,,,,,,,,,,
49,18577,9429040906317,04 Apr 1966,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco18577,18577,,"94 Wakefield Street, Alicetown, Lower Hutt, 5010
, New Zealand","94 Wakefield Street, Alicetown, Lower Hutt, 5010
, New Zealand",,,,,,,,,,,,
50,899282,9429037889418,24 Mar 1998,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco899282,899282,,"The Offices Of Murray Falloon, Chartered Accountants, 134 Willow Street, Tauranga
, New Zealand","The Offices Of Murray Falloon, Chartered Accountants, 134 Willow Street, Tauranga
, New Zealand",,,,,,,,,,,,
51,609031,9429038777479,23 Dec 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 6 directors,httpsapp.companiesoffice.govt.nzco609031,609031,,"Kara Road, R D 9, Whangarei
, New Zealand","Kara Road, R D 9, Whangarei
, New Zealand",,,,,,,,,,,,
52,55355,9429040704654,21 Jun 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco55355,55355,,"St Leonards Lodge, Manuka Rd, Glenfield
, New Zealand",,,,,,,,,,,,,
53,1192640,9429036602599,26 Feb 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1192640,1192640,,"137 Gordon Road, Mosgiel
, New Zealand","137 Gordon Road, Mosgiel
, New Zealand",,,,,,,,,,,,
54,177110,9429040144788,10 Dec 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco177110,177110,,"C/o Osborne Handley Gray &, Richardson, Legal House Richardson St, Whakatane
, New Zealand",,,,,,,,,,,,,
55,1051827,9429037186074,27 Jul 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1051827,1051827,,"147 Belvedere Avenue, Waikanae
, New Zealand","147 Belvedere Avenue, Waikanae
, New Zealand",,,,,,,,,,,,
56,154042,9429040272511,24 Feb 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco154042,154042,,"Springs Road, Prebbleton, Christchurch
, New Zealand",,,,,,,,,,,,,
57,1175414,9429036698363,29 Nov 2001,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1175414,1175414,,"6a Margaret Avenue, Havelock North, Havelock North, 4130
, New Zealand","6a Margaret Avenue, Havelock North, Havelock North, 4130
, New Zealand",,,,,,,,,,,,
58,10704,9429040939018,12 Jul 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco10704,10704,,"C/o Coopers & Lybrand, Udc Tower, 113-119 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
59,101154,9429040429977,07 Jul 1977,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco101154,101154,,"2 Meadowcourt Cresc, Papatoetoe, Auckland
, New Zealand","2 Meadowcourt Cresc, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,
60,123909,9429031977289,20 Mar 1953,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco123909,123909,,"22 Regent Theatre Bldg, Cathedral Sq, Christchurch
, New Zealand",,,,,,,,,,,,,
61,94242,9429040490960,04 May 1953,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco94242,94242,,"48-52 Wyndham Street, Auckland
, New Zealand",,,,,,,,,,,,,
62,363698,9429039546272,27 Nov 1987,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco363698,363698,,"21 Four Trees, Howick
, New Zealand",,,,,,,,,,,,,
63,45619,9429040739779,06 Aug 1946,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco45619,45619,,"Nz Insurance Building, 507 Lake Rd, Takapuna
, New Zealand",,,,,,,,,,,,,
64,162932,9429040223391,30 Jun 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco162932,162932,,"C/o Barr Burgess & Stewart, 202-204n Warren St Box 1040, Hastings
, New Zealand",,,,,,,,,,,,,
65,119019,9429032015683,23 Apr 1964,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco119019,119019,,"C/o Winstanley Kerridge, 22 Scott Street, Blenheim
, New Zealand",,,,,,,,,,,,,
66,69084,9429040651163,13 Aug 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco69084,69084,,"387-391 Great North Rd, Henderson
, New Zealand",,,,,,,,,,,,,
67,2359862,9429031773874,11 Nov 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2359862,2359862,,"484 Main St, Palmerston North
, New Zealand","484 Main St, Palmerston North
, New Zealand",,,,,,,,,,,,
68,1952562,9429033334394,08 Jun 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1952562,1952562,,"61 Edinburgh Street, Pukekohe
, New Zealand","61 Edinburgh Street, Pukekohe
, New Zealand",,,,,,,,,,,,
69,1698293,9429034532065,20 Sep 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1698293,1698293,,"3 Duncan Street, Rotorua
, New Zealand","3 Duncan Street, Rotorua
, New Zealand",,,,,,,,,,,,
70,127955,9429031935807,05 Aug 1964,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco127955,127955,,"Deloitte, Level 4, 32 Oxford Terrace, Christchurch
, New Zealand","Deloitte, Level 4, 32 Oxford Terrace, Christchurch
, New Zealand",,,,,,,,,,,,
71,1307010,9429035968948,27 May 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1307010,1307010,,"C/-brown & Associates, Chartered Accountants, 54 Montgomery Square, Nelson
, New Zealand","C/-brown & Associates, Chartered Accountants, 54 Montgomery Square, Nelson
, New Zealand",,,,,,,,,,,,
72,71006,9429040637624,19 Jul 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco71006,71006,,"341 Kamo Rd, Whangarei
, New Zealand",,,,,,,,,,,,,
73,190863,9429040097442,28 May 1970,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco190863,190863,,"Coombe & Associates Limited, Chartered Accountants, Marshall Street, Paeroa, 3600
, New Zealand","Coombe & Associates Limited, Chartered Accountants, Marshall Street, Paeroa, 3600
, New Zealand",,,,,,,,,,,,
74,159231,9429040242958,14 Feb 1946,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco159231,159231,,"C/o G.a.j.knobloch, Chartered Accountants, Ruataniwha Street, Waipukurau
, New Zealand","-
, New Zealand",,,,,,,,,,,,
75,177070,9429040145297,24 Oct 1952,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco177070,177070,,"8 Cloverly Crescent, Campbells Bay, Auckland
, New Zealand",,,,,,,,,,,,,
76,63692,9429040676647,01 Oct 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco63692,63692,,"4th Floor, National Mutual Building, Rathbone St, Whangarei
, New Zealand",,,,,,,,,,,,,
77,193806,9429040078441,26 Oct 1973,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco193806,193806,,"Altitude Chartered Accountants Ltd, Suite 20, 19 Tamamutu Street, Taupo, 3330
, New Zealand","Altitude Chartered Accountants Ltd, Suite 20, 19 Tamamutu Street, Taupo, 3330
, New Zealand",,,,,,,,,,,,
78,4231,9429040966465,25 Jan 1943,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco4231,4231,,"C/o Mr D Zame, Hunt Duthie & Co, Box 2194, Wellington
, New Zealand",,,,,,,,,,,,,
79,3197914,9429031306447,16 Nov 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3197914,3197914,,"4 Springvale Drive, Fairview Heights, North Shore City, 0632
, New Zealand","4 Springvale Drive, Fairview Heights, North Shore City, 0632
, New Zealand",,,,,,,,,,,,
80,907335,9429037849238,06 May 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco907335,907335,,"Dfk Oswin Griffiths Limited, Level 4, 52 Symonds Street, Auckland, 1010
, New Zealand","Dfk Oswin Griffiths Limited, Level 4, 52 Symonds Street, Auckland, 1010
, New Zealand",,,,,,,,,,,,
81,64928,9429040670232,08 Jul 1963,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco64928,64928,,"Level 4, Columbus House, 52 Symonds Street, Auckland
, New Zealand","Level 4, Columbus House, 52 Symonds Street, Auckland
, New Zealand",,,,,,,,,,,,
82,57789,9429040697543,02 Feb 1959,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco57789,57789,,"24 Veronica St, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,,
83,3600791,9429030914308,25 Oct 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3600791,3600791,,"22 Prosser Steet, Porirua, Wellington, 5022
, New Zealand","22 Prosser Steet, Porirua, Wellington, 5022
, New Zealand",,,,,,,,,,,,
84,148715,9429040297873,06 Mar 1969,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco148715,148715,,"C/- Walter D Styles,, Glenavy,, Oamaru.
, New Zealand","-
, New Zealand",,,,,,,,,,,,
85,159701,9429040239743,21 May 1952,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco159701,159701,,"C/- K M Dysart, Chartered Accountant, 209s Market Street, Hastings
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
86,80947,9429040582931,03 Feb 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco80947,80947,,"Offical Assignee, 3rd Flr Fergusson Bldg, 295 Queen St, Auckland 1
, New Zealand",,,,,,,,,,,,,
87,164695,9429040214719,25 Jul 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco164695,164695,,"Mcculloch Menzies, 8 Station Street, Napier
, New Zealand",,,,,,,,,,,,,
88,966173,9429037551230,02 Jul 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco966173,966173,,"Ramesh Kumar, 48 Orchard Road, Ngatea
, New Zealand","Ramesh Kumar, 48 Orchard Road, Ngatea
, New Zealand",,,,,,,,,,,,
89,45553,9429040739359,03 Jul 1946,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco45553,45553,,"129 Onewa Rd, Northcote, North Shore City
, New Zealand","129 Onewa Rd, Northcote, North Shore City
, New Zealand",,,,,,,,,,,,
90,90518,9429040517285,20 Mar 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco90518,90518,,"6 Northwick Place, Northcote
, New Zealand",,,,,,,,,,,,,
91,165739,9429040203911,17 Jul 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco165739,165739,,"10 Murrae St, Wairoa
, New Zealand",,,,,,,,,,,,,
